"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-10deg.z"
"Date/Time:  12/6/2020 4:25:59 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-10deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	3.300700E+02	4.669400E+01	3.300700E+02	4.669400E+01
1	7.943282E+05	3.357700E+02	3.647400E+01	3.357700E+02	3.647400E+01
2	6.309573E+05	3.406100E+02	2.879200E+01	3.406100E+02	2.879200E+01
3	5.011872E+05	3.431200E+02	2.256500E+01	3.431200E+02	2.256500E+01
4	3.981072E+05	3.447300E+02	1.759700E+01	3.447300E+02	1.759700E+01
5	3.162278E+05	3.460400E+02	1.351200E+01	3.460400E+02	1.351200E+01
6	2.511886E+05	3.470600E+02	9.931400E+00	3.470600E+02	9.931400E+00
7	1.995262E+05	3.477800E+02	6.954500E+00	3.477800E+02	6.954500E+00
8	1.584893E+05	3.485400E+02	4.629500E+00	3.485400E+02	4.629500E+00
9	1.258925E+05	3.492000E+02	2.534600E+00	3.492000E+02	2.534600E+00
10	1.000000E+05	3.498200E+02	8.577300E-01	3.498200E+02	8.577300E-01
11	7.943282E+04	3.504900E+02	-8.477000E-01	3.504900E+02	-8.477000E-01
12	6.309573E+04	3.524300E+02	-3.219600E+00	3.524300E+02	-3.219600E+00
13	5.011872E+04	3.531800E+02	-5.106100E+00	3.531800E+02	-5.106100E+00
14	3.981072E+04	3.539800E+02	-7.250200E+00	3.539800E+02	-7.250200E+00
15	3.162278E+04	3.547700E+02	-9.752700E+00	3.547700E+02	-9.752700E+00
16	2.511886E+04	3.557600E+02	-1.245600E+01	3.557600E+02	-1.245600E+01
17	1.995262E+04	3.568500E+02	-1.565600E+01	3.568500E+02	-1.565600E+01
18	1.584893E+04	3.581100E+02	-1.944400E+01	3.581100E+02	-1.944400E+01
19	1.258925E+04	3.596700E+02	-2.400000E+01	3.596700E+02	-2.400000E+01
20	1.000000E+04	3.615100E+02	-2.948900E+01	3.615100E+02	-2.948900E+01
21	7.943282E+03	3.638300E+02	-3.609000E+01	3.638300E+02	-3.609000E+01
22	6.309573E+03	3.667400E+02	-4.403800E+01	3.667400E+02	-4.403800E+01
23	5.011872E+03	3.704100E+02	-5.346200E+01	3.704100E+02	-5.346200E+01
24	3.981072E+03	3.750900E+02	-6.468500E+01	3.750900E+02	-6.468500E+01
25	3.162278E+03	3.810200E+02	-7.791300E+01	3.810200E+02	-7.791300E+01
26	2.511886E+03	3.885600E+02	-9.335500E+01	3.885600E+02	-9.335500E+01
27	1.995262E+03	3.980400E+02	-1.112600E+02	3.980400E+02	-1.112600E+02
28	1.584893E+03	4.098800E+02	-1.317900E+02	4.098800E+02	-1.317900E+02
29	1.258925E+03	4.245100E+02	-1.551100E+02	4.245100E+02	-1.551100E+02
30	1.000000E+03	4.423700E+02	-1.813400E+02	4.423700E+02	-1.813400E+02
31	7.943282E+02	4.637900E+02	-2.104900E+02	4.637900E+02	-2.104900E+02
32	6.309573E+02	4.891600E+02	-2.427500E+02	4.891600E+02	-2.427500E+02
33	5.011872E+02	5.188300E+02	-2.780000E+02	5.188300E+02	-2.780000E+02
34	3.981072E+02	5.530300E+02	-3.164100E+02	5.530300E+02	-3.164100E+02
35	3.162278E+02	5.919400E+02	-3.582600E+02	5.919400E+02	-3.582600E+02
36	2.511886E+02	6.361500E+02	-4.050700E+02	6.361500E+02	-4.050700E+02
37	1.995262E+02	6.852100E+02	-4.553200E+02	6.852100E+02	-4.553200E+02
38	1.584893E+02	7.397200E+02	-5.106700E+02	7.397200E+02	-5.106700E+02
39	1.258925E+02	7.995700E+02	-5.723400E+02	7.995700E+02	-5.723400E+02
40	1.000000E+02	8.657100E+02	-6.416800E+02	8.657100E+02	-6.416800E+02
41	7.943282E+01	9.391100E+02	-7.205200E+02	9.391100E+02	-7.205200E+02
42	6.309573E+01	1.020500E+03	-8.106300E+02	1.020500E+03	-8.106300E+02
43	5.011872E+01	1.112000E+03	-9.144200E+02	1.112000E+03	-9.144200E+02
44	4.000000E+01	1.213900E+03	-1.031300E+03	1.213900E+03	-1.031300E+03
