"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-U16.5deg.z"
"Date/Time:  12/6/2020 4:28:39 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-U16.5deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	2.965100E+02	4.787500E+01	2.965100E+02	4.787500E+01
1	7.943282E+05	3.012100E+02	3.757200E+01	3.012100E+02	3.757200E+01
2	6.309573E+05	3.039400E+02	2.967000E+01	3.039400E+02	2.967000E+01
3	5.011872E+05	3.056400E+02	2.327700E+01	3.056400E+02	2.327700E+01
4	3.981072E+05	3.065200E+02	1.818600E+01	3.065200E+02	1.818600E+01
5	3.162278E+05	3.071600E+02	1.397400E+01	3.071600E+02	1.397400E+01
6	2.511886E+05	3.077400E+02	1.024700E+01	3.077400E+02	1.024700E+01
7	1.995262E+05	3.080500E+02	7.150200E+00	3.080500E+02	7.150200E+00
8	1.584893E+05	3.083400E+02	4.708000E+00	3.083400E+02	4.708000E+00
9	1.258925E+05	3.086100E+02	2.531800E+00	3.086100E+02	2.531800E+00
10	1.000000E+05	3.088800E+02	7.352700E-01	3.088800E+02	7.352700E-01
11	7.943282E+04	3.091100E+02	-9.845000E-01	3.091100E+02	-9.845000E-01
12	6.309573E+04	3.093900E+02	-3.346200E+00	3.093900E+02	-3.346200E+00
13	5.011872E+04	3.098000E+02	-5.278200E+00	3.098000E+02	-5.278200E+00
14	3.981072E+04	3.103000E+02	-7.452100E+00	3.103000E+02	-7.452100E+00
15	3.162278E+04	3.108100E+02	-9.915500E+00	3.108100E+02	-9.915500E+00
16	2.511886E+04	3.115400E+02	-1.260400E+01	3.115400E+02	-1.260400E+01
17	1.995262E+04	3.124000E+02	-1.571200E+01	3.124000E+02	-1.571200E+01
18	1.584893E+04	3.134800E+02	-1.938900E+01	3.134800E+02	-1.938900E+01
19	1.258925E+04	3.148600E+02	-2.375100E+01	3.148600E+02	-2.375100E+01
20	1.000000E+04	3.165800E+02	-2.893900E+01	3.165800E+02	-2.893900E+01
21	7.943282E+03	3.188400E+02	-3.511600E+01	3.188400E+02	-3.511600E+01
22	6.309573E+03	3.217200E+02	-4.245000E+01	3.217200E+02	-4.245000E+01
23	5.011872E+03	3.254200E+02	-5.101500E+01	3.254200E+02	-5.101500E+01
24	3.981072E+03	3.301300E+02	-6.101100E+01	3.301300E+02	-6.101100E+01
25	3.162278E+03	3.360600E+02	-7.256300E+01	3.360600E+02	-7.256300E+01
26	2.511886E+03	3.434600E+02	-8.575200E+01	3.434600E+02	-8.575200E+01
27	1.995262E+03	3.525700E+02	-1.007500E+02	3.525700E+02	-1.007500E+02
28	1.584893E+03	3.636000E+02	-1.176300E+02	3.636000E+02	-1.176300E+02
29	1.258925E+03	3.768100E+02	-1.365600E+02	3.768100E+02	-1.365600E+02
30	1.000000E+03	3.924600E+02	-1.576000E+02	3.924600E+02	-1.576000E+02
31	7.943282E+02	4.108500E+02	-1.809200E+02	4.108500E+02	-1.809200E+02
32	6.309573E+02	4.321800E+02	-2.065200E+02	4.321800E+02	-2.065200E+02
33	5.011872E+02	4.567500E+02	-2.344700E+02	4.567500E+02	-2.344700E+02
34	3.981072E+02	4.845500E+02	-2.649900E+02	4.845500E+02	-2.649900E+02
35	3.162278E+02	5.158600E+02	-2.982200E+02	5.158600E+02	-2.982200E+02
36	2.511886E+02	5.496400E+02	-3.340300E+02	5.496400E+02	-3.340300E+02
37	1.995262E+02	5.884200E+02	-3.744000E+02	5.884200E+02	-3.744000E+02
38	1.584893E+02	6.311200E+02	-4.190900E+02	6.311200E+02	-4.190900E+02
39	1.258925E+02	6.780900E+02	-4.689600E+02	6.780900E+02	-4.689600E+02
40	1.000000E+02	7.299100E+02	-5.252400E+02	7.299100E+02	-5.252400E+02
41	7.943282E+01	7.875000E+02	-5.895300E+02	7.875000E+02	-5.895300E+02
42	6.309573E+01	8.520700E+02	-6.625700E+02	8.520700E+02	-6.625700E+02
43	5.011872E+01	9.252800E+02	-7.463900E+02	9.252800E+02	-7.463900E+02
44	4.000000E+01	1.008000E+03	-8.397000E+02	1.008000E+03	-8.397000E+02
