"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-U2deg.z"
"Date/Time:  12/6/2020 4:28:01 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-U2deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	6.042800E+02	3.882300E+01	6.042800E+02	3.882300E+01
1	7.943282E+05	6.192200E+02	2.688200E+01	6.192200E+02	2.688200E+01
2	6.309573E+05	6.276700E+02	1.992700E+01	6.276700E+02	1.992700E+01
3	5.011872E+05	6.328700E+02	1.479400E+01	6.328700E+02	1.479400E+01
4	3.981072E+05	6.365800E+02	1.065100E+01	6.365800E+02	1.065100E+01
5	3.162278E+05	6.386100E+02	7.400800E+00	6.386100E+02	7.400800E+00
6	2.511886E+05	6.395000E+02	4.545400E+00	6.395000E+02	4.545400E+00
7	1.995262E+05	6.406200E+02	1.690400E+00	6.406200E+02	1.690400E+00
8	1.584893E+05	6.409000E+02	6.817000E-03	6.409000E+02	6.817000E-03
9	1.258925E+05	6.412600E+02	-1.819000E+00	6.412600E+02	-1.819000E+00
10	1.000000E+05	6.414400E+02	-3.138600E+00	6.414400E+02	-3.138600E+00
11	7.943282E+04	6.418000E+02	-4.578300E+00	6.418000E+02	-4.578300E+00
12	6.309573E+04	6.396200E+02	-6.867900E+00	6.396200E+02	-6.867900E+00
13	5.011872E+04	6.398100E+02	-8.690700E+00	6.398100E+02	-8.690700E+00
14	3.981072E+04	6.399400E+02	-1.098300E+01	6.399400E+02	-1.098300E+01
15	3.162278E+04	6.400600E+02	-1.370600E+01	6.400600E+02	-1.370600E+01
16	2.511886E+04	6.404900E+02	-1.657300E+01	6.404900E+02	-1.657300E+01
17	1.995262E+04	6.410400E+02	-2.002600E+01	6.410400E+02	-2.002600E+01
18	1.584893E+04	6.417000E+02	-2.422900E+01	6.417000E+02	-2.422900E+01
19	1.258925E+04	6.426900E+02	-2.919300E+01	6.426900E+02	-2.919300E+01
20	1.000000E+04	6.439900E+02	-3.523800E+01	6.439900E+02	-3.523800E+01
21	7.943282E+03	6.457700E+02	-4.260500E+01	6.457700E+02	-4.260500E+01
22	6.309573E+03	6.481400E+02	-5.149700E+01	6.481400E+02	-5.149700E+01
23	5.011872E+03	6.511900E+02	-6.212400E+01	6.511900E+02	-6.212400E+01
24	3.981072E+03	6.552300E+02	-7.470700E+01	6.552300E+02	-7.470700E+01
25	3.162278E+03	6.604800E+02	-8.982400E+01	6.604800E+02	-8.982400E+01
26	2.511886E+03	6.672500E+02	-1.077600E+02	6.672500E+02	-1.077600E+02
27	1.995262E+03	6.758300E+02	-1.288600E+02	6.758300E+02	-1.288600E+02
28	1.584893E+03	6.868400E+02	-1.535300E+02	6.868400E+02	-1.535300E+02
29	1.258925E+03	7.006100E+02	-1.822500E+02	7.006100E+02	-1.822500E+02
30	1.000000E+03	7.178000E+02	-2.152700E+02	7.178000E+02	-2.152700E+02
31	7.943282E+02	7.390200E+02	-2.532500E+02	7.390200E+02	-2.532500E+02
32	6.309573E+02	7.645200E+02	-2.962900E+02	7.645200E+02	-2.962900E+02
33	5.011872E+02	7.955600E+02	-3.448900E+02	7.955600E+02	-3.448900E+02
34	3.981072E+02	8.326300E+02	-3.993500E+02	8.326300E+02	-3.993500E+02
35	3.162278E+02	8.761200E+02	-4.601200E+02	8.761200E+02	-4.601200E+02
36	2.511886E+02	9.244000E+02	-5.288400E+02	9.244000E+02	-5.288400E+02
37	1.995262E+02	9.840200E+02	-6.033900E+02	9.840200E+02	-6.033900E+02
38	1.584893E+02	1.052500E+03	-6.856000E+02	1.052500E+03	-6.856000E+02
39	1.258925E+02	1.130900E+03	-7.760700E+02	1.130900E+03	-7.760700E+02
40	1.000000E+02	1.220300E+03	-8.754500E+02	1.220300E+03	-8.754500E+02
41	7.943282E+01	1.321500E+03	-9.841200E+02	1.321500E+03	-9.841200E+02
42	6.309573E+01	1.435400E+03	-1.103400E+03	1.435400E+03	-1.103400E+03
43	5.011872E+01	1.562100E+03	-1.234600E+03	1.562100E+03	-1.234600E+03
44	4.000000E+01	1.699900E+03	-1.375600E+03	1.699900E+03	-1.375600E+03
