"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-Un9deg.z"
"Date/Time:  12/6/2020 4:27:27 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-Un9deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	5.377800E+03	-1.007800E+04	5.377800E+03	-1.007800E+04
1	7.943282E+05	5.375300E+03	-1.423700E+04	5.375300E+03	-1.423700E+04
2	6.309573E+05	5.735100E+03	-2.003400E+04	5.735100E+03	-2.003400E+04
3	5.011872E+05	6.655800E+03	-2.669900E+04	6.655800E+03	-2.669900E+04
4	3.981072E+05	8.085000E+03	-3.442100E+04	8.085000E+03	-3.442100E+04
5	3.162278E+05	1.011600E+04	-4.339300E+04	1.011600E+04	-4.339300E+04
6	2.511886E+05	1.266600E+04	-5.384800E+04	1.266600E+04	-5.384800E+04
7	1.995262E+05	1.578500E+04	-6.602900E+04	1.578500E+04	-6.602900E+04
8	1.584893E+05	1.940600E+04	-8.054900E+04	1.940600E+04	-8.054900E+04
9	1.258925E+05	2.335900E+04	-9.790600E+04	2.335900E+04	-9.790600E+04
10	1.000000E+05	2.788900E+04	-1.191500E+05	2.788900E+04	-1.191500E+05
11	7.943282E+04	3.315300E+04	-1.454400E+05	3.315300E+04	-1.454400E+05
12	6.309573E+04	3.875800E+04	-1.784900E+05	3.875800E+04	-1.784900E+05
13	5.011872E+04	4.586600E+04	-2.188500E+05	4.586600E+04	-2.188500E+05
14	3.981072E+04	5.531600E+04	-2.690900E+05	5.531600E+04	-2.690900E+05
15	3.162278E+04	6.812300E+04	-3.303800E+05	6.812300E+04	-3.303800E+05
16	2.511886E+04	8.618500E+04	-4.058000E+05	8.618500E+04	-4.058000E+05
17	1.995262E+04	1.102700E+05	-4.965900E+05	1.102700E+05	-4.965900E+05
18	1.584893E+04	1.432200E+05	-6.068000E+05	1.432200E+05	-6.068000E+05
19	1.258925E+04	1.879100E+05	-7.388700E+05	1.879100E+05	-7.388700E+05
20	1.000000E+04	2.462700E+05	-8.963600E+05	2.462700E+05	-8.963600E+05
21	7.943282E+03	3.229300E+05	-1.080900E+06	3.229300E+05	-1.080900E+06
22	6.309573E+03	4.283500E+05	-1.299000E+06	4.283500E+05	-1.299000E+06
23	5.011872E+03	5.676700E+05	-1.554300E+06	5.676700E+05	-1.554300E+06
24	3.981072E+03	7.633100E+05	-1.839700E+06	7.633100E+05	-1.839700E+06
25	3.162278E+03	1.014200E+06	-2.170400E+06	1.014200E+06	-2.170400E+06
26	2.511886E+03	1.361000E+06	-2.489500E+06	1.361000E+06	-2.489500E+06
27	1.995262E+03	1.793600E+06	-2.818900E+06	1.793600E+06	-2.818900E+06
28	1.584893E+03	2.335600E+06	-3.113600E+06	2.335600E+06	-3.113600E+06
29	1.258925E+03	2.966600E+06	-3.320200E+06	2.966600E+06	-3.320200E+06
30	1.000000E+03	3.663200E+06	-3.376800E+06	3.663200E+06	-3.376800E+06
31	7.943282E+02	4.363100E+06	-3.272900E+06	4.363100E+06	-3.272900E+06
32	6.309573E+02	5.007400E+06	-3.103600E+06	5.007400E+06	-3.103600E+06
33	5.011872E+02	5.555400E+06	-2.653100E+06	5.555400E+06	-2.653100E+06
34	3.981072E+02	5.975100E+06	-2.304600E+06	5.975100E+06	-2.304600E+06
35	3.162278E+02	6.140700E+06	-1.837900E+06	6.140700E+06	-1.837900E+06
36	2.511886E+02	6.066100E+06	-1.446700E+06	6.066100E+06	-1.446700E+06
37	1.995262E+02	6.120700E+06	-1.125600E+06	6.120700E+06	-1.125600E+06
38	1.584893E+02	6.104300E+06	-8.546800E+05	6.104300E+06	-8.546800E+05
39	1.258925E+02	6.044400E+06	-6.819300E+05	6.044400E+06	-6.819300E+05
40	1.000000E+02	5.976000E+06	-5.248700E+05	5.976000E+06	-5.248700E+05
41	7.943282E+01	5.877300E+06	-4.160300E+05	5.877300E+06	-4.160300E+05
42	6.309573E+01	5.787900E+06	-2.690800E+05	5.787900E+06	-2.690800E+05
43	5.011872E+01	5.703700E+06	-2.538500E+05	5.703700E+06	-2.538500E+05
44	4.000000E+01	5.620900E+06	-1.902300E+05	5.620900E+06	-1.902300E+05
