"ZView Export Data File: Version 3.3c"
"Export From File: C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-n2deg.z"
"Date/Time:  12/6/2020 4:26:36 PM"
" "
" "
"C:\Users\user\Desktop\Yilong\Round 2\380-blind P\225 psi\225psi-n2deg.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Z'"	"Z''"
0	1.000000E+06	6.321600E+02	3.796400E+01	6.321600E+02	3.796400E+01
1	7.943282E+05	6.497500E+02	2.568900E+01	6.497500E+02	2.568900E+01
2	6.309573E+05	6.636800E+02	1.885000E+01	6.636800E+02	1.885000E+01
3	5.011872E+05	6.716600E+02	1.358100E+01	6.716600E+02	1.358100E+01
4	3.981072E+05	6.768500E+02	9.701900E+00	6.768500E+02	9.701900E+00
5	3.162278E+05	6.808700E+02	6.609300E+00	6.808700E+02	6.609300E+00
6	2.511886E+05	6.841000E+02	3.614100E+00	6.841000E+02	3.614100E+00
7	1.995262E+05	6.867700E+02	8.423400E-01	6.867700E+02	8.423400E-01
8	1.584893E+05	6.891700E+02	-1.002000E+00	6.891700E+02	-1.002000E+00
9	1.258925E+05	6.912400E+02	-2.601100E+00	6.912400E+02	-2.601100E+00
10	1.000000E+05	6.932900E+02	-3.867500E+00	6.932900E+02	-3.867500E+00
11	7.943282E+04	6.953600E+02	-5.231400E+00	6.953600E+02	-5.231400E+00
12	6.309573E+04	7.009900E+02	-7.965300E+00	7.009900E+02	-7.965300E+00
13	5.011872E+04	7.028900E+02	-9.957200E+00	7.028900E+02	-9.957200E+00
14	3.981072E+04	7.049500E+02	-1.232400E+01	7.049500E+02	-1.232400E+01
15	3.162278E+04	7.068600E+02	-1.530600E+01	7.068600E+02	-1.530600E+01
16	2.511886E+04	7.091200E+02	-1.844700E+01	7.091200E+02	-1.844700E+01
17	1.995262E+04	7.114400E+02	-2.227900E+01	7.114400E+02	-2.227900E+01
18	1.584893E+04	7.139200E+02	-2.696600E+01	7.139200E+02	-2.696600E+01
19	1.258925E+04	7.166500E+02	-3.268000E+01	7.166500E+02	-3.268000E+01
20	1.000000E+04	7.197700E+02	-3.949800E+01	7.197700E+02	-3.949800E+01
21	7.943282E+03	7.234000E+02	-4.794500E+01	7.234000E+02	-4.794500E+01
22	6.309573E+03	7.275000E+02	-5.824400E+01	7.275000E+02	-5.824400E+01
23	5.011872E+03	7.324800E+02	-7.060000E+01	7.324800E+02	-7.060000E+01
24	3.981072E+03	7.384700E+02	-8.545000E+01	7.384700E+02	-8.545000E+01
25	3.162278E+03	7.457400E+02	-1.031700E+02	7.457400E+02	-1.031700E+02
26	2.511886E+03	7.547100E+02	-1.244600E+02	7.547100E+02	-1.244600E+02
27	1.995262E+03	7.657300E+02	-1.497300E+02	7.657300E+02	-1.497300E+02
28	1.584893E+03	7.796400E+02	-1.794700E+02	7.796400E+02	-1.794700E+02
29	1.258925E+03	7.968300E+02	-2.144300E+02	7.968300E+02	-2.144300E+02
30	1.000000E+03	8.183300E+02	-2.549300E+02	8.183300E+02	-2.549300E+02
31	7.943282E+02	8.446500E+02	-3.016300E+02	8.446500E+02	-3.016300E+02
32	6.309573E+02	8.771200E+02	-3.549700E+02	8.771200E+02	-3.549700E+02
33	5.011872E+02	9.164500E+02	-4.153400E+02	9.164500E+02	-4.153400E+02
34	3.981072E+02	9.641600E+02	-4.827400E+02	9.641600E+02	-4.827400E+02
35	3.162278E+02	1.021100E+03	-5.580400E+02	1.021100E+03	-5.580400E+02
36	2.511886E+02	1.089700E+03	-6.431300E+02	1.089700E+03	-6.431300E+02
37	1.995262E+02	1.169200E+03	-7.341100E+02	1.169200E+03	-7.341100E+02
38	1.584893E+02	1.260800E+03	-8.329100E+02	1.260800E+03	-8.329100E+02
39	1.258925E+02	1.365600E+03	-9.398600E+02	1.365600E+03	-9.398600E+02
40	1.000000E+02	1.483600E+03	-1.055200E+03	1.483600E+03	-1.055200E+03
41	7.943282E+01	1.615400E+03	-1.180800E+03	1.615400E+03	-1.180800E+03
42	6.309573E+01	1.761800E+03	-1.316600E+03	1.761800E+03	-1.316600E+03
43	5.011872E+01	1.923200E+03	-1.465900E+03	1.923200E+03	-1.465900E+03
44	4.000000E+01	2.095100E+03	-1.627300E+03	2.095100E+03	-1.627300E+03
