IMPEDANCE MEASUREMENT 
6/10/2022-2:26 PM
Chamber temperature (K): 299.74
Chamber pressure (MPa): 0.615417
Description: 	DIwater
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.000E+5
Stop freq (Hz): 1.000E+0
# freq steps: 50
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	100195.3125000000000	9747.3408203125000	-68.9822616577148
1	79570.3124999999999	11850.7822265625000	-65.6992721557617
2	63164.0624999999999	14121.0312500000000	-62.0013732910156
3	50273.4374999999999	16590.3769531250000	-58.0477333068848
4	39960.9374999999999	19237.1289062500000	-53.8378028869629
5	31757.8125000000000	21976.0878906250000	-49.4997215270996
6	25195.3125000000000	24739.1367187500000	-45.2873764038086
7	20039.0625000000000	27425.9609375000000	-41.1443443298340
8	15663.1093750000000	30183.9238281250000	-36.9726982116699
9	12461.8906250000000	32622.0898437500000	-33.4671821594238
10	9946.6464843750000	34896.3867187500000	-30.3848190307617
11	7888.7197265625000	37106.6914062499999	-27.6078338623047
12	6288.1098632812500	39157.2656249999999	-25.2699718475342
13	5039.0625000000000	41065.9687499999999	-23.3315963745117
14	4001.5244140625000	42981.8828124999999	-21.6390380859375
15	3164.0625000000000	44887.6796874999999	-20.2387504577637
16	2507.2673339843750	46759.7031249999999	-19.1336288452148
17	1979.1666259765625	48661.5703124999999	-18.2636566162109
18	1598.0113525390625	50359.7929687499999	-17.6765956878662
19	1257.6219482421875	52344.8164062499999	-17.2161636352539
20	1004.4642944335937	54299.4921874999999	-16.9556179046631
21	800.3048706054687	56362.4570312499999	-16.8389949798584
22	631.0096435546875	58606.9648437499999	-16.8737945556641
23	498.6702270507812	60970.6171874999999	-17.0379257202148
24	397.2457580566406	63395.0859374999999	-17.3125839233398
25	319.6022644042969	65919.4843749999999	-17.6711826324463
26	251.1160736083984	68967.1171874999999	-18.1586151123047
27	200.8928527832031	72032.8124999999999	-18.6888332366943
28	158.0056152343750	75699.4609374999999	-19.3259258270264
29	125.5580368041992	79467.3984374999999	-19.9748783111572
30	99.7340393066406	83624.6953124999999	-20.6285743713379
31	79.4491500854492	88387.4140624999999	-21.2776832580566
32	63.3445930480957	93822.8515624999999	-21.9864349365234
33	49.8670196533203	99333.0937499999999	-22.4882373809814
34	39.7245750427246	105367.2343750000000	-23.0648174285889
35	31.8877544403076	111815.6171875000000	-23.5360889434814
36	24.9335098266602	119626.4687500000000	-23.9628849029541
37	19.9468078613281	127308.2812500000000	-24.2282924652100
38	15.9438772201538	135604.4843750000000	-24.4191608428955
39	12.7032518386841	144642.3125000000000	-24.4981098175049
40	9.9101476669312	155160.9062500000000	-24.5940551757812
41	7.9719386100769	164269.8750000000000	-24.4888057708740
42	6.3516259193420	175619.4843750000000	-24.2132740020752
43	4.9708375930786	187211.9218750000000	-23.9098014831543
44	3.9423885345459	199587.6562500000000	-23.6209526062012
45	3.1672296524048	211166.3906250000000	-23.3202533721924
46	2.4854187965393	224389.1562500000000	-22.8555679321289
47	1.9711942672729	237328.3750000000000	-22.3629169464111
48	1.5661543607712	251435.7187500000000	-21.9046382904053
49	1.2600806951523	265035.1562500000000	-21.2721385955811
50	1.0016025304794	280219.0312500000000	-20.7590866088867
