IMPEDANCE MEASUREMENT 
6/10/2022-2:55 PM
Chamber temperature (K): 300.34
Chamber pressure (MPa): 0.628166
Description: 	2070uScm_std
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.000E+5
Stop freq (Hz): 1.000E+0
# freq steps: 50
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	100195.3125000000000	647.1155395507812	-14.4545164108276
1	79570.3124999999999	668.4290771484375	-13.2397489547729
2	63164.0624999999999	687.1517333984375	-12.2151041030884
3	50273.4374999999999	704.8226318359375	-11.3141965866089
4	39960.9374999999999	721.7557983398437	-10.5010042190552
5	31757.8125000000000	738.1693115234375	-9.7772293090820
6	25195.3125000000000	753.4938964843750	-9.1299028396606
7	20039.0625000000000	767.7936401367187	-8.5699205398560
8	15663.1093750000000	782.1624145507812	-8.0668573379517
9	12461.8906250000000	794.6774291992187	-7.6925702095032
10	9946.6464843750000	806.2415161132812	-7.4279203414917
11	7888.7197265625000	817.1561279296875	-7.2560925483704
12	6288.1098632812500	827.7388305664062	-7.2240052223206
13	5039.0625000000000	837.8340454101562	-7.3267540931702
14	4001.5244140625000	848.3820800781250	-7.5820374488831
15	3164.0625000000000	859.4828491210937	-8.0177354812622
16	2507.2673339843750	871.2648315429687	-8.6432256698608
17	1979.1666259765625	884.4722290039062	-9.4951763153076
18	1598.0113525390625	898.0377807617187	-10.4747648239136
19	1257.6219482421875	915.7819213867187	-11.8223409652710
20	1004.4642944335937	935.6528930664062	-13.3450994491577
21	800.3048706054687	960.0670166015625	-15.1550540924072
22	631.0096435546875	991.3768920898437	-17.3384113311768
23	498.6702270507812	1030.1754150390625	-19.8044681549072
24	397.2457580566406	1075.3450927734375	-22.4537048339844
25	319.6022644042969	1128.4802246093750	-25.2426929473877
26	251.1160736083984	1201.2531738281250	-28.6180324554443
27	200.8928527832031	1285.0654296875000	-31.9826545715332
28	158.0056152343750	1398.0870361328125	-35.8266525268555
29	125.5580368041992	1534.7062988281250	-39.6587066650391
30	99.7340393066406	1707.5494384765625	-43.5615386962891
31	79.4491500854492	1924.6384277343750	-47.3969535827637
32	63.3445930480957	2195.5661621093750	-51.0261573791504
33	49.8670196533203	2555.5288085937500	-54.5525512695312
34	39.7245750427246	2982.7084960937500	-57.5479354858398
35	31.8877544403076	3492.7006835937500	-60.0512084960937
36	24.9335098266602	4197.9614257812500	-62.3655471801758
37	19.9468078613281	4990.5439453125000	-64.0636520385742
38	15.9438772201538	5953.3486328125000	-65.3354415893555
39	12.7032518386841	7132.5317382812500	-66.2215957641602
40	9.9101476669312	8704.6103515625000	-66.7322387695312
41	7.9719386100769	10369.5078125000000	-66.9041366577148
42	6.3516259193420	12440.9462890625000	-66.7351379394531
43	4.9708375930786	15122.4238281250000	-66.1413421630859
44	3.9423885345459	18157.9492187500000	-65.2658004760742
45	3.1672296524048	21518.2656250000000	-64.1205825805664
46	2.4854187965393	25855.4160156250000	-62.5272636413574
47	1.9711942672729	30639.8496093750000	-60.6802673339844
48	1.5661543607712	36141.7929687499999	-58.5550346374512
49	1.2600806951523	42053.6679687499999	-56.3909111022949
50	1.0016025304794	48987.9101562499999	-53.4582633972168
