IMPEDANCE MEASUREMENT 
6/10/2022-2:15 PM
Chamber temperature (K): 299.26
Chamber pressure (MPa): 0.562872
Description: 	23uScm_std
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.000E+5
Stop freq (Hz): 1.000E+0
# freq steps: 50
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	100195.3125000000000	3001.6640625000000	-40.9787368774414
1	79570.3124999999999	3314.9206542968750	-39.6009025573730
2	63164.0624999999999	3637.0056152343750	-38.4949417114258
3	50273.4374999999999	3978.6584472656250	-37.5763931274414
4	39960.9374999999999	4350.0004882812500	-36.8298950195312
5	31757.8125000000000	4761.9560546875000	-36.2150764465332
6	25195.3125000000000	5203.1562500000000	-35.7052383422852
7	20039.0625000000000	5682.6196289062500	-35.3019905090332
8	15663.1093750000000	6241.6064453125000	-34.9075469970703
9	12461.8906250000000	6810.8056640625000	-34.5920867919922
10	9946.6464843750000	7419.8994140625000	-34.2762527465820
11	7888.7197265625000	8102.7612304687500	-33.9757919311523
12	6288.1098632812500	8826.7978515625000	-33.6650924682617
13	5039.0625000000000	9592.1191406250000	-33.3506736755371
14	4001.5244140625000	10453.6650390625000	-32.9981155395508
15	3164.0625000000000	11403.5644531250000	-32.6100006103516
16	2507.2673339843750	12420.1523437500000	-32.1805114746094
17	1979.1666259765625	13531.4111328125000	-31.6998672485352
18	1598.0113525390625	14604.1474609375000	-31.2135086059570
19	1257.6219482421875	15884.3808593750000	-30.6208553314209
20	1004.4642944335937	17158.9199218750000	-30.0311775207520
21	800.3048706054687	18522.0585937500000	-29.3827438354492
22	631.0096435546875	20015.3105468750000	-28.6840648651123
23	498.6702270507812	21578.8964843750000	-27.9586544036865
24	397.2457580566406	23146.6660156250000	-27.2562294006348
25	319.6022644042969	24704.6445312500000	-26.5552101135254
26	251.1160736083984	26534.1210937500000	-25.7457504272461
27	200.8928527832031	28239.1757812500000	-25.0286426544189
28	158.0056152343750	30128.9785156250000	-24.1981868743896
29	125.5580368041992	32031.0566406250000	-23.4624137878418
30	99.7340393066406	34024.1835937500000	-22.7017517089844
31	79.4491500854492	35855.1523437500000	-21.9936962127686
32	63.3445930480957	38412.5898437499999	-21.0641021728516
33	49.8670196533203	39770.5703124999999	-20.4955005645752
34	39.7245750427246	41772.3867187499999	-20.1886539459229
35	31.8877544403076	43737.0312499999999	-19.7662658691406
36	24.9335098266602	45854.0937499999999	-19.4711990356445
37	19.9468078613281	47871.4414062499999	-19.3947963714600
38	15.9438772201538	49947.0546874999999	-19.4022903442383
39	12.7032518386841	52135.0507812499999	-19.5438270568848
40	9.9101476669312	54674.3789062499999	-19.8831005096436
41	7.9719386100769	57088.7226562499999	-20.3478145599365
42	6.3516259193420	59789.4218749999999	-20.9921512603760
43	4.9708375930786	63024.9023437499999	-21.7691745758057
44	3.9423885345459	66400.5390624999999	-22.7067298889160
45	3.1672296524048	70044.7421874999999	-23.6037330627441
46	2.4854187965393	74526.0859374999999	-24.6636962890625
47	1.9711942672729	79302.5624999999999	-25.7338848114014
48	1.5661543607712	84771.0156249999999	-26.9517173767090
49	1.2600806951523	90604.7812499999999	-28.1103992462158
50	1.0016025304794	97778.1406249999999	-29.3100166320801
