IMPEDANCE MEASUREMENT 
6/21/2022-2:57 PM
Chamber temperature (K): 301.11
Chamber pressure (MPa): 0.686435
Description: 	Air
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.000E+5
Stop freq (Hz): 1.000E+0
# freq steps: 50
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	100195.3125000000000	12583.3710937500000	-89.7435455322266
1	79570.3124999999999	16081.7226562500000	-89.8017272949219
2	63164.0624999999999	20247.3222656250000	-89.8043594360352
3	50273.4374999999999	25421.6269531250000	-89.7978744506836
4	39960.9374999999999	31965.4921875000000	-89.7802124023437
5	31757.8125000000000	40189.4374999999999	-89.7709579467773
6	25195.3125000000000	50601.6718749999999	-89.9149322509766
7	20039.0625000000000	63601.9374999999999	-89.8733062744141
8	15663.1093750000000	81312.4609374999999	-89.8415222167969
9	12461.8906250000000	102211.8828125000000	-89.8137283325195
10	9946.6464843750000	127954.2734375000000	-89.8128051757812
11	7888.7197265625000	161239.9843750000000	-89.7854843139648
12	6288.1098632812500	202230.9375000000000	-89.7714004516602
13	5039.0625000000000	252165.6093750000000	-89.7611541748047
14	4001.5244140625000	317318.6562499999990	-89.7517547607422
15	3164.0625000000000	401060.7187499999990	-89.7482070922852
16	2507.2673339843750	505729.0624999999990	-89.8246383666992
17	1979.1666259765625	640309.8749999999990	-89.7909011840820
18	1598.0113525390625	792609.8124999999990	-89.7575912475586
19	1257.6219482421875	1007058.6250000000000	-89.7336273193359
20	1004.4642944335937	1259911.0000000000000	-89.7232589721680
21	800.3048706054687	1580235.6250000000000	-89.6951751708984
22	631.0096435546875	2002972.2500000000000	-89.6764068603516
23	498.6702270507812	2532501.2500000000000	-89.6464767456055
24	397.2457580566406	3178251.0000000000000	-89.6315383911133
25	319.6022644042969	3949189.0000000000000	-89.6070785522461
26	251.1160736083984	5012132.5000000000000	-89.6561813354492
27	200.8928527832031	6260061.0000000000000	-89.5951919555664
28	158.0056152343750	7954011.5000000000000	-89.4802474975586
29	125.5580368041992	10007001.0000000000000	-89.3919830322266
30	99.7340393066406	12523035.0000000000000	-89.2051773071289
31	79.4491500854492	15770227.0000000000000	-89.2900085449219
32	63.3445930480957	20488720.0000000000000	-89.4329986572266
33	49.8670196533203	24853130.0000000000000	-88.6228103637695
34	39.7245750427246	31474924.0000000000000	-88.8015747070312
35	31.8877544403076	39045612.0000000000000	-88.7854461669922
36	24.9335098266602	49788140.0000000000000	-88.2945785522461
37	19.9468078613281	62525504.0000000000000	-87.8540344238281
38	15.9438772201538	78136744.0000000000000	-87.3605422973633
39	12.7032518386841	97720216.0000000000000	-86.8013992309570
40	9.9101476669312	125383048.0000000000000	-85.9804992675781
41	7.9719386100769	154627856.0000000000000	-85.1280822753906
42	6.3516259193420	193585504.0000000000000	-84.0022583007812
43	4.9708375930786	245927168.0000000000000	-82.5716018676758
44	3.9423885345459	307647168.0000000000000	-80.9271621704102
45	3.1672296524048	376573920.0000000000000	-79.0943374633789
46	2.4854187965393	473678176.0000000000000	-76.4988708496094
47	1.9711942672729	584136896.0000000000000	-73.6438674926758
48	1.5661543607712	713540608.0000000000000	-70.3419647216797
49	1.2600806951523	854804736.0000000000000	-66.7432632446289
50	1.0016025304794	1021451200.0000000000000	-62.6547355651855
