IMPEDANCE MEASUREMENT 
6/10/2022-2:33 PM
Chamber temperature (K): 300.05
Chamber pressure (MPa): 0.252011
Description: 	84uScm_std
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.000E+5
Stop freq (Hz): 1.000E+0
# freq steps: 50
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	100195.3125000000000	10398.0966796875000	-71.5650253295898
1	79570.3124999999999	12742.7451171875000	-68.6953048706055
2	63164.0624999999999	15322.7851562500000	-65.3779220581055
3	50273.4374999999999	18197.8417968750000	-61.7467689514160
4	39960.9374999999999	21352.5898437500000	-57.7469482421875
5	31757.8125000000000	24731.7871093750000	-53.5579757690430
6	25195.3125000000000	28230.0507812500000	-49.3983993530273
7	20039.0625000000000	31742.9355468750000	-45.1742439270020
8	15663.1093750000000	35469.1679687500000	-40.8285827636719
9	12461.8906250000000	38799.8359374999999	-37.0683403015137
10	9946.6464843750000	41940.0976562499999	-33.6545791625977
11	7888.7197265625000	44993.5742187499999	-30.5032463073730
12	6288.1098632812500	47804.3359374999999	-27.7705593109131
13	5039.0625000000000	50414.0351562499999	-25.4472141265869
14	4001.5244140625000	52995.3437499999999	-23.3688468933105
15	3164.0625000000000	55524.5859374999999	-21.5934677124023
16	2507.2673339843750	57941.6914062499999	-20.1428184509277
17	1979.1666259765625	60250.9453124999999	-18.9483184814453
18	1598.0113525390625	62403.0468749999999	-18.1034870147705
19	1257.6219482421875	64860.2460937499999	-17.3894920349121
20	1004.4642944335937	67245.5781249999999	-16.9202060699463
21	800.3048706054687	69659.0859374999999	-16.6236705780029
22	631.0096435546875	72163.1874999999999	-16.4949531555176
23	498.6702270507812	74968.0703124999999	-16.5274295806885
24	397.2457580566406	77764.4765624999999	-16.7031116485596
25	319.6022644042969	80598.3203124999999	-17.0006332397461
26	251.1160736083984	84002.1406249999999	-17.4436969757080
27	200.8928527832031	87535.0390624999999	-17.9444026947021
28	158.0056152343750	91582.9999999999999	-18.5771656036377
29	125.5580368041992	95956.6953124999999	-19.2425289154053
30	99.7340393066406	100754.6953125000000	-19.9703369140625
31	79.4491500854492	106177.0468750000000	-20.6884403228760
32	63.3445930480957	111634.3671875000000	-21.3581638336182
33	49.8670196533203	118925.9843750000000	-22.1789436340332
34	39.7245750427246	126012.6718750000000	-22.8567008972168
35	31.8877544403076	133563.2500000000000	-23.4292278289795
36	24.9335098266602	142916.4843750000000	-24.0837783813477
37	19.9468078613281	152226.2187500000000	-24.5746707916260
38	15.9438772201538	162335.1250000000000	-24.9949493408203
39	12.7032518386841	172844.3593750000000	-25.3628749847412
40	9.9101476669312	186945.3125000000000	-25.3022804260254
41	7.9719386100769	199748.2031250000000	-25.6638774871826
42	6.3516259193420	213196.9687500000000	-25.5890522003174
43	4.9708375930786	229715.1718750000000	-25.6679019927979
44	3.9423885345459	244966.8593750000000	-25.2862548828125
45	3.1672296524048	260949.0312500000000	-25.0108947753906
46	2.4854187965393	279162.4687500000000	-24.6022911071777
47	1.9711942672729	297001.2187500000000	-24.1197128295898
48	1.5661543607712	317232.7187499999990	-23.6020412445068
49	1.2600806951523	334461.2812499999990	-23.1509952545166
