IMPEDANCE MEASUREMENT 
6/24/2022-10:43 AM
Chamber temperature (K): 299.70
Chamber pressure (MPa): 0.626423
Description: 	23uScm_std
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+0
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1223.5421142578125	-88.9701919555664
1	794414.0624999999990	1554.0362548828125	-88.3609313964844
2	631054.6874999999990	1960.8382568359375	-87.9375152587891
3	501210.9374999999990	2470.2368164062500	-87.3897171020508
4	398320.3124999999990	3107.1247558593750	-86.6902313232422
5	316289.0624999999990	3906.7231445312500	-85.8297576904297
6	251367.1875000000000	4898.7246093750000	-84.8899765014648
7	199570.3125000000000	6144.1240234375000	-83.5252151489258
8	158554.6875000000000	7701.5087890625000	-81.9046707153320
9	125976.5625000000000	9628.5917968750000	-79.9206771850586
10	100195.3125000000000	11980.5380859375000	-77.4408035278320
11	79570.3124999999999	14839.3964843750000	-74.4908218383789
12	63164.0624999999999	18250.1718750000000	-70.9608993530273
13	50273.4374999999999	22169.5937500000000	-66.8792114257812
14	39960.9374999999999	26611.6269531250000	-62.2051124572754
15	31757.8125000000000	31453.5742187500000	-57.0040588378906
16	25195.3125000000000	36538.3359374999999	-51.4385986328125
17	20039.0625000000000	41540.9570312499999	-45.5629501342773
18	15663.1093750000000	46553.8398437499999	-39.1607589721680
19	12461.8906250000000	50590.2968749999999	-33.3770256042480
20	9946.6464843750000	53848.8085937499999	-28.0498218536377
21	7888.7197265625000	56401.9257812499999	-23.1398067474365
22	6288.1098632812500	58226.3789062499999	-18.9619865417480
23	5039.0625000000000	59473.3242187499999	-15.5096158981323
24	4001.5244140625000	60365.9414062499999	-12.5260066986084
25	3164.0625000000000	60970.7187499999999	-10.0584459304810
26	2507.2673339843750	61368.9882812499999	-8.0995159149170
27	1979.1666259765625	61639.6796874999999	-6.5201005935669
28	1598.0113525390625	61804.1718749999999	-5.3890047073364
29	1257.6219482421875	61937.9374999999999	-4.3966822624207
30	1004.4642944335937	62029.8789062499999	-3.6859052181244
31	800.3048706054687	62107.4648437499999	-3.1445963382721
32	631.0096435546875	62180.0546874999999	-2.7340073585510
33	498.6702270507812	62242.1445312499999	-2.4800021648407
34	397.2457580566406	62319.4374999999999	-2.3378245830536
35	319.6022644042969	62407.7851562499999	-2.2983496189117
36	251.1160736083984	62519.7343749999999	-2.3536906242371
37	200.8928527832031	62647.7578124999999	-2.4989862442017
38	158.0056152343750	62819.3828124999999	-2.7519505023956
39	125.5580368041992	63023.5273437499999	-3.0915954113007
40	99.7340393066406	63283.9023437499999	-3.5362288951874
41	79.4491500854492	63683.7695312499999	-4.0577998161316
42	63.3445930480957	64040.4726562499999	-4.7358303070068
43	49.8670196533203	64621.9765624999999	-5.5515055656433
44	39.7245750427246	65231.5624999999999	-6.4724574089050
45	31.8877544403076	65961.8906249999999	-7.5098962783813
46	24.9335098266602	67009.4531249999999	-8.8681230545044
47	19.9468078613281	68145.2031249999999	-10.2837133407593
48	15.9438772201538	69537.2578124999999	-11.8895502090454
49	12.7032518386841	71267.1640624999999	-13.7222833633423
50	9.9101476669312	73636.5468749999999	-15.9633665084839
51	7.9719386100769	76145.1484374999999	-18.1339759826660
52	6.3516259193420	79327.1953124999999	-20.6005897521973
53	4.9708375930786	83546.2265624999999	-23.4855175018311
54	3.9423885345459	88442.2734374999999	-26.4158821105957
55	3.1672296524048	94100.0390624999999	-29.3434772491455
56	2.4854187965393	101826.3125000000000	-32.6393051147461
57	1.9711942672729	110905.6484375000000	-35.9942283630371
58	1.5661543607712	122090.7421875000000	-39.3661918640137
59	1.2600806951523	135052.0937500000000	-42.5156402587891
60	1.0016025304794	151880.3906250000000	-45.7208061218262
