IMPEDANCE MEASUREMENT 
6/24/2022-11:53 AM
Chamber temperature (K): 301.10
Chamber pressure (MPa): 0.353820
Description: 	80mScm_std
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+0
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	26.0152397155762	17.0619087219238
1	794414.0624999999990	25.5178318023682	13.5569028854370
2	631054.6874999999990	25.1947879791260	10.6653785705566
3	501210.9374999999990	24.9869251251221	8.2170639038086
4	398320.3124999999990	24.8534564971924	6.1474938392639
5	316289.0624999999990	24.7744483947754	4.3501086235046
6	251367.1875000000000	24.7326202392578	2.7708964347839
7	199570.3125000000000	24.7325725555420	1.3230689764023
8	158554.6875000000000	24.7648448944092	-0.0298352725804
9	125976.5625000000000	24.8328323364258	-1.3467353582382
10	100195.3125000000000	24.9202060699463	-2.6576049327850
11	79570.3124999999999	25.0758934020996	-4.0565195083618
12	63164.0624999999999	25.2809009552002	-5.5506076812744
13	50273.4374999999999	25.5472640991211	-7.1629762649536
14	39960.9374999999999	25.8956203460693	-8.9576292037964
15	31757.8125000000000	26.3460922241211	-10.9621639251709
16	25195.3125000000000	26.9328079223633	-13.2233533859253
17	20039.0625000000000	27.6795806884766	-15.7155408859253
18	15663.1093750000000	28.7152385711670	-18.6908206939697
19	12461.8906250000000	29.9473438262939	-21.7136745452881
20	9946.6464843750000	31.4731006622314	-24.9233722686768
21	7888.7197265625000	33.4314956665039	-28.4453353881836
22	6288.1098632812500	35.8116989135742	-32.0934410095215
23	5039.0625000000000	38.6852798461914	-35.8383674621582
24	4001.5244140625000	42.3939437866211	-39.8947601318359
25	3164.0625000000000	47.1737709045410	-44.1762809753418
26	2507.2673339843750	53.1844406127930	-48.4644355773926
27	1979.1666259765625	60.9795837402344	-52.7587661743164
28	1598.0113525390625	69.8853454589844	-56.4814109802246
29	1257.6219482421875	82.4807968139648	-60.3639106750488
30	1004.4642944335937	97.4280242919922	-63.6566734313965
31	800.3048706054687	116.3414535522461	-66.6182861328125
32	631.0096435546875	141.1321563720703	-69.2962951660156
33	498.6702270507812	171.9375457763672	-71.5565490722656
34	397.2457580566406	208.6316375732422	-73.3708114624023
35	319.6022644042969	252.4228515625000	-74.8483428955078
36	251.1160736083984	312.4307250976562	-76.1911239624023
37	200.8928527832031	381.2003479003906	-77.1956405639648
38	158.0056152343750	472.7983398437500	-78.0603408813477
39	125.5580368041992	581.6914062500000	-78.7071533203125
40	99.7340393066406	716.7276611328125	-79.2002334594727
41	79.4491500854492	881.5975341796875	-79.5935211181641
42	63.3445930480957	1081.3666992187500	-79.8546829223633
43	49.8670196533203	1346.3735351562500	-79.9719238281250
44	39.7245750427246	1651.9605712890625	-80.0230789184570
45	31.8877544403076	2016.9627685546875	-79.9672470092773
46	24.9335098266602	2519.5253906250000	-79.8316421508789
47	19.9468078613281	3079.5920410156250	-79.6306381225586
48	15.9438772201538	3766.9914550781250	-79.3430480957031
49	12.7032518386841	4615.3271484375000	-78.9820251464844
50	9.9101476669312	5754.4960937500000	-78.5002593994141
51	7.9719386100769	6980.1928710937500	-77.9850158691406
52	6.3516259193420	8529.2099609375000	-77.3559036254883
53	4.9708375930786	10581.8925781250000	-76.5312118530273
54	3.9423885345459	12946.6767578125000	-75.6180419921875
55	3.1672296524048	15642.0664062500000	-74.6064987182617
56	2.4854187965393	19251.7363281250000	-73.2911911010742
57	1.9711942672729	23361.6835937500000	-71.7938461303711
58	1.5661543607712	28316.3632812500000	-70.1259002685547
59	1.2600806951523	33844.3203125000000	-68.2364349365234
60	1.0016025304794	40671.0703124999999	-65.8679275512695
