IMPEDANCE MEASUREMENT 
6/24/2022-12:18 PM
Chamber temperature (K): 301.11
Chamber pressure (MPa): 0.930096
Description: 	DIwater
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+0
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	290.9426269531250	-43.4348716735840
1	794414.0624999999990	327.6064147949219	-42.2703018188477
2	631054.6874999999990	365.3519287109375	-41.2413978576660
3	501210.9374999999990	405.5965270996094	-40.2327461242676
4	398320.3124999999990	448.3288879394531	-39.3079223632812
5	316289.0624999999990	494.1191406250000	-38.4748306274414
6	251367.1875000000000	542.7193603515625	-37.7441711425781
7	199570.3125000000000	595.9465332031250	-37.1034469604492
8	158554.6875000000000	653.0915527343750	-36.5611686706543
9	125976.5625000000000	714.6320190429687	-36.1113014221191
10	100195.3125000000000	781.1540527343750	-35.7208175659180
11	79570.3124999999999	854.1779174804687	-35.4149627685547
12	63164.0624999999999	933.2122192382812	-35.1622734069824
13	50273.4374999999999	1018.0599975585937	-34.9577369689941
14	39960.9374999999999	1111.0892333984375	-34.7866134643555
15	31757.8125000000000	1212.3184814453125	-34.6401824951172
16	25195.3125000000000	1323.3090820312500	-34.5107192993164
17	20039.0625000000000	1442.7872314453125	-34.4094543457031
18	15663.1093750000000	1582.5275878906250	-34.3309402465820
19	12461.8906250000000	1723.5372314453125	-34.2777786254883
20	9946.6464843750000	1874.5300292968750	-34.2532196044922
21	7888.7197265625000	2043.6163330078125	-34.2663612365723
22	6288.1098632812500	2224.7751464843750	-34.3252639770508
23	5039.0625000000000	2416.7592773437500	-34.4011383056641
24	4001.5244140625000	2634.2243652343750	-34.5063514709473
25	3164.0625000000000	2876.7514648437500	-34.6584434509277
26	2507.2673339843750	3139.8034667968750	-34.8447723388672
27	1979.1666259765625	3434.9770507812500	-35.0812644958496
28	1598.0113525390625	3727.0493164062500	-35.3299598693848
29	1257.6219482421875	4088.4440917968750	-35.6474380493164
30	1004.4642944335937	4467.2475585937500	-35.9851722717285
31	800.3048706054687	4893.4233398437500	-36.3520393371582
32	631.0096435546875	5393.1083984375000	-36.7208442687988
33	498.6702270507812	5945.1044921875000	-37.0746574401855
34	397.2457580566406	6547.1381835937500	-37.2671661376953
35	319.6022644042969	7182.3955078125000	-37.3660011291504
36	251.1160736083984	7969.1840820312500	-37.3091354370117
37	200.8928527832031	8765.3291015625000	-37.2339439392090
38	158.0056152343750	9726.2705078125000	-36.9222183227539
39	125.5580368041992	10719.1484375000000	-36.4466476440430
40	99.7340393066406	11777.5068359375000	-35.7919197082520
41	79.4491500854492	12903.3056640625000	-35.1334800720215
42	63.3445930480957	14112.3095703125000	-34.3530540466309
43	49.8670196533203	15472.0039062500000	-33.1119041442871
44	39.7245750427246	16886.9746093750000	-32.2963981628418
45	31.8877544403076	18244.1718750000000	-31.3741588592529
46	24.9335098266602	19838.4003906250000	-30.2371253967285
47	19.9468078613281	21380.3339843750000	-29.1684684753418
48	15.9438772201538	22914.7617187500000	-27.9799518585205
49	12.7032518386841	24580.4667968750000	-27.0051441192627
50	9.9101476669312	26408.2128906250000	-25.7574920654297
51	7.9719386100769	28096.3046875000000	-24.8190269470215
52	6.3516259193420	29919.8398437500000	-24.0909252166748
53	4.9708375930786	32034.4082031250000	-22.1325397491455
54	3.9423885345459	33961.4062500000000	-21.3960514068604
55	3.1672296524048	35405.4296875000000	-20.6626701354980
56	2.4854187965393	37180.5624999999999	-19.2150707244873
57	1.9711942672729	38873.6953124999999	-18.1098213195801
58	1.5661543607712	40661.9726562499999	-17.2105236053467
59	1.2600806951523	42313.2421874999999	-16.6511230468750
60	1.0016025304794	44769.8085937499999	-16.0400791168213
