IMPEDANCE MEASUREMENT 
9/2/2022-4:26 PM
Chamber temperature (K): 297.30
Chamber pressure (MPa): 0.1
Description: 	84uScm_ElectrodeTest
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	4866.9882812500000	-51.2337760925293
1	891445.3124999999980	5056.1665039062500	-45.0410728454590
2	794414.0624999999990	5185.5146484375000	-39.9527778625488
3	708164.0624999999990	5280.2055664062500	-35.3763694763184
4	631054.6874999999990	5349.5000000000000	-31.3537673950195
5	562382.8124999999990	5397.3959960937500	-27.7818641662598
6	501210.9374999999990	5438.7431640625000	-24.6856365203857
7	446835.9374999999990	5466.3945312500000	-21.8507747650146
8	398320.3124999999990	5484.4458007812500	-19.4225387573242
9	354960.9374999999990	5500.2983398437500	-17.2190208435059
10	316289.0624999999990	5514.2143554687500	-15.3324584960937
11	282070.3125000000000	5527.6079101562500	-14.2395029067993
12	251367.1875000000000	5534.3730468750000	-12.6748495101929
13	223945.3125000000000	5540.8793945312500	-11.2838287353516
14	199570.3125000000000	5545.6328125000000	-10.0463190078735
15	178007.8125000000000	5550.0375976562500	-8.9545936584473
16	158554.6875000000000	5555.0219726562500	-7.9759573936462
17	141445.3125000000000	5558.2065429687500	-7.1148514747620
18	125976.5625000000000	5561.4130859375000	-6.3430104255676
19	112382.8125000000000	5565.6098632812500	-5.6550970077515
20	100195.3125000000000	5569.0219726562500	-5.0299005508423
21	89179.6874999999999	5571.6538085937500	-4.4810819625854
22	79570.3124999999999	5574.2431640625000	-4.0028948783875
23	70898.4374999999999	5577.0390625000000	-3.5722618103027
24	63164.0624999999999	5579.4379882812500	-3.1905863285065
25	56367.1874999999999	5581.8222656250000	-2.8516962528229
26	50273.4374999999999	5583.7421875000000	-2.5485873222351
27	44882.8124999999999	5585.6899414062500	-2.2840449810028
28	39960.9374999999999	5587.4589843750000	-2.0397794246674
29	35507.8125000000000	5589.1997070312500	-1.8228101730347
30	31757.8125000000000	5590.7338867187500	-1.6351015567780
31	28242.1875000000000	5591.8510742187500	-1.4623689651489
32	25195.3125000000000	5593.0122070312500	-1.3114405870438
33	22617.1875000000000	5593.5693359375000	-1.1847981214523
34	20039.0625000000000	5594.7197265625000	-1.0564538240433
35	17929.6875000000000	5595.6684570312500	-0.9542083144188
36	15663.1093750000000	5596.2270507812500	-0.8409034013748
37	14179.6875000000000	5596.6796875000000	-0.7687197327614
38	12461.8906250000000	5597.2280273437500	-0.6836735010147
39	11089.9394531250000	5597.9340820312500	-0.6206576228142
40	9946.6464843750000	5598.3012695312500	-0.5645965933800
41	9023.4375000000000	5598.3066406250000	-0.5233287811279
42	7888.7197265625000	5598.8642578125000	-0.4708981513977
43	7148.4375000000000	5599.0302734375000	-0.4372720122337
44	6288.1098632812500	5598.9960937500000	-0.4010039269924
45	5602.1342773437500	5599.5712890625000	-0.3768734335899
46	5039.0625000000000	5599.6372070312500	-0.3547990620136
47	4458.8413085937500	5599.8789062500000	-0.3343632221222
48	4001.5244140625000	5600.1025390625000	-0.3199596405029
49	3544.2072753906250	5600.3364257812500	-0.3086273372173
50	3164.0625000000000	5600.5922851562500	-0.3025728464127
51	2790.1784667968750	5600.9687500000000	-0.2977502048016
52	2507.2673339843750	5601.1518554687500	-0.2966065704823
53	2237.2158203125000	5601.6108398437500	-0.2992853522301
54	1979.1666259765625	5602.1176757812500	-0.3048791289330
55	1770.8333740234375	5602.4707031250000	-0.3137460350990
56	1598.0113525390625	5602.8422851562500	-0.3247835338116
57	1417.1511230468750	5603.3515625000000	-0.3404325544834
58	1257.6219482421875	5604.0795898437500	-0.3611602187157
59	1120.9239501953125	5604.6376953125000	-0.3831894099712
60	1004.4642944335937	5605.4096679687500	-0.4090275168419
