IMPEDANCE MEASUREMENT 
9/2/2022-4:43 PM
Chamber temperature (K): 297.49
Chamber pressure (MPa): 0.1
Description: 	1.5Sm_ElectrodeTest
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.500E+6
Stop freq (Hz): 1.000E+3
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1500117.1250000000000	23.2608566284180	-13.8005027770996
1	1328086.0000000000000	23.2698860168457	-12.2044048309326
2	1175507.7500000000000	23.2233657836914	-10.8732156753540
3	1040742.1875000000000	23.7139015197754	-0.5891538858414
4	921210.9374999999980	23.6909217834473	-0.5621620416641
5	815507.8124999999990	23.6765899658203	-0.5303394198418
6	721992.1874999999990	23.6724758148193	-0.5170806646347
7	639257.8124999999990	23.6738090515137	-0.5155645608902
8	565898.4374999999990	23.6790313720703	-0.5181515812874
9	500976.5624999999990	23.6886177062988	-0.5197514295578
10	443554.6874999999990	23.6954174041748	-0.5237303972244
11	392695.3124999999990	23.7072925567627	-0.5446148514748
12	347460.9374999999990	23.7194766998291	-0.5579748749733
13	307617.1874999999990	23.7324657440186	-0.5777447223663
14	272460.9375000000000	23.7445316314697	-0.5908907055855
15	241054.6875000000000	23.7481536865234	-0.6231038570404
16	213398.4375000000000	23.7595214843750	-0.6556774973869
17	189023.4375000000000	23.7687416076660	-0.6933357715607
18	167226.5625000000000	23.7778701782227	-0.7364524602890
19	148242.1875000000000	23.7862625122070	-0.7891387343407
20	131132.8125000000000	23.7954425811768	-0.8536561727524
21	116132.8125000000000	23.8071517944336	-0.9232694506645
22	102773.4375000000000	23.7838306427002	-0.9989520311356
23	91054.6874999999999	23.8131389617920	-1.1022120714188
24	80507.8124999999999	23.8274154663086	-1.2180787324905
25	71367.1874999999999	23.8431091308594	-1.3449018001556
26	63164.0624999999999	23.8602085113525	-1.4871482849121
27	55898.4374999999999	23.8794155120850	-1.6441625356674
28	49570.3124999999999	23.9006576538086	-1.8163229227066
29	43945.3124999999999	23.9243354797363	-2.0047326087952
30	38789.0624999999999	23.9525871276855	-2.2224695682526
31	34335.9375000000000	23.9831123352051	-2.4549014568329
32	30351.5625000000000	24.0167827606201	-2.7145509719849
33	27070.3125000000000	24.0514087677002	-2.9796283245087
34	23789.0625000000000	24.0951614379883	-3.3105142116547
35	21210.9375000000000	24.1374835968018	-3.6352317333221
36	18867.1875000000000	24.1854438781738	-3.9975438117981
37	16523.4375000000000	24.2462139129639	-4.4546957015991
38	14648.4375000000000	24.3081836700439	-4.9149379730225
39	13007.8125000000000	24.3760185241699	-5.4150137901306
40	11318.5976562500000	24.4664077758789	-6.0671191215515
41	10195.3125000000000	24.5415840148926	-6.6103196144104
42	9023.4375000000000	24.6415424346924	-7.3041405677795
43	7888.7197265625000	24.7662525177002	-8.1528749465942
44	6974.0854492187500	24.8987045288086	-9.0182218551636
45	6288.1098632812500	25.0247688293457	-9.8131599426270
46	5468.7500000000000	25.2195415496826	-10.9955911636353
47	4916.1586914062500	25.3905143737793	-11.9899110794067
48	4335.9375000000000	25.6231536865234	-13.2727365493774
49	3867.1875000000000	25.8691577911377	-14.5504407882690
50	3398.4375000000000	26.1925411224365	-16.1314964294434
51	3013.3928222656250	26.5461120605469	-17.7400760650635
52	2629.5732421875000	27.0192241668701	-19.7311630249023
53	2343.7500000000000	27.4913806915283	-21.5570812225342
54	2071.2209472656250	28.0870914459229	-23.6686992645264
55	1853.1976318359375	28.7149124145508	-25.7025432586670
56	1635.1744384765625	29.5459423065186	-28.1386699676514
57	1450.8928222656250	30.4851932525635	-30.6049575805664
58	1289.0625000000000	31.5788993835449	-33.1639442443848
59	1120.9239501953125	33.1214523315430	-36.3218307495117
60	1004.4642944335937	34.5528945922852	-38.8762664794922
