IMPEDANCE MEASUREMENT 
9/14/2022-3:46 PM
Chamber temperature (K): 297.15
Chamber pressure (MPa): -344.614675
Description: 	2070uScm_endClosureSolderTest
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+0
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	238.8483581542969	-3.2486798763275
1	794414.0624999999990	239.8702087402344	-2.5029454231262
2	631054.6874999999990	239.2833709716797	-1.9540908336639
3	501210.9374999999990	238.8790283203125	-1.6158608198166
4	398320.3124999999990	238.6280212402344	-1.2970873117447
5	316289.0624999999990	238.4723052978516	-1.0519413948059
6	251367.1875000000000	238.3568267822266	-0.8280732035637
7	199570.3125000000000	238.3300628662109	-0.6661715507507
8	158554.6875000000000	238.3203582763672	-0.5930252671242
9	125976.5625000000000	238.3211212158203	-0.5272697210312
10	100195.3125000000000	238.4040985107422	-0.4714878201485
11	79570.3124999999999	238.4405517578125	-0.4653709232807
12	63164.0624999999999	238.5493316650391	-0.4750479161739
13	50273.4374999999999	238.6713256835937	-0.4927147030830
14	39960.9374999999999	238.8056182861328	-0.5275729894638
15	31757.8125000000000	238.9597473144531	-0.5778861641884
16	25195.3125000000000	239.1265563964844	-0.6482784748077
17	20039.0625000000000	239.3173828125000	-0.7377174496651
18	15663.1093750000000	239.5522155761719	-0.8587828278542
19	12461.8906250000000	239.8036499023437	-1.0017033815384
20	9946.6464843750000	240.0930786132812	-1.1727836132050
21	7888.7197265625000	240.4231872558594	-1.3890957832336
22	6288.1098632812500	240.8147430419922	-1.6465324163437
23	5039.0625000000000	241.2486724853516	-1.9501771926880
24	4001.5244140625000	241.8041534423828	-2.3333570957184
25	3164.0625000000000	242.4833221435547	-2.8069221973419
26	2507.2673339843750	243.3077545166016	-3.3755500316620
27	1979.1666259765625	244.3469696044922	-4.0764126777649
28	1598.0113525390625	245.5032501220703	-4.8384027481079
29	1257.6219482421875	247.1246032714844	-5.8585844039917
30	1004.4642944335937	249.0455932617187	-7.0076436996460
31	800.3048706054687	251.5100402832031	-8.3886280059814
32	631.0096435546875	254.8093109130859	-10.1010160446167
33	498.6702270507812	258.9915771484375	-12.1143083572388
34	397.2457580566406	264.2308654785156	-14.3883495330811
35	319.6022644042969	270.6284484863281	-16.9031772613525
36	251.1160736083984	279.7873229980469	-20.1257400512695
37	200.8928527832031	290.8177185058594	-23.5512237548828
38	158.0056152343750	306.4363403320312	-27.7311668395996
39	125.5580368041992	326.3531188964844	-32.2011070251465
40	99.7340393066406	352.9556579589844	-37.0729827880859
41	79.4491500854492	388.1497497558594	-42.1594390869141
42	63.3445930480957	434.3786621093750	-47.3156356811523
43	49.8670196533203	499.1991271972656	-52.6522903442383
44	39.7245750427246	579.9880371093750	-57.4409141540527
45	31.8877544403076	680.3170166015625	-61.6760711669922
46	24.9335098266602	824.7741699218750	-65.8764114379883
47	19.9468078613281	991.9401245117187	-69.1628952026367
48	15.9438772201538	1202.6043701171875	-71.9794311523437
49	12.7032518386841	1470.0933837890625	-74.3813171386719
50	9.9101476669312	1839.4531250000000	-76.5421142578125
51	7.9719386100769	2245.1555175781250	-78.0911407470703
52	6.3516259193420	2770.1850585937500	-79.4162750244141
53	4.9708375930786	3480.8337402343750	-80.5613098144531
54	3.9423885345459	4324.7402343750000	-81.4153289794922
55	3.1672296524048	5312.3051757812500	-82.0504074096680
56	2.4854187965393	6675.0649414062500	-82.5870742797852
57	1.9711942672729	8302.5722656250000	-82.9564514160156
58	1.5661543607712	10313.5839843750000	-83.2224426269531
59	1.2600806951523	12659.7958984375000	-83.3845825195312
60	1.0016025304794	15715.1406250000000	-83.4786071777344
