IMPEDANCE MEASUREMENT 
9/15/2022-3:31 PM
Chamber temperature (K): 297.37
Chamber pressure (MPa): 0.1
Description: 	15000uScm_endClosureSolderTest
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	31.8025741577148	6.9864268302917
1	825585.9374999999990	31.6622905731201	5.7176022529602
2	681445.3124999999990	31.5742301940918	4.6906905174255
3	562382.8124999999990	31.5214881896973	3.8157734870911
4	464179.6874999999990	31.4927062988281	3.0755968093872
5	383320.3124999999990	31.4768905639648	2.4563651084900
6	316289.0624999999990	31.4725570678711	1.9268562793732
7	261210.9375000000000	31.4697723388672	1.5111641883850
8	215507.8125000000000	31.4752731323242	1.0830987691879
9	178007.8125000000000	31.4813423156738	0.7376021146774
10	146835.9375000000000	31.4894180297852	0.4168143272400
11	121289.0625000000000	31.5017452239990	0.1194698885083
12	100195.3125000000000	31.4864711761475	-0.1558266580105
13	82617.1874999999999	31.5243721008301	-0.4666117429733
14	68320.3124999999999	31.5529727935791	-0.7706034183502
15	56367.1874999999999	31.5878505706787	-1.0979260206223
16	46523.4374999999999	31.6309814453125	-1.4486727714539
17	38320.3124999999999	31.6853790283203	-1.8321768045425
18	31757.8125000000000	31.7484188079834	-2.2448043823242
19	26132.8125000000000	31.8269557952881	-2.7235810756683
20	21679.6875000000000	31.9164657592773	-3.2429585456848
21	17929.6875000000000	32.0235862731934	-3.8431863784790
22	14519.8173828125000	32.1677970886230	-4.6153521537781
23	12004.5732421875000	32.3262062072754	-5.4246048927307
24	9946.6464843750000	32.5152206420898	-6.3448152542114
25	8320.3125000000000	32.7319679260254	-7.3494615554810
26	6745.4267578125000	33.0458641052246	-8.7124099731445
27	5602.1342773437500	33.3892707824707	-10.1057653427124
28	4687.5000000000000	33.7922210693359	-11.6272020339966
29	3867.1875000000000	34.3264694213867	-13.4947605133057
30	3164.0625000000000	35.0204162597656	-15.7158956527710
31	2629.5732421875000	35.8153724670410	-18.0355682373047
32	2172.2561035156250	36.8317565917969	-20.7255001068115
33	1770.8333740234375	38.2029113769531	-23.9559440612793
34	1450.8928222656250	39.9070816040039	-27.4710998535156
35	1199.1279296875000	41.9828681945801	-31.1560878753662
36	1004.4642944335937	44.4166755676270	-34.8364028930664
37	827.2058715820312	47.7948989868164	-39.0892105102539
38	683.5937500000000	52.0253868103027	-43.4015121459961
39	558.0357055664062	57.7731781005859	-48.0097885131836
40	468.7500000000000	63.9673500061035	-51.8822364807129
41	384.2213134765625	72.7529754638672	-56.0931320190430
42	319.6022644042969	82.8874435424805	-59.7213973999023
43	260.4166564941406	96.7182006835937	-63.3866348266602
44	216.3461608886719	112.1343765258789	-66.3434829711914
45	178.0063323974609	131.8520965576172	-69.0840682983398
46	146.4843750000000	155.8082580566406	-71.4553680419922
47	121.2284469604492	183.9222564697266	-73.4335098266602
48	99.7340393066406	218.8898773193359	-75.1756210327148
49	82.2368392944336	260.3395690917969	-76.6454315185547
50	67.9347839355469	309.7729187011719	-77.8636245727539
51	55.8035697937012	371.4325256347656	-78.8979949951172
52	46.8750000000000	436.1639404296875	-79.6717529296875
53	38.1097564697266	528.4937133789062	-80.4280624389648
54	31.8877544403076	623.4848022460937	-80.9593200683594
55	26.0416660308838	752.9099731445312	-81.4458770751953
56	21.3068180084229	908.1720581054687	-81.8211593627930
57	17.7556819915771	1075.9948730468750	-82.0801010131836
58	14.5574531555176	1294.7714843750000	-82.2858123779297
59	12.1124029159546	1536.9399414062500	-82.4108276367187
60	9.9101476669312	1852.7282714843750	-82.4874496459961
