IMPEDANCE MEASUREMENT 
9/15/2022-3:50 PM
Chamber temperature (K): 297.66
Chamber pressure (MPa): -344.558563
Description: 	15000uScm_endClosureSolderTest
Driving voltage (V): 5.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	32.7201042175293	6.7588386535645
1	825585.9374999999990	32.5804328918457	5.5288171768188
2	681445.3124999999990	32.4911041259766	4.5337429046631
3	562382.8124999999990	32.4390258789062	3.6894507408142
4	464179.6874999999990	32.4117279052734	2.9678723812103
5	383320.3124999999990	32.3958778381348	2.3686392307281
6	316289.0624999999990	32.3905563354492	1.8542727231979
7	261210.9375000000000	32.3888282775879	1.4513742923737
8	215507.8125000000000	32.3914299011230	1.0358504056931
9	178007.8125000000000	32.3965759277344	0.6962423324585
10	146835.9375000000000	32.4033622741699	0.3904955089092
11	121289.0625000000000	32.4147529602051	0.1002796217799
12	100195.3125000000000	32.3967857360840	-0.1698178052902
13	82617.1874999999999	32.4342498779297	-0.4721598625183
14	68320.3124999999999	32.4609069824219	-0.7716334462166
15	56367.1874999999999	32.4944572448730	-1.0944246053696
16	46523.4374999999999	32.5371818542480	-1.4378547668457
17	38320.3124999999999	32.5898246765137	-1.8177056312561
18	31757.8125000000000	32.6516265869141	-2.2247533798218
19	26132.8125000000000	32.7295036315918	-2.6978564262390
20	21679.6875000000000	32.8184280395508	-3.2117915153503
21	17929.6875000000000	32.9263229370117	-3.8071918487549
22	14519.8173828125000	33.0710792541504	-4.5706548690796
23	12004.5732421875000	33.2288780212402	-5.3746585845947
24	9946.6464843750000	33.4189987182617	-6.2854456901550
25	8320.3125000000000	33.6377525329590	-7.2834572792053
26	6745.4267578125000	33.9539756774902	-8.6369009017944
27	5602.1342773437500	34.3024635314941	-10.0191936492920
28	4687.5000000000000	34.7097663879395	-11.5315999984741
29	3867.1875000000000	35.2515869140625	-13.3865661621094
30	3164.0625000000000	35.9564056396484	-15.5942659378052
31	2629.5732421875000	36.7630805969238	-17.8970699310303
32	2172.2561035156250	37.7972526550293	-20.5690288543701
33	1770.8333740234375	39.1904449462891	-23.7779693603516
34	1450.8928222656250	40.9215240478516	-27.2674312591553
35	1199.1279296875000	43.0288429260254	-30.9278869628906
36	1004.4642944335937	45.4974212646484	-34.5864639282227
37	827.2058715820312	48.9260559082031	-38.8147125244141
38	683.5937500000000	53.2150382995605	-43.1049766540527
39	558.0357055664062	59.0422172546387	-47.6959190368652
40	468.7500000000000	65.3230514526367	-51.5585861206055
41	384.2213134765625	74.2231597900391	-55.7595405578613
42	319.6022644042969	84.4872131347656	-59.3841857910156
43	260.4166564941406	98.4977035522461	-63.0507354736328
44	216.3461608886719	114.1001586914062	-66.0103912353516
45	178.0063323974609	134.0548858642578	-68.7558822631836
46	146.4843750000000	158.2799224853516	-71.1345367431641
47	121.2284469604492	186.6936035156250	-73.1217575073242
48	99.7340393066406	222.0195007324219	-74.8729095458984
49	82.2368392944336	263.8905639648437	-76.3528594970703
50	67.9347839355469	313.7824707031250	-77.5815429687500
51	55.8035697937012	375.9813232421875	-78.6257934570312
52	46.8750000000000	441.2620849609375	-79.4113845825195
53	38.1097564697266	534.3546142578125	-80.1779556274414
54	31.8877544403076	630.1018066406250	-80.7207031250000
55	26.0416660308838	760.4863281250000	-81.2207412719727
56	21.3068180084229	916.8688354492187	-81.6073760986328
57	17.7556819915771	1085.7933349609375	-81.8770599365234
58	14.5574531555176	1306.0161132812500	-82.0926208496094
59	12.1124029159546	1549.6436767578125	-82.2269210815430
60	9.9101476669312	1867.2453613281250	-82.3132934570312
