IMPEDANCE MEASUREMENT 
9/20/2022-1:33 PM
Chamber temperature (K): 297.48
Chamber pressure (MPa): -344.521760
Description: 	447uScm_HPtest_SSspacers
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1367.8037109375000	-17.9765472412109
1	825585.9374999999990	1369.2358398437500	-14.1975831985474
2	681445.3124999999990	1365.3671875000000	-11.6384286880493
3	562382.8124999999990	1367.8120117187500	-9.5413599014282
4	464179.6874999999990	1366.3731689453125	-7.9098849296570
5	383320.3124999999990	1364.4063720703125	-6.5031147003174
6	316289.0624999999990	1360.3640136718750	-5.3649597167969
7	261210.9375000000000	1360.0478515625000	-4.4170465469360
8	215507.8125000000000	1361.2867431640625	-3.7032287120819
9	178007.8125000000000	1360.3848876953125	-2.9406807422638
10	146835.9375000000000	1359.8043212890625	-2.4825875759125
11	121289.0625000000000	1361.1967773437500	-2.1703388690948
12	100195.3125000000000	1360.5888671875000	-1.8167583942413
13	82617.1874999999999	1359.6309814453125	-1.5120261907578
14	68320.3124999999999	1359.6324462890625	-1.2725961208344
15	56367.1874999999999	1359.6298828125000	-1.0786999464035
16	46523.4374999999999	1359.8300781250000	-0.9156776666641
17	38320.3124999999999	1359.8470458984375	-0.7846828103065
18	31757.8125000000000	1359.9768066406250	-0.6807047128677
19	26132.8125000000000	1360.4210205078125	-0.5966854691505
20	21679.6875000000000	1360.6469726562500	-0.5344399809837
21	17929.6875000000000	1360.9019775390625	-0.4953078925610
22	14519.8173828125000	1361.0668945312500	-0.4513505995274
23	12004.5732421875000	1361.4152832031250	-0.4400368034840
24	9946.6464843750000	1361.8452148437500	-0.4381238520145
25	8320.3125000000000	1361.9302978515625	-0.4456311464310
26	6745.4267578125000	1362.5432128906250	-0.4765374064445
27	5602.1342773437500	1362.6519775390625	-0.5100163817406
28	4687.5000000000000	1363.1483154296875	-0.5605260133743
29	3867.1875000000000	1363.5853271484375	-0.6278256177902
30	3164.0625000000000	1364.3452148437500	-0.7150425910950
31	2629.5732421875000	1364.9222412109375	-0.8173232078552
32	2172.2561035156250	1365.7869873046875	-0.9417200088501
33	1770.8333740234375	1366.7629394531250	-1.1039351224899
34	1450.8928222656250	1367.9481201171875	-1.2986769676208
35	1199.1279296875000	1369.3752441406250	-1.5184705257416
36	1004.4642944335937	1370.8824462890625	-1.7565783262253
37	827.2058715820312	1372.8006591796875	-2.0646800994873
38	683.5937500000000	1375.1083984375000	-2.4254400730133
39	558.0357055664062	1378.4307861328125	-2.8749682903290
40	468.7500000000000	1382.0773925781250	-3.3037719726562
41	384.2213134765625	1386.5102539062500	-3.9129965305328
42	319.6022644042969	1391.5822753906250	-4.5715122222900
43	260.4166564941406	1398.6230468750000	-5.4296069145203
44	216.3461608886719	1406.7530517578125	-6.3213152885437
45	178.0063323974609	1417.2343750000000	-7.4112763404846
46	146.4843750000000	1430.4343261718750	-8.6693878173828
47	121.2284469604492	1447.2033691406250	-10.0618658065796
48	99.7340393066406	1467.7180175781250	-11.7085380554199
49	82.2368392944336	1497.3963623046875	-13.5248079299927
50	67.9347839355469	1528.5551757812500	-15.5595445632935
51	55.8035697937012	1567.9259033203125	-17.9135456085205
52	46.8750000000000	1611.3702392578125	-20.2527770996094
53	38.1097564697266	1673.7595214843750	-23.2605628967285
54	31.8877544403076	1741.3400878906250	-26.0923137664795
55	26.0416660308838	1837.4487304687500	-29.5424766540527
56	21.3068180084229	1955.8399658203125	-33.1740493774414
57	17.7556819915771	2089.0957031250000	-36.6046180725098
58	14.5574531555176	2268.0041503906250	-40.4311676025391
59	12.1124029159546	2471.6501464843750	-44.0040817260742
60	9.9101476669312	2744.4321289062500	-47.8617897033691
