IMPEDANCE MEASUREMENT 
9/20/2022-4:56 PM
Chamber temperature (K): 298.30
Chamber pressure (MPa): -344.579751
Description: 	447uScm_HPtest_SSspacers_inChamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1533.8687744140625	-18.9115028381348
1	825585.9374999999990	1541.7434082031250	-14.8908472061157
2	681445.3124999999990	1537.1800537109375	-12.0919532775879
3	562382.8124999999990	1534.5679931640625	-9.8649272918701
4	464179.6874999999990	1530.8935546875000	-8.1059675216675
5	383320.3124999999990	1529.4228515625000	-6.6595859527588
6	316289.0624999999990	1527.8708496093750	-5.4941101074219
7	261210.9375000000000	1536.9868164062500	-4.2064752578735
8	215507.8125000000000	1534.0061035156250	-3.4529876708984
9	178007.8125000000000	1531.4902343750000	-2.8345372676849
10	146835.9375000000000	1529.9659423828125	-2.3418860435486
11	121289.0625000000000	1528.9180908203125	-1.9240655899048
12	100195.3125000000000	1527.6788330078125	-1.5779658555984
13	82617.1874999999999	1527.0814208984375	-1.3077229261398
14	68320.3124999999999	1526.7667236328125	-1.1026107072830
15	56367.1874999999999	1526.5103759765625	-0.9242101907730
16	46523.4374999999999	1526.2910156250000	-0.7812888622284
17	38320.3124999999999	1526.3724365234375	-0.6695365309715
18	31757.8125000000000	1526.2054443359375	-0.5853135585785
19	26132.8125000000000	1526.3740234375000	-0.5092214941978
20	21679.6875000000000	1526.4597167968750	-0.4602865576744
21	17929.6875000000000	1526.6365966796875	-0.4232586622238
22	14519.8173828125000	1526.6899414062500	-0.4027912616730
23	12004.5732421875000	1526.9790039062500	-0.3975397944450
24	9946.6464843750000	1527.0889892578125	-0.4029347896576
25	8320.3125000000000	1527.2998046875000	-0.4153051078320
26	6745.4267578125000	1527.6137695312500	-0.4551504850388
27	5602.1342773437500	1527.9024658203125	-0.4976998269558
28	4687.5000000000000	1528.3973388671875	-0.5485776662827
29	3867.1875000000000	1528.8577880859375	-0.6226779818535
30	3164.0625000000000	1529.5496826171875	-0.7186557650566
31	2629.5732421875000	1530.2324218750000	-0.8225539326668
32	2172.2561035156250	1531.1802978515625	-0.9591794013977
33	1770.8333740234375	1532.3372802734375	-1.1296334266663
34	1450.8928222656250	1533.6546630859375	-1.3318715095520
35	1199.1279296875000	1535.2910156250000	-1.5586559772491
36	1004.4642944335937	1537.0505371093750	-1.8149214982986
37	827.2058715820312	1539.3081054687500	-2.1319613456726
38	683.5937500000000	1542.1439208984375	-2.5072860717773
39	558.0357055664062	1545.6834716796875	-2.9767253398895
40	468.7500000000000	1549.4810791015625	-3.4490177631378
41	384.2213134765625	1554.6491699218750	-4.0755138397217
42	319.6022644042969	1560.8566894531250	-4.7509908676147
43	260.4166564941406	1569.2658691406250	-5.6331820487976
44	216.3461608886719	1578.7021484375000	-6.5555930137634
45	178.0063323974609	1591.2458496093750	-7.6842465400696
46	146.4843750000000	1606.8822021484375	-8.9742584228516
47	121.2284469604492	1625.0946044921875	-10.4034643173218
48	99.7340393066406	1649.2725830078125	-12.0835065841675
49	82.2368392944336	1684.6284179687500	-13.9569015502930
50	67.9347839355469	1721.2172851562500	-16.0587692260742
51	55.8035697937012	1767.7849121093750	-18.4711627960205
52	46.8750000000000	1818.3696289062500	-20.8255481719971
53	38.1097564697266	1892.7722167968750	-23.8830909729004
54	31.8877544403076	1972.0594482421875	-26.7372016906738
55	26.0416660308838	2084.7165527343750	-30.2192478179932
56	21.3068180084229	2222.8750000000000	-33.8685798645020
57	17.7556819915771	2378.2502441406250	-37.3215713500977
58	14.5574531555176	2587.1894531250000	-41.1699447631836
59	12.1124029159546	2825.6015625000000	-44.7602806091309
60	9.9101476669312	3146.3383789062500	-48.6341590881348
