IMPEDANCE MEASUREMENT 
9/20/2022-1:31 PM
Chamber temperature (K): 297.46
Chamber pressure (MPa): -344.527722
Description: 	447uScm_HPtest_SSspacers
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1372.2976074218750	-17.6674480438232
1	825585.9374999999990	1369.2602539062500	-14.1124944686890
2	681445.3124999999990	1728.1175537109375	-28.1528434753418
3	562382.8124999999990	1368.0366210937500	-12.0275659561157
4	464179.6874999999990	1882.9160156250000	-19.8430461883545
5	383320.3124999999990	1357.2764892578125	-6.7926540374756
6	316289.0624999999990	1372.4305419921875	-6.8126120567322
7	261210.9375000000000	1361.6331787109375	-4.6651215553284
8	215507.8125000000000	1359.5954589843750	-3.8646957874298
9	178007.8125000000000	1358.6352539062500	-3.2177186012268
10	146835.9375000000000	1358.0981445312500	-2.6342334747314
11	121289.0625000000000	1357.9642333984375	-2.1749880313873
12	100195.3125000000000	1357.2292480468750	-1.8004271984100
13	82617.1874999999999	1356.8619384765625	-1.4978114366531
14	68320.3124999999999	1356.8404541015625	-1.2641774415970
15	56367.1874999999999	1356.8791503906250	-1.0626512765884
16	46523.4374999999999	1357.0083007812500	-0.9037778377533
17	38320.3124999999999	1357.2509765625000	-0.8097922801971
18	31757.8125000000000	1357.4335937500000	-0.7050890326500
19	26132.8125000000000	1357.4588623046875	-0.6141270399094
20	21679.6875000000000	1357.8886718750000	-0.5359072685242
21	17929.6875000000000	1360.1788330078125	-0.0758671313524
22	14519.8173828125000	1358.6737060546875	-0.4182431697845
23	12004.5732421875000	1360.0751953125000	-0.3237172067165
24	9946.6464843750000	1360.2548828125000	-0.1452494859695
25	8320.3125000000000	1359.2139892578125	-0.4485591351986
26	6745.4267578125000	1359.4730224609375	-0.4737277030945
27	5602.1342773437500	1359.9973144531250	-0.5064807534218
28	4687.5000000000000	1360.5062255859375	-0.5593778491020
29	3867.1875000000000	1360.9648437500000	-0.6289067268372
30	3164.0625000000000	1361.5229492187500	-0.7151430249214
31	2629.5732421875000	1362.2255859375000	-0.8175248503685
32	2172.2561035156250	1363.0566406250000	-0.9419806599617
33	1770.8333740234375	1364.0499267578125	-1.1012587547302
34	1450.8928222656250	1365.1285400390625	-1.2924112081528
35	1199.1279296875000	1366.6051025390625	-1.5153781175613
36	1004.4642944335937	1367.9105224609375	-1.7544890642166
37	827.2058715820312	1369.9367675781250	-2.0622422695160
38	683.5937500000000	1372.2098388671875	-2.4219813346863
39	558.0357055664062	1375.7593994140625	-2.8704152107239
40	468.7500000000000	1379.4245605468750	-3.2987387180328
41	384.2213134765625	1383.7485351562500	-3.9124290943146
42	319.6022644042969	1388.6677246093750	-4.5684871673584
43	260.4166564941406	1395.8530273437500	-5.4218153953552
44	216.3461608886719	1403.8101806640625	-6.3183636665344
45	178.0063323974609	1414.2622070312500	-7.4146432876587
46	146.4843750000000	1427.5972900390625	-8.6603307723999
47	121.2284469604492	1444.0864257812500	-10.0515756607056
48	99.7340393066406	1464.5697021484375	-11.6929655075073
49	82.2368392944336	1493.9597167968750	-13.5105237960815
50	67.9347839355469	1525.1525878906250	-15.5804557800293
51	55.8035697937012	1565.2722167968750	-17.8995151519775
52	46.8750000000000	1607.9116210937500	-20.2379913330078
53	38.1097564697266	1669.6824951171875	-23.2558479309082
54	31.8877544403076	1737.1223144531250	-26.0904216766357
55	26.0416660308838	1833.1505126953125	-29.5396194458008
56	21.3068180084229	1950.9952392578125	-33.1747474670410
57	17.7556819915771	2083.9475097656250	-36.6118927001953
58	14.5574531555176	2262.5432128906250	-40.4415092468262
59	12.1124029159546	2465.6108398437500	-44.0120086669922
60	9.9101476669312	2737.9206542968750	-47.8845901489258
