IMPEDANCE MEASUREMENT 
9/20/2022-5:00 PM
Chamber temperature (K): 298.35
Chamber pressure (MPa): -344.553005
Description: 	447uScm_HPtest_SSspacers_inChamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1534.5889892578125	-18.6931953430176
1	825585.9374999999990	1543.9478759765625	-14.8937273025513
2	681445.3124999999990	1539.6342773437500	-12.1572828292847
3	562382.8124999999990	1536.3273925781250	-9.9189357757568
4	464179.6874999999990	1533.5924072265625	-8.1293821334839
5	383320.3124999999990	1531.3303222656250	-6.6935434341431
6	316289.0624999999990	1529.5678710937500	-5.5156617164612
7	261210.9375000000000	1538.6392822265625	-4.2207698822021
8	215507.8125000000000	1536.0672607421875	-3.4533147811890
9	178007.8125000000000	1533.4907226562500	-2.8442454338074
10	146835.9375000000000	1532.1364746093750	-2.3273334503174
11	121289.0625000000000	1530.6685791015625	-1.9226256608963
12	100195.3125000000000	1529.7597656250000	-1.5820746421814
13	82617.1874999999999	1529.1324462890625	-1.3099769353867
14	68320.3124999999999	1528.6492919921875	-1.1001299619675
15	56367.1874999999999	1528.5263671875000	-0.9253486990929
16	46523.4374999999999	1528.1823730468750	-0.7859508395195
17	38320.3124999999999	1528.3186035156250	-0.6699591875076
18	31757.8125000000000	1528.3916015625000	-0.5817052125931
19	26132.8125000000000	1528.4597167968750	-0.5073314905167
20	21679.6875000000000	1528.5527343750000	-0.4661577641964
21	17929.6875000000000	1528.6035156250000	-0.4280141890049
22	14519.8173828125000	1528.7418212890625	-0.4085543155670
23	12004.5732421875000	1529.0031738281250	-0.3969633579254
24	9946.6464843750000	1529.1563720703125	-0.4021153450012
25	8320.3125000000000	1529.3322753906250	-0.4172664582729
26	6745.4267578125000	1529.7202148437500	-0.4531564414501
27	5602.1342773437500	1529.9099121093750	-0.4921166002750
28	4687.5000000000000	1530.3957519531250	-0.5482606887817
29	3867.1875000000000	1531.0253906250000	-0.6220870018005
30	3164.0625000000000	1531.5706787109375	-0.7183606028557
31	2629.5732421875000	1532.3555908203125	-0.8228871226311
32	2172.2561035156250	1533.2283935546875	-0.9591745138168
33	1770.8333740234375	1534.4133300781250	-1.1295564174652
34	1450.8928222656250	1535.8009033203125	-1.3329850435257
35	1199.1279296875000	1537.3529052734375	-1.5593701601028
36	1004.4642944335937	1538.9523925781250	-1.8101150989532
37	827.2058715820312	1541.2822265625000	-2.1342535018921
38	683.5937500000000	1544.0291748046875	-2.5088040828705
39	558.0357055664062	1547.8289794921875	-2.9775810241699
40	468.7500000000000	1551.5690917968750	-3.4535338878632
41	384.2213134765625	1556.7724609375000	-4.0813503265381
42	319.6022644042969	1563.0561523437500	-4.7599401473999
43	260.4166564941406	1571.3465576171875	-5.6368269920349
44	216.3461608886719	1580.8659667968750	-6.5589346885681
45	178.0063323974609	1593.3909912109375	-7.6894578933716
46	146.4843750000000	1609.0295410156250	-8.9814720153809
47	121.2284469604492	1627.3103027343750	-10.4045104980469
48	99.7340393066406	1651.7128906250000	-12.0875377655029
49	82.2368392944336	1687.1301269531250	-13.9622755050659
50	67.9347839355469	1723.6922607421875	-16.0659732818604
51	55.8035697937012	1770.4420166015625	-18.4776840209961
52	46.8750000000000	1821.1542968750000	-20.8316669464111
53	38.1097564697266	1895.6750488281250	-23.8909015655518
54	31.8877544403076	1975.1918945312500	-26.7406578063965
55	26.0416660308838	2087.9978027343750	-30.2239913940430
56	21.3068180084229	2226.5852050781250	-33.8715705871582
57	17.7556819915771	2382.2458496093750	-37.3185348510742
58	14.5574531555176	2591.5346679687500	-41.1626243591309
59	12.1124029159546	2830.3588867187500	-44.7513542175293
60	9.9101476669312	3151.2548828125000	-48.6201362609863
