IMPEDANCE MEASUREMENT 
9/22/2022-3:39 PM
Chamber temperature (K): 297.34
Chamber pressure (MPa): 71.869462
Description: 	447uScm_HPtest_SSspacers_inChamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1050.8076171875000	-16.3113880157471
1	825585.9374999999990	1059.1730957031250	-12.9522504806519
2	681445.3124999999990	1057.0424804687500	-10.5993347167969
3	562382.8124999999990	1055.2862548828125	-8.6650438308716
4	464179.6874999999990	1053.4836425781250	-7.1159353256226
5	383320.3124999999990	1052.3780517578125	-5.8741192817688
6	316289.0624999999990	1051.6083984375000	-4.8666367530823
7	261210.9375000000000	1060.8465576171875	-3.4273426532745
8	215507.8125000000000	1058.0465087890625	-2.7866933345795
9	178007.8125000000000	1056.1666259765625	-2.2851154804230
10	146835.9375000000000	1054.7626953125000	-1.8686002492905
11	121289.0625000000000	1053.8446044921875	-1.5252221822739
12	100195.3125000000000	1053.0787353515625	-1.2561186552048
13	82617.1874999999999	1052.4273681640625	-1.0409078598022
14	68320.3124999999999	1052.0346679687500	-0.8759129643440
15	56367.1874999999999	1051.8236083984375	-0.7375710010529
16	46523.4374999999999	1051.6368408203125	-0.6278496980667
17	38320.3124999999999	1051.4282226562500	-0.5436808466911
18	31757.8125000000000	1051.5661621093750	-0.4818384945393
19	26132.8125000000000	1051.6230468750000	-0.4369001984596
20	21679.6875000000000	1051.6114501953125	-0.4036059975624
21	17929.6875000000000	1051.6765136718750	-0.3792615532875
22	14519.8173828125000	1051.8986816406250	-0.3680627942085
23	12004.5732421875000	1051.9190673828125	-0.3719788491726
24	9946.6464843750000	1052.1403808593750	-0.3893264532089
25	8320.3125000000000	1052.3607177734375	-0.4175753593445
26	6745.4267578125000	1052.6867675781250	-0.4598895907402
27	5602.1342773437500	1052.9614257812500	-0.5066740512848
28	4687.5000000000000	1053.2590332031250	-0.5738142728806
29	3867.1875000000000	1053.6834716796875	-0.6597598195076
30	3164.0625000000000	1054.1254882812500	-0.7652703523636
31	2629.5732421875000	1054.6462402343750	-0.8881368637085
32	2172.2561035156250	1055.2393798828125	-1.0374326705933
33	1770.8333740234375	1056.1263427734375	-1.2312375307083
34	1450.8928222656250	1057.1646728515625	-1.4525996446609
35	1199.1279296875000	1058.2313232421875	-1.7077479362488
36	1004.4642944335937	1059.5450439453125	-1.9917049407959
37	827.2058715820312	1061.3062744140625	-2.3507070541382
38	683.5937500000000	1063.2841796875000	-2.7632651329041
39	558.0357055664062	1066.1224365234375	-3.2925007343292
40	468.7500000000000	1068.9294433593750	-3.8169612884521
41	384.2213134765625	1073.0509033203125	-4.5184583663940
42	319.6022644042969	1077.7746582031250	-5.2682776451111
43	260.4166564941406	1084.4156494140625	-6.2445106506348
44	216.3461608886719	1092.0087890625000	-7.2667775154114
45	178.0063323974609	1101.6796875000000	-8.5040588378906
46	146.4843750000000	1113.8719482421875	-9.9249401092529
47	121.2284469604492	1128.6202392578125	-11.4930515289307
48	99.7340393066406	1147.2236328125000	-13.3296861648560
49	82.2368392944336	1174.0130615234375	-15.3634166717529
50	67.9347839355469	1201.4757080078125	-17.6564140319824
51	55.8035697937012	1236.2802734375000	-20.2969284057617
52	46.8750000000000	1273.9967041015625	-22.8962078094482
53	38.1097564697266	1329.7572021484375	-26.3116893768311
54	31.8877544403076	1389.9216308593750	-29.5374202728271
55	26.0416660308838	1476.7242431640625	-33.5072631835937
56	21.3068180084229	1587.0098876953125	-37.6939125061035
57	17.7556819915771	1713.1285400390625	-41.6466979980469
58	14.5574531555176	1885.3732910156250	-46.0110359191895
59	12.1124029159546	2086.7048339843750	-50.0099105834961
60	9.9101476669312	2361.1750488281250	-54.2158432006836
