IMPEDANCE MEASUREMENT 
9/22/2022-2:09 PM
Chamber temperature (K): 297.11
Chamber pressure (MPa): 73.168110
Description: 	447uScm_HPtest_SSspacers_inChamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1049.5709228515625	-16.1990928649902
1	825585.9374999999990	1053.4685058593750	-12.8757238388062
2	681445.3124999999990	1051.9730224609375	-10.5349388122559
3	562382.8124999999990	1049.6829833984375	-8.6180181503296
4	464179.6874999999990	1048.2431640625000	-7.0733747482300
5	383320.3124999999990	1046.9541015625000	-5.8214898109436
6	316289.0624999999990	1046.2797851562500	-4.7832622528076
7	261210.9375000000000	1055.1916503906250	-3.4276485443115
8	215507.8125000000000	1052.3121337890625	-2.8064706325531
9	178007.8125000000000	1050.6317138671875	-2.2817010879517
10	146835.9375000000000	1049.2650146484375	-1.8681622743607
11	121289.0625000000000	1048.2330322265625	-1.5433815717697
12	100195.3125000000000	1047.5113525390625	-1.2623541355133
13	82617.1874999999999	1046.8674316406250	-1.0460417270660
14	68320.3124999999999	1046.5324707031250	-0.8727805614471
15	56367.1874999999999	1046.2203369140625	-0.7393459677696
16	46523.4374999999999	1046.0673828125000	-0.6304802894592
17	38320.3124999999999	1046.0830078125000	-0.5469807386398
18	31757.8125000000000	1046.0428466796875	-0.4843561351299
19	26132.8125000000000	1046.0983886718750	-0.4377575218678
20	21679.6875000000000	1046.1894531250000	-0.4080647826195
21	17929.6875000000000	1046.3078613281250	-0.3795451521873
22	14519.8173828125000	1046.3659667968750	-0.3724905252457
23	12004.5732421875000	1046.5231933593750	-0.3808310627937
24	9946.6464843750000	1046.8513183593750	-0.3890523910522
25	8320.3125000000000	1046.9354248046875	-0.4202095866203
26	6745.4267578125000	1047.3172607421875	-0.4588012397289
27	5602.1342773437500	1047.4443359375000	-0.5188565850258
28	4687.5000000000000	1047.8345947265625	-0.5763958692551
29	3867.1875000000000	1048.2779541015625	-0.6615062355995
30	3164.0625000000000	1048.6827392578125	-0.7701184749603
31	2629.5732421875000	1049.2873535156250	-0.8882817029953
32	2172.2561035156250	1049.9272460937500	-1.0358011722565
33	1770.8333740234375	1050.7550048828125	-1.2283207178116
34	1450.8928222656250	1051.8093261718750	-1.4512789249420
35	1199.1279296875000	1052.8905029296875	-1.7091264724731
36	1004.4642944335937	1054.2924804687500	-1.9883242845535
37	827.2058715820312	1055.9086914062500	-2.3481171131134
38	683.5937500000000	1058.0009765625000	-2.7632095813751
39	558.0357055664062	1060.7524414062500	-3.2832305431366
40	468.7500000000000	1063.6702880859375	-3.8169097900391
41	384.2213134765625	1067.7376708984375	-4.5155401229858
42	319.6022644042969	1072.4395751953125	-5.2660508155823
43	260.4166564941406	1079.0449218750000	-6.2386159896851
44	216.3461608886719	1086.5064697265625	-7.2640547752380
45	178.0063323974609	1096.2005615234375	-8.5054044723511
46	146.4843750000000	1108.4190673828125	-9.9176912307739
47	121.2284469604492	1122.9276123046875	-11.4869279861450
48	99.7340393066406	1141.5732421875000	-13.3202104568481
49	82.2368392944336	1168.2882080078125	-15.3590927124023
50	67.9347839355469	1195.4219970703125	-17.6449928283691
51	55.8035697937012	1230.0826416015625	-20.2888984680176
52	46.8750000000000	1267.6086425781250	-22.8879890441895
53	38.1097564697266	1323.0714111328125	-26.3038234710693
54	31.8877544403076	1382.9974365234375	-29.5315055847168
55	26.0416660308838	1469.3853759765625	-33.4994049072266
56	21.3068180084229	1579.2225341796875	-37.6855506896973
57	17.7556819915771	1704.7993164062500	-41.6347808837891
58	14.5574531555176	1876.3227539062500	-45.9922637939453
59	12.1124029159546	2076.8964843750000	-49.9844627380371
60	9.9101476669312	2350.1538085937500	-54.1813430786133
