IMPEDANCE MEASUREMENT 
9/23/2022-3:00 PM
Chamber temperature (K): 297.08
Chamber pressure (MPa): 75.863567
Description: 	447uScm_HPtest_SSspacers_inChamber_nextDay
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1067.8779296875000	-16.7400913238525
1	825585.9374999999990	1073.1413574218750	-13.5081214904785
2	681445.3124999999990	1071.6901855468750	-11.0163192749023
3	562382.8124999999990	1070.9216308593750	-9.0273332595825
4	464179.6874999999990	1068.1823730468750	-7.4143867492676
5	383320.3124999999990	1067.4826660156250	-6.1254487037659
6	316289.0624999999990	1066.6926269531250	-5.0611310005188
7	261210.9375000000000	1076.9145507812500	-3.5704097747803
8	215507.8125000000000	1074.1436767578125	-2.9125185012817
9	178007.8125000000000	1072.0141601562500	-2.3894565105438
10	146835.9375000000000	1070.7326660156250	-1.9489561319351
11	121289.0625000000000	1069.6450195312500	-1.6015602350235
12	100195.3125000000000	1068.7893066406250	-1.3145834207535
13	82617.1874999999999	1068.1324462890625	-1.0846233367920
14	68320.3124999999999	1067.7095947265625	-0.9109159708023
15	56367.1874999999999	1067.3078613281250	-0.7666226625443
16	46523.4374999999999	1067.0875244140625	-0.6560294628143
17	38320.3124999999999	1066.8836669921875	-0.5674284100533
18	31757.8125000000000	1066.8510742187500	-0.5001227855682
19	26132.8125000000000	1066.8348388671875	-0.4421283304691
20	21679.6875000000000	1066.9160156250000	-0.4114054441452
21	17929.6875000000000	1066.8516845703125	-0.3863524794579
22	14519.8173828125000	1066.9940185546875	-0.3783223032951
23	12004.5732421875000	1067.1273193359375	-0.3798159062862
24	9946.6464843750000	1067.1846923828125	-0.3893536627293
25	8320.3125000000000	1067.1981201171875	-0.4114380776882
26	6745.4267578125000	1067.4119873046875	-0.4567187726498
27	5602.1342773437500	1067.7459716796875	-0.5053638815880
28	4687.5000000000000	1067.8464355468750	-0.5715629458427
29	3867.1875000000000	1068.1586914062500	-0.6528202295303
30	3164.0625000000000	1068.5698242187500	-0.7588395476341
31	2629.5732421875000	1069.0618896484375	-0.8756403923035
32	2172.2561035156250	1069.6251220703125	-1.0265719890594
33	1770.8333740234375	1070.3636474609375	-1.2155860662460
34	1450.8928222656250	1071.2791748046875	-1.4350725412369
35	1199.1279296875000	1072.3466796875000	-1.6885906457901
36	1004.4642944335937	1073.5916748046875	-1.9620201587677
37	827.2058715820312	1075.1590576171875	-2.3165879249573
38	683.5937500000000	1077.2419433593750	-2.7294003963470
39	558.0357055664062	1079.8924560546875	-3.2491528987885
40	468.7500000000000	1082.6318359375000	-3.7742216587067
41	384.2213134765625	1086.6431884765625	-4.4651598930359
42	319.6022644042969	1091.4216308593750	-5.2086343765259
43	260.4166564941406	1098.0039062500000	-6.1724271774292
44	216.3461608886719	1105.3188476562500	-7.1851234436035
45	178.0063323974609	1115.0402832031250	-8.4085884094238
46	146.4843750000000	1127.1984863281250	-9.8107137680054
47	121.2284469604492	1141.7524414062500	-11.3639783859253
48	99.7340393066406	1160.4294433593750	-13.1843929290771
49	82.2368392944336	1187.1135253906250	-15.1935129165649
50	67.9347839355469	1214.4824218750000	-17.4554996490479
51	55.8035697937012	1249.2309570312500	-20.0705928802490
52	46.8750000000000	1286.6229248046875	-22.6410598754883
53	38.1097564697266	1342.0574951171875	-26.0221767425537
54	31.8877544403076	1401.7824707031250	-29.2188472747803
55	26.0416660308838	1487.8917236328125	-33.1554946899414
56	21.3068180084229	1597.1435546875000	-37.3141899108887
57	17.7556819915771	1720.9840087890625	-41.2500534057617
58	14.5574531555176	1892.6151123046875	-45.6108627319336
59	12.1124029159546	2092.1674804687500	-49.6155357360840
60	9.9101476669312	2364.3342285156250	-53.8384780883789
