IMPEDANCE MEASUREMENT 
9/23/2022-3:23 PM
Chamber temperature (K): 297.07
Chamber pressure (MPa): 2.224063
Description: 	447uScm_HPtest_SSspacers_inChamber_nextDay
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1146.5330810546875	-17.6162986755371
1	825585.9374999999990	1160.9947509765625	-14.2117433547974
2	681445.3124999999990	1159.8631591796875	-11.6569709777832
3	562382.8124999999990	1159.0202636718750	-9.5546073913574
4	464179.6874999999990	1157.8752441406250	-7.8320989608765
5	383320.3124999999990	1157.0744628906250	-6.4499287605286
6	316289.0624999999990	1156.1955566406250	-5.3380055427551
7	261210.9375000000000	1166.8367919921875	-3.8724973201752
8	215507.8125000000000	1164.0650634765625	-3.1560747623444
9	178007.8125000000000	1162.2386474609375	-2.5879783630371
10	146835.9375000000000	1160.5838623046875	-2.1200249195099
11	121289.0625000000000	1159.6177978515625	-1.7439310550690
12	100195.3125000000000	1158.7373046875000	-1.4250570535660
13	82617.1874999999999	1158.1737060546875	-1.1825379133224
14	68320.3124999999999	1157.7220458984375	-0.9889097213745
15	56367.1874999999999	1157.3140869140625	-0.8311712145805
16	46523.4374999999999	1157.2213134765625	-0.7059924602509
17	38320.3124999999999	1157.1635742187500	-0.6024047136307
18	31757.8125000000000	1157.1098632812500	-0.5252785086632
19	26132.8125000000000	1157.0194091796875	-0.4697090685368
20	21679.6875000000000	1157.2541503906250	-0.4270648360252
21	17929.6875000000000	1157.3270263671875	-0.4002011120319
22	14519.8173828125000	1157.3918457031250	-0.3827819526196
23	12004.5732421875000	1157.5223388671875	-0.3808307051659
24	9946.6464843750000	1157.5947265625000	-0.3911454081535
25	8320.3125000000000	1157.6761474609375	-0.4148817360401
26	6745.4267578125000	1157.9154052734375	-0.4514201879501
27	5602.1342773437500	1158.1628417968750	-0.5027715563774
28	4687.5000000000000	1158.5454101562500	-0.5628973245621
29	3867.1875000000000	1158.9196777343750	-0.6416139602661
30	3164.0625000000000	1159.4370117187500	-0.7446265816689
31	2629.5732421875000	1159.9838867187500	-0.8580616116524
32	2172.2561035156250	1160.6600341796875	-1.0005458593369
33	1770.8333740234375	1161.5682373046875	-1.1871776580811
34	1450.8928222656250	1162.5013427734375	-1.4013096094131
35	1199.1279296875000	1163.6875000000000	-1.6454206705093
36	1004.4642944335937	1165.0985107421875	-1.9123133420944
37	827.2058715820312	1166.8013916015625	-2.2583510875702
38	683.5937500000000	1168.9438476562500	-2.6567800045013
39	558.0357055664062	1171.8349609375000	-3.1614861488342
40	468.7500000000000	1174.8419189453125	-3.6748015880585
41	384.2213134765625	1179.0986328125000	-4.3484497070312
42	319.6022644042969	1184.0756835937500	-5.0748977661133
43	260.4166564941406	1190.8527832031250	-6.0118422508240
44	216.3461608886719	1198.6539306640625	-7.0039772987366
45	178.0063323974609	1208.8870849609375	-8.2018775939941
46	146.4843750000000	1221.5538330078125	-9.5791893005371
47	121.2284469604492	1236.9560546875000	-11.1076278686523
48	99.7340393066406	1256.5118408203125	-12.8913841247559
49	82.2368392944336	1284.8175048828125	-14.8774747848511
50	67.9347839355469	1313.6993408203125	-17.1112537384033
51	55.8035697937012	1350.3919677734375	-19.6925449371338
52	46.8750000000000	1390.3132324218750	-22.2295742034912
53	38.1097564697266	1449.1627197265625	-25.5655994415283
54	31.8877544403076	1513.2586669921875	-28.7205886840820
55	26.0416660308838	1605.4056396484375	-32.5864639282227
56	21.3068180084229	1719.5930175781250	-36.6843147277832
57	17.7556819915771	1851.7850341796875	-40.5618133544922
58	14.5574531555176	2033.8786621093750	-44.8097610473633
59	12.1124029159546	2244.4951171875000	-48.7301559448242
60	9.9101476669312	2530.2690429687500	-52.8460922241211
