IMPEDANCE MEASUREMENT 
9/23/2022-7:25 PM
Chamber temperature (K): 298.79
Chamber pressure (MPa): 1.136100
Description: 	447uScm_HPtest_SSspacers_afterRemoval_TiRods
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1933.1624755859375	-15.2558526992798
1	825585.9374999999990	1922.3874511718750	-12.0142240524292
2	681445.3124999999990	1897.4047851562500	-9.6745443344116
3	562382.8124999999990	1861.7668457031250	-7.4905738830566
4	464179.6874999999990	1866.7673339843750	-6.3622326850891
5	383320.3124999999990	1859.5800781250000	-5.2157902717590
6	316289.0624999999990	1852.3807373046875	-4.2688188552856
7	261210.9375000000000	1851.5775146484375	-4.0397858619690
8	215507.8125000000000	1848.0452880859375	-3.3380403518677
9	178007.8125000000000	1846.0581054687500	-2.7630910873413
10	146835.9375000000000	1844.4216308593750	-2.2915451526642
11	121289.0625000000000	1843.6343994140625	-1.9036148786545
12	100195.3125000000000	1842.5372314453125	-1.5883193016052
13	82617.1874999999999	1842.3054199218750	-1.3335547447205
14	68320.3124999999999	1842.1695556640625	-1.1429233551025
15	56367.1874999999999	1842.2581787109375	-0.9800739288330
16	46523.4374999999999	1842.3385009765625	-0.8469037413597
17	38320.3124999999999	1842.5322265625000	-0.7484863400459
18	31757.8125000000000	1842.9639892578125	-0.6746383905411
19	26132.8125000000000	1838.8765869140625	-1.1165776252747
20	21679.6875000000000	1840.2609863281250	-0.9973435401917
21	17929.6875000000000	1841.2552490234375	-0.9041945338249
22	14519.8173828125000	1842.8106689453125	-0.8335319161415
23	12004.5732421875000	1843.4301757812500	-0.8004418015480
24	9946.6464843750000	1844.3344726562500	-0.7839191555977
25	8320.3125000000000	1845.6939697265625	-0.7971940636635
26	6745.4267578125000	1846.3175048828125	-0.8302806019783
27	5602.1342773437500	1847.6572265625000	-0.8864710927010
28	4687.5000000000000	1849.1071777343750	-0.9562782645226
29	3867.1875000000000	1849.6821289062500	-1.0590513944626
30	3164.0625000000000	1853.6180419921875	-1.1945194005966
31	2629.5732421875000	1850.8421630859375	-1.3493198156357
32	2172.2561035156250	1855.3144531250000	-1.5460233688354
33	1770.8333740234375	1856.9432373046875	-1.7981952428818
34	1450.8928222656250	1859.6879882812500	-2.0927751064301
35	1199.1279296875000	1864.7403564453125	-2.4267866611481
36	1004.4642944335937	1868.7193603515625	-2.7880353927612
37	827.2058715820312	1873.0799560546875	-3.2574520111084
38	683.5937500000000	1879.4506835937500	-3.7863125801086
39	558.0357055664062	1887.6455078125000	-4.4507970809937
40	468.7500000000000	1895.5373535156250	-5.1177225112915
41	384.2213134765625	1907.6896972656250	-5.9900736808777
42	319.6022644042969	1920.5260009765625	-6.9270501136780
43	260.4166564941406	1937.4913330078125	-8.1329164505005
44	216.3461608886719	1955.7473144531250	-9.3935842514038
45	178.0063323974609	1980.7171630859375	-10.9096689224243
46	146.4843750000000	2010.2871093750000	-12.6429128646851
47	121.2284469604492	2046.4128417968750	-14.5592041015625
48	99.7340393066406	2092.7536621093750	-16.7962951660156
49	82.2368392944336	2155.1738281250000	-19.2829456329346
50	67.9347839355469	2223.5341796875000	-22.0501136779785
51	55.8035697937012	2311.6306152343750	-25.2044868469238
52	46.8750000000000	2409.8073730468750	-28.2509403228760
53	38.1097564697266	2555.9790039062500	-32.1545753479004
54	31.8877544403076	2715.2849121093750	-35.7212181091309
55	26.0416660308838	2943.9570312500000	-39.9361114501953
56	21.3068180084229	3230.6923828125000	-44.1839065551758
57	17.7556819915771	3556.6127929687500	-48.0071182250977
58	14.5574531555176	3996.9882812500000	-52.0474090576172
59	12.1124029159546	4499.6313476562500	-55.5893592834473
60	9.9101476669312	5172.7978515625000	-59.1731300354004
