IMPEDANCE MEASUREMENT 
9/23/2022-7:32 PM
Chamber temperature (K): 299.06
Chamber pressure (MPa): 0.843515
Description: 	447uScm_HPtest_SSspacers_afterRemoval_ECwires
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1751.7635498046875	-26.2831249237061
1	825585.9374999999990	1779.1016845703125	-21.6809558868408
2	681445.3124999999990	1789.2575683593750	-17.8698749542236
3	562382.8124999999990	1793.3405761718750	-14.8599882125854
4	464179.6874999999990	1803.2850341796875	-12.2532987594604
5	383320.3124999999990	1805.9815673828125	-10.1807613372803
6	316289.0624999999990	1810.3934326171875	-8.4348306655884
7	261210.9375000000000	1816.5672607421875	-7.4968910217285
8	215507.8125000000000	1815.8259277343750	-6.0443973541260
9	178007.8125000000000	1818.6091308593750	-5.0513415336609
10	146835.9375000000000	1817.3002929687500	-4.1912722587585
11	121289.0625000000000	1818.7640380859375	-3.5064702033997
12	100195.3125000000000	1822.6411132812500	-2.9810609817505
13	82617.1874999999999	1823.0490722656250	-2.4879744052887
14	68320.3124999999999	1823.9334716796875	-2.0936176776886
15	56367.1874999999999	1824.6188964843750	-1.7613723278046
16	46523.4374999999999	1825.3306884765625	-1.4828891754150
17	38320.3124999999999	1825.4234619140625	-1.2664662599564
18	31757.8125000000000	1826.0958251953125	-1.0946711301804
19	26132.8125000000000	1823.2585449218750	-1.4049574136734
20	21679.6875000000000	1824.1403808593750	-1.2114837169647
21	17929.6875000000000	1825.1690673828125	-1.0685226917267
22	14519.8173828125000	1826.3330078125000	-0.9450965523720
23	12004.5732421875000	1827.3369140625000	-0.8656942844391
24	9946.6464843750000	1827.7990722656250	-0.8174376487732
25	8320.3125000000000	1828.6998291015625	-0.7985489368439
26	6745.4267578125000	1830.1566162109375	-0.7894632816315
27	5602.1342773437500	1830.5950927734375	-0.8085432052612
28	4687.5000000000000	1831.6867675781250	-0.8477412462234
29	3867.1875000000000	1832.9923095703125	-0.9103388786316
30	3164.0625000000000	1834.1040039062500	-1.0040227174759
31	2629.5732421875000	1834.8118896484375	-1.1193969249725
32	2172.2561035156250	1836.9942626953125	-1.2642531394958
33	1770.8333740234375	1839.0113525390625	-1.4622323513031
34	1450.8928222656250	1840.6724853515625	-1.6949551105499
35	1199.1279296875000	1843.7922363281250	-1.9609580039978
36	1004.4642944335937	1847.3161621093750	-2.2579522132874
37	827.2058715820312	1849.4315185546875	-2.6420323848724
38	683.5937500000000	1858.9672851562500	-3.0884051322937
39	558.0357055664062	1860.7175292968750	-3.6392550468445
40	468.7500000000000	1866.1596679687500	-4.1950039863586
41	384.2213134765625	1875.2006835937500	-4.9343118667603
42	319.6022644042969	1884.7662353515625	-5.7304644584656
43	260.4166564941406	1898.4255371093750	-6.7571458816528
44	216.3461608886719	1913.1120605468750	-7.8322935104370
45	178.0063323974609	1933.3120117187500	-9.1365566253662
46	146.4843750000000	1956.5908203125000	-10.6244087219238
47	121.2284469604492	1986.2336425781250	-12.2601690292358
48	99.7340393066406	2023.5626220703125	-14.1630649566650
49	82.2368392944336	2075.7724609375000	-16.2717838287354
50	67.9347839355469	2130.5185546875000	-18.6106815338135
51	55.8035697937012	2199.9353027343750	-21.2706394195557
52	46.8750000000000	2275.1318359375000	-23.8535499572754
53	38.1097564697266	2384.5546875000000	-27.1952743530273
54	31.8877544403076	2500.4797363281250	-30.3028926849365
55	26.0416660308838	2666.0388183593750	-34.0822257995605
56	21.3068180084229	2869.3798828125000	-38.0387573242187
57	17.7556819915771	3099.6525878906250	-41.7603378295898
58	14.5574531555176	3411.3127441406250	-45.8929328918457
59	12.1124029159546	3770.8454589843750	-49.6941566467285
60	9.9101476669312	4258.0756835937500	-53.7309226989746
