IMPEDANCE MEASUREMENT 
9/23/2022-2:50 PM
Chamber temperature (K): 297.01
Chamber pressure (MPa): 107.021287
Description: 	447uScm_HPtest_SSspacers_inChamber_nextDay
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1052.4406738281250	-16.8813800811768
1	825585.9374999999990	1057.1083984375000	-13.2527332305908
2	681445.3124999999990	1055.6651611328125	-10.8115253448486
3	562382.8124999999990	1054.3367919921875	-8.8501958847046
4	464179.6874999999990	1052.9194335937500	-7.2626214027405
5	383320.3124999999990	1051.0419921875000	-5.9869270324707
6	316289.0624999999990	1050.5639648437500	-4.9357895851135
7	261210.9375000000000	1060.0399169921875	-3.5129327774048
8	215507.8125000000000	1057.3760986328125	-2.8554685115814
9	178007.8125000000000	1055.5014648437500	-2.3421635627747
10	146835.9375000000000	1054.0667724609375	-1.9204353094101
11	121289.0625000000000	1052.8831787109375	-1.5778025388718
12	100195.3125000000000	1052.0489501953125	-1.2899674177170
13	82617.1874999999999	1051.4517822265625	-1.0684152841568
14	68320.3124999999999	1050.9783935546875	-0.8955171108246
15	56367.1874999999999	1050.6434326171875	-0.7572998404503
16	46523.4374999999999	1050.4089355468750	-0.6513244509697
17	38320.3124999999999	1050.3264160156250	-0.5557810664177
18	31757.8125000000000	1050.2731933593750	-0.4952265620232
19	26132.8125000000000	1050.2077636718750	-0.4411675930023
20	21679.6875000000000	1050.2236328125000	-0.4063747823238
21	17929.6875000000000	1050.3385009765625	-0.3841688334942
22	14519.8173828125000	1050.4375000000000	-0.3750476539135
23	12004.5732421875000	1050.4750976562500	-0.3706219196320
24	9946.6464843750000	1050.6292724609375	-0.3928595185280
25	8320.3125000000000	1050.7104492187500	-0.4136389791965
26	6745.4267578125000	1050.7836914062500	-0.4589450955391
27	5602.1342773437500	1051.0971679687500	-0.5068328380585
28	4687.5000000000000	1051.3037109375000	-0.5719181299210
29	3867.1875000000000	1051.6342773437500	-0.6550535559654
30	3164.0625000000000	1052.0404052734375	-0.7626222372055
31	2629.5732421875000	1052.5329589843750	-0.8823012709618
32	2172.2561035156250	1053.0755615234375	-1.0317463874817
33	1770.8333740234375	1053.8431396484375	-1.2200605869293
34	1450.8928222656250	1054.7896728515625	-1.4460946321487
35	1199.1279296875000	1055.8863525390625	-1.7006471157074
36	1004.4642944335937	1057.0194091796875	-1.9758317470551
37	827.2058715820312	1058.6879882812500	-2.3403012752533
38	683.5937500000000	1060.7009277343750	-2.7534165382385
39	558.0357055664062	1063.2777099609375	-3.2749876976013
40	468.7500000000000	1066.1613769531250	-3.8048927783966
41	384.2213134765625	1070.2799072265625	-4.4981002807617
42	319.6022644042969	1074.9019775390625	-5.2524509429932
43	260.4166564941406	1081.3895263671875	-6.2200593948364
44	216.3461608886719	1088.8000488281250	-7.2433133125305
45	178.0063323974609	1098.5032958984375	-8.4771089553833
46	146.4843750000000	1110.5798339843750	-9.8900289535522
47	121.2284469604492	1125.2093505859375	-11.4505672454834
48	99.7340393066406	1143.5993652343750	-13.2832994461060
49	82.2368392944336	1170.1922607421875	-15.3100843429565
50	67.9347839355469	1197.4636230468750	-17.5874195098877
51	55.8035697937012	1231.8397216796875	-20.2122783660889
52	46.8750000000000	1269.1829833984375	-22.8011322021484
53	38.1097564697266	1324.2548828125000	-26.2038669586182
54	31.8877544403076	1383.7513427734375	-29.4183597564697
55	26.0416660308838	1469.4805908203125	-33.3749885559082
56	21.3068180084229	1578.3353271484375	-37.5534133911133
57	17.7556819915771	1702.8482666015625	-41.5076522827148
58	14.5574531555176	1872.9830322265625	-45.8804244995117
59	12.1124029159546	2071.8796386718750	-49.8917160034180
60	9.9101476669312	2343.3012695312500	-54.1189193725586
