IMPEDANCE MEASUREMENT 
9/23/2022-3:42 PM
Chamber temperature (K): 297.13
Chamber pressure (MPa): 1.369056
Description: 	447uScm_HPtest_SSspacers_inChamber_nextDay
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	1224.5085449218750	-17.5841655731201
1	825585.9374999999990	1230.0421142578125	-14.1780252456665
2	681445.3124999999990	1229.5126953125000	-11.5858802795410
3	562382.8124999999990	1228.4813232421875	-9.5523891448975
4	464179.6874999999990	1227.6828613281250	-7.8508129119873
5	383320.3124999999990	1226.6281738281250	-6.4346199035645
6	316289.0624999999990	1225.6896972656250	-5.3192439079285
7	261210.9375000000000	1236.9489746093750	-3.8225600719452
8	215507.8125000000000	1233.8603515625000	-3.1311421394348
9	178007.8125000000000	1232.3016357421875	-2.5585532188416
10	146835.9375000000000	1230.8259277343750	-2.0986678600311
11	121289.0625000000000	1229.9361572265625	-1.7299456596375
12	100195.3125000000000	1227.5759277343750	-1.4234985113144
13	82617.1874999999999	1225.0661621093750	-1.1781616210937
14	68320.3124999999999	1223.2883300781250	-0.9865967035294
15	56367.1874999999999	1222.7176513671875	-0.8313650488853
16	46523.4374999999999	1222.4117431640625	-0.7045096158981
17	38320.3124999999999	1222.4149169921875	-0.6085379719734
18	31757.8125000000000	1222.1854248046875	-0.5366932153702
19	26132.8125000000000	1221.9996337890625	-0.4744055867195
20	21679.6875000000000	1222.1091308593750	-0.4325941503048
21	17929.6875000000000	1222.1789550781250	-0.4037042558193
22	14519.8173828125000	1222.3463134765625	-0.3958565592766
23	12004.5732421875000	1222.6370849609375	-0.3923317193985
24	9946.6464843750000	1222.8007812500000	-0.4069237709045
25	8320.3125000000000	1223.2684326171875	-0.4262262284756
26	6745.4267578125000	1223.5955810546875	-0.4762657284737
27	5602.1342773437500	1223.8974609375000	-0.5227124691010
28	4687.5000000000000	1224.2937011718750	-0.5832144618034
29	3867.1875000000000	1224.7744140625000	-0.6674099564552
30	3164.0625000000000	1225.4354248046875	-0.7752698063850
31	2629.5732421875000	1226.1269531250000	-0.8957652449608
32	2172.2561035156250	1226.9945068359375	-1.0446987152100
33	1770.8333740234375	1227.9534912109375	-1.2316952943802
34	1450.8928222656250	1229.2425537109375	-1.4569170475006
35	1199.1279296875000	1230.7208251953125	-1.7125148773193
36	1004.4642944335937	1232.2282714843750	-1.9920052289963
37	827.2058715820312	1234.2902832031250	-2.3491616249084
38	683.5937500000000	1236.7927246093750	-2.7654452323914
39	558.0357055664062	1240.2125244140625	-3.2797925472260
40	468.7500000000000	1243.6392822265625	-3.8066205978394
41	384.2213134765625	1248.6422119140625	-4.5033211708069
42	319.6022644042969	1254.1014404296875	-5.2498040199280
43	260.4166564941406	1261.8973388671875	-6.2212014198303
44	216.3461608886719	1270.6018066406250	-7.2373561859131
45	178.0063323974609	1282.0587158203125	-8.4684362411499
46	146.4843750000000	1296.4340820312500	-9.8779439926147
47	121.2284469604492	1313.7517089843750	-11.4368553161621
48	99.7340393066406	1335.8172607421875	-13.2608671188354
49	82.2368392944336	1367.4119873046875	-15.2744474411011
50	67.9347839355469	1399.9661865234375	-17.5316352844238
51	55.8035697937012	1441.4239501953125	-20.1286220550537
52	46.8750000000000	1487.0098876953125	-22.6704692840576
53	38.1097564697266	1552.9332275390625	-25.9894523620605
54	31.8877544403076	1623.8253173828125	-29.1070003509521
55	26.0416660308838	1724.2626953125000	-32.9205017089844
56	21.3068180084229	1851.0623779296875	-36.9276924133301
57	17.7556819915771	1995.9497070312500	-40.6958694458008
58	14.5574531555176	2193.5170898437500	-44.8414230346680
59	12.1124029159546	2421.1311035156250	-48.6416893005371
60	9.9101476669312	2729.0815429687500	-52.6416969299316
