IMPEDANCE MEASUREMENT 
9/24/2022-7:21 PM
Chamber temperature (K): 300.15
Chamber pressure (MPa): 473.733959
Description: 	2764uScm_durabilityTest
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	153.1961517333984	-1.1614108085632
1	825585.9374999999990	154.3684082031250	-0.6487919092178
2	681445.3124999999990	153.0719146728516	-0.8716922998428
3	562382.8124999999990	154.0690002441406	-0.4179992377758
4	464179.6874999999990	153.1872406005859	-0.6621592044830
5	383320.3124999999990	153.8170166015625	-0.2837973833084
6	316289.0624999999990	153.3259887695312	-0.5287776589394
7	261210.9375000000000	153.7494354248047	-0.2411211282015
8	215507.8125000000000	153.7916870117187	-0.2459561526775
9	178007.8125000000000	153.8356475830078	-0.2361762672663
10	146835.9375000000000	153.9039154052734	-0.2538729310036
11	121289.0625000000000	153.9405364990234	-0.2568635642529
12	100195.3125000000000	153.9859924316406	-0.2484811097383
13	82617.1874999999999	154.0778503417969	-0.2849996984005
14	68320.3124999999999	154.1715393066406	-0.3278497755527
15	56367.1874999999999	154.2544097900391	-0.3833068609238
16	46523.4374999999999	154.3425750732422	-0.4391771256924
17	38320.3124999999999	154.4403686523437	-0.5071623325348
18	31757.8125000000000	154.5499267578125	-0.5850219130516
19	26132.8125000000000	154.7052154541016	-0.6774384379387
20	21679.6875000000000	154.7992706298828	-0.7949112057686
21	17929.6875000000000	154.9427337646484	-0.9228147268295
22	14519.8173828125000	155.1025848388672	-1.0985435247421
23	12004.5732421875000	155.2815551757812	-1.2768192291260
24	9946.6464843750000	155.4627075195312	-1.4970755577087
25	8320.3125000000000	155.6870117187500	-1.7382065057755
26	6745.4267578125000	155.9689941406250	-2.0673990249634
27	5602.1342773437500	156.2812957763672	-2.4264471530914
28	4687.5000000000000	156.6200561523437	-2.8271625041962
29	3867.1875000000000	157.0599212646484	-3.3241503238678
30	3164.0625000000000	157.6107025146484	-3.9367356300354
31	2629.5732421875000	158.2410736083984	-4.5972723960876
32	2172.2561035156250	159.0353698730469	-5.3914723396301
33	1770.8333740234375	160.0740814208984	-6.3778276443481
34	1450.8928222656250	161.2531890869141	-7.4939351081848
35	1199.1279296875000	162.7539978027344	-8.7335290908813
36	1004.4642944335937	164.4833068847656	-10.0472154617310
37	827.2058715820312	166.7879791259766	-11.6785020828247
38	683.5937500000000	169.5473175048828	-13.4874153137207
39	558.0357055664062	173.1868133544922	-15.6747293472290
40	468.7500000000000	176.9811553955078	-17.7793178558350
41	384.2213134765625	182.2452392578125	-20.4618663787842
42	319.6022644042969	188.2623138427734	-23.2355384826660
43	260.4166564941406	196.5813598632812	-26.6700859069824
44	216.3461608886719	206.0599975585937	-30.0942573547363
45	178.0063323974609	218.6377410888672	-34.0123100280762
46	146.4843750000000	234.6633911132812	-38.1850128173828
47	121.2284469604492	254.4231719970703	-42.4003181457520
48	99.7340393066406	280.3088684082031	-46.8221893310547
49	82.2368392944336	312.7010498046875	-51.1354370117187
50	67.9347839355469	352.8083190917969	-55.2425041198730
51	55.8035697937012	404.3612976074219	-59.1982460021973
52	46.8750000000000	460.2912292480469	-62.4315223693848
53	38.1097564697266	541.7016601562500	-65.8894195556641
54	31.8877544403076	627.2105102539062	-68.5315322875977
55	26.0416660308838	745.1503906250000	-71.1745300292969
56	21.3068180084229	888.0628662109375	-73.4279098510742
57	17.7556819915771	1044.7557373046875	-75.2017822265625
58	14.5574531555176	1250.3953857421875	-76.8625793457031
59	12.1124029159546	1479.5113525390625	-78.1799621582031
60	9.9101476669312	1781.5186767578125	-79.4076004028320
