IMPEDANCE MEASUREMENT 
9/24/2022-7:33 PM
Chamber temperature (K): 300.63
Chamber pressure (MPa): 600.046341
Description: 	2764uScm_durabilityTest
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	177.2287445068359	-1.7629427909851
1	825585.9374999999990	178.4903411865234	-1.1274160146713
2	681445.3124999999990	178.1629333496094	-0.9104058146477
3	562382.8124999999990	177.9465026855469	-0.7481147646904
4	464179.6874999999990	177.7453002929687	-0.5980901122093
5	383320.3124999999990	177.5329132080078	-0.5088152289391
6	316289.0624999999990	177.3956756591797	-0.4392370283604
7	261210.9375000000000	178.9525299072266	0.2402366101742
8	215507.8125000000000	178.5358581542969	0.2080343514681
9	178007.8125000000000	178.2302551269531	0.1632231324911
10	146835.9375000000000	178.0264892578125	0.1105497255921
11	121289.0625000000000	177.8845214843750	0.0636408627033
12	100195.3125000000000	177.7577819824219	0.0535817742348
13	82617.1874999999999	177.7024841308594	-0.0199376866221
14	68320.3124999999999	177.6632690429687	-0.0957317277789
15	56367.1874999999999	177.6663818359375	-0.1685724109411
16	46523.4374999999999	177.6963348388672	-0.2436137497425
17	38320.3124999999999	177.7319183349609	-0.3250599205494
18	31757.8125000000000	177.7866668701172	-0.4114851951599
19	26132.8125000000000	177.8684539794922	-0.5064931511879
20	21679.6875000000000	177.9527740478516	-0.6176260709763
21	17929.6875000000000	178.0227203369141	-0.7355656623840
22	14519.8173828125000	178.1604156494141	-0.8972018361092
23	12004.5732421875000	178.2917938232422	-1.0658522844315
24	9946.6464843750000	178.4386749267578	-1.2630203962326
25	8320.3125000000000	178.6021575927734	-1.4761095046997
26	6745.4267578125000	178.8460388183594	-1.7818226814270
27	5602.1342773437500	179.0889129638672	-2.0991773605347
28	4687.5000000000000	179.3848419189453	-2.4496285915375
29	3867.1875000000000	179.7735595703125	-2.8916387557983
30	3164.0625000000000	180.2742156982422	-3.4387774467468
31	2629.5732421875000	180.8436889648437	-4.0287032127380
32	2172.2561035156250	181.5673522949219	-4.7337160110474
33	1770.8333740234375	182.5205688476562	-5.6201095581055
34	1450.8928222656250	183.7108917236328	-6.6317553520203
35	1199.1279296875000	185.1285400390625	-7.7465772628784
36	1004.4642944335937	186.7422790527344	-8.9313507080078
37	827.2058715820312	188.9367218017578	-10.4146099090576
38	683.5937500000000	191.5904235839844	-12.0720195770264
39	558.0357055664062	195.1108551025391	-14.0699253082275
40	468.7500000000000	198.7738952636719	-16.0068149566650
41	384.2213134765625	203.9026336669922	-18.4754085540771
42	319.6022644042969	209.7155761718750	-21.0416507720947
43	260.4166564941406	217.7352905273437	-24.2337303161621
44	216.3461608886719	226.8190155029297	-27.4404163360596
45	178.0063323974609	238.8043060302734	-31.1501922607422
46	146.4843750000000	254.0698089599609	-35.1628417968750
47	121.2284469604492	272.9259643554687	-39.2881889343262
48	99.7340393066406	297.7377624511719	-43.6992073059082
49	82.2368392944336	328.9398193359375	-48.1000747680664
50	67.9347839355469	367.8071594238281	-52.3657531738281
51	55.8035697937012	418.1188049316406	-56.5554809570312
52	46.8750000000000	473.0306091308594	-60.0204658508301
53	38.1097564697266	553.3745117187500	-63.7758865356445
54	31.8877544403076	638.1286621093750	-66.6768264770508
55	26.0416660308838	755.4757080078125	-69.5901794433594
56	21.3068180084229	897.9509277343750	-72.0958175659180
57	17.7556819915771	1054.5552978515625	-74.0707321166992
58	14.5574531555176	1260.2526855468750	-75.9263076782227
59	12.1124029159546	1489.8099365234375	-77.3970489501953
60	9.9101476669312	1792.5876464843750	-78.7699737548828
