IMPEDANCE MEASUREMENT 
9/24/2022-7:30 PM
Chamber temperature (K): 300.51
Chamber pressure (MPa): 601.752091
Description: 	2764uScm_durabilityTest
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	172.9296722412109	-1.6791217327118
1	825585.9374999999990	174.2179718017578	-1.0451544523239
2	681445.3124999999990	173.8962860107422	-0.8553936481476
3	562382.8124999999990	173.7015228271484	-0.6994187235832
4	464179.6874999999990	173.5415039062500	-0.5646829605103
5	383320.3124999999990	173.3502349853516	-0.4675767123699
6	316289.0624999999990	173.2310485839844	-0.4158990085125
7	261210.9375000000000	174.7717742919922	0.2491566836834
8	215507.8125000000000	174.3600463867187	0.2091146111488
9	178007.8125000000000	174.0609588623047	0.1661710739136
10	146835.9375000000000	173.8718566894531	0.1129564940929
11	121289.0625000000000	173.7544097900391	0.0666109174490
12	100195.3125000000000	173.6483764648437	0.0561118386686
13	82617.1874999999999	173.6205139160156	-0.0211509875953
14	68320.3124999999999	173.5928802490234	-0.0946004018188
15	56367.1874999999999	173.6124114990234	-0.1710323542356
16	46523.4374999999999	173.6490173339844	-0.2502189576626
17	38320.3124999999999	173.6994628906250	-0.3324082791805
18	31757.8125000000000	173.7577209472656	-0.4189508557320
19	26132.8125000000000	173.8568878173828	-0.5195198059082
20	21679.6875000000000	173.9396667480469	-0.6237824559212
21	17929.6875000000000	174.0475769042969	-0.7530633211136
22	14519.8173828125000	174.1865386962891	-0.9168429374695
23	12004.5732421875000	174.3276977539062	-1.0894932746887
24	9946.6464843750000	174.4766845703125	-1.2816902399063
25	8320.3125000000000	174.6656799316406	-1.5066032409668
26	6745.4267578125000	174.9043884277344	-1.8121643066406
27	5602.1342773437500	175.1923675537109	-2.1350214481354
28	4687.5000000000000	175.4913635253906	-2.4908368587494
29	3867.1875000000000	175.8789520263672	-2.9462740421295
30	3164.0625000000000	176.4024200439453	-3.4985415935516
31	2629.5732421875000	176.9753570556641	-4.1009030342102
32	2172.2561035156250	177.7118530273437	-4.8183293342590
33	1770.8333740234375	178.6864166259766	-5.7154297828674
34	1450.8928222656250	179.8841705322266	-6.7408719062805
35	1199.1279296875000	181.3144531250000	-7.8771338462830
36	1004.4642944335937	182.9550781250000	-9.0760021209717
37	827.2058715820312	185.1437988281250	-10.5812950134277
38	683.5937500000000	187.8276367187500	-12.2575531005859
39	558.0357055664062	191.3541259765625	-14.2847871780396
40	468.7500000000000	195.0343627929687	-16.2372207641602
41	384.2213134765625	200.1629638671875	-18.7402877807617
42	319.6022644042969	205.9955902099609	-21.3349552154541
43	260.4166564941406	214.0248107910156	-24.5543060302734
44	216.3461608886719	223.1241607666016	-27.7964897155762
45	178.0063323974609	235.1772155761719	-31.5362262725830
46	146.4843750000000	250.4830627441406	-35.5756378173828
47	121.2284469604492	269.4183654785156	-39.7195854187012
48	99.7340393066406	294.2971496582031	-44.1362991333008
49	82.2368392944336	325.6036071777344	-48.5336799621582
50	67.9347839355469	364.5648193359375	-52.7832679748535
51	55.8035697937012	414.9629821777344	-56.9422187805176
52	46.8750000000000	469.8790283203125	-60.3765144348145
53	38.1097564697266	550.1939086914062	-64.0964126586914
54	31.8877544403076	634.9191284179687	-66.9591827392578
55	26.0416660308838	752.0997314453125	-69.8363418579102
56	21.3068180084229	894.3399658203125	-72.3072052001953
57	17.7556819915771	1050.6306152343750	-74.2514038085937
58	14.5574531555176	1255.9478759765625	-76.0749511718750
59	12.1124029159546	1485.1545410156250	-77.5220413208008
60	9.9101476669312	1787.2379150390625	-78.8745193481445
