IMPEDANCE MEASUREMENT 
9/24/2022-5:46 PM
Chamber temperature (K): 297.15
Chamber pressure (MPa): 1.393803
Description: 	2764uScm_durabilityTest_outsideChamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	198.0768280029297	-2.3555302619934
1	825585.9374999999990	199.2339630126953	-1.9472342729568
2	681445.3124999999990	198.9126739501953	-1.6106972694397
3	562382.8124999999990	198.6804656982422	-1.3410514593124
4	464179.6874999999990	198.5703125000000	-1.1225928068161
5	383320.3124999999990	198.4203033447266	-0.9261538982391
6	316289.0624999999990	198.3368530273437	-0.7913888096809
7	261210.9375000000000	198.6837615966797	-1.0683059692383
8	215507.8125000000000	198.5285491943359	-0.9176373481750
9	178007.8125000000000	198.4466705322266	-0.7950623631477
10	146835.9375000000000	198.3759155273437	-0.6923406124115
11	121289.0625000000000	198.3444824218750	-0.6221613883972
12	100195.3125000000000	198.3389739990234	-0.5379576683044
13	82617.1874999999999	198.3351898193359	-0.5160986781120
14	68320.3124999999999	198.3609924316406	-0.5204817056656
15	56367.1874999999999	198.3923950195312	-0.5273798704147
16	46523.4374999999999	198.4360198974609	-0.5586870908737
17	38320.3124999999999	198.5201263427734	-0.5937254428864
18	31757.8125000000000	198.6009521484375	-0.6488353610039
19	26132.8125000000000	198.6768951416016	-0.7234916090965
20	21679.6875000000000	198.7913818359375	-0.8073344230652
21	17929.6875000000000	198.9055175781250	-0.9136793613434
22	14519.8173828125000	199.0608520507812	-1.0668970346451
23	12004.5732421875000	199.2345428466797	-1.2334462404251
24	9946.6464843750000	199.4297180175781	-1.4265316724777
25	8320.3125000000000	199.6303558349609	-1.6493942737579
26	6745.4267578125000	199.9236450195312	-1.9566305875778
27	5602.1342773437500	200.2592926025391	-2.2819373607635
28	4687.5000000000000	200.6331176757812	-2.6377665996552
29	3867.1875000000000	201.1300811767578	-3.0972962379456
30	3164.0625000000000	201.7484588623047	-3.6575582027435
31	2629.5732421875000	202.4632415771484	-4.2634482383728
32	2172.2561035156250	203.3674774169922	-4.9859437942505
33	1770.8333740234375	204.5791625976562	-5.8915805816650
34	1450.8928222656250	206.0469970703125	-6.9157423973083
35	1199.1279296875000	207.7945861816406	-8.0470638275146
36	1004.4642944335937	209.7528839111328	-9.2336616516113
37	827.2058715820312	212.4400024414062	-10.7248144149780
38	683.5937500000000	215.6464385986328	-12.3840665817261
39	558.0357055664062	219.8644866943359	-14.3645153045654
40	468.7500000000000	224.2779083251953	-16.2829303741455
41	384.2213134765625	230.3864440917969	-18.7187938690186
42	319.6022644042969	237.3136596679687	-21.2249774932861
43	260.4166564941406	246.8013610839844	-24.3184967041016
44	216.3461608886719	257.4451293945312	-27.3999156951904
45	178.0063323974609	271.3536682128906	-30.9205284118652
46	146.4843750000000	288.7576599121094	-34.7170333862305
47	121.2284469604492	309.9664916992187	-38.6052131652832
48	99.7340393066406	337.4502258300781	-42.7510833740234
49	82.2368392944336	371.6051940917969	-46.9064102172852
50	67.9347839355469	413.7168884277344	-50.9748687744141
51	55.8035697937012	467.7416687011719	-55.0062599182129
52	46.8750000000000	526.4977416992187	-58.3908195495605
53	38.1097564697266	612.1947631835937	-62.1138801574707
54	31.8877544403076	702.4602661132812	-65.0370788574219
55	26.0416660308838	827.3604736328125	-68.0215377807617
56	21.3068180084229	978.9291381835937	-70.6296920776367
57	17.7556819915771	1145.5682373046875	-72.7133102416992
58	14.5574531555176	1364.5988769531250	-74.6912765502930
59	12.1124029159546	1609.0111083984375	-76.2807235717773
60	9.9101476669312	1930.4704589843750	-77.7787170410156
