IMPEDANCE MEASUREMENT 
9/24/2022-5:46 PM
Chamber temperature (K): 297.15
Chamber pressure (MPa): 1.343511
Description: 	2764uScm_durabilityTest_outsideChamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	198.4402618408203	-2.3494458198547
1	825585.9374999999990	199.4665832519531	-1.9630708694458
2	681445.3124999999990	199.1491088867187	-1.6216253042221
3	562382.8124999999990	198.8851623535156	-1.3464723825455
4	464179.6874999999990	198.7675170898437	-1.1265465021133
5	383320.3124999999990	198.6114044189453	-0.9354866743088
6	316289.0624999999990	198.5537414550781	-0.7807587385178
7	261210.9375000000000	198.8638153076172	-1.0812653303146
8	215507.8125000000000	198.7222900390625	-0.9188949465752
9	178007.8125000000000	198.6398773193359	-0.8045511245728
10	146835.9375000000000	198.5880126953125	-0.6986904144287
11	121289.0625000000000	198.5755462646484	-0.6266940236092
12	100195.3125000000000	198.5419311523437	-0.5373582839966
13	82617.1874999999999	198.5278778076172	-0.5218260884285
14	68320.3124999999999	198.5357971191406	-0.5208184123039
15	56367.1874999999999	198.5896759033203	-0.5321863293648
16	46523.4374999999999	198.6459045410156	-0.5559911131859
17	38320.3124999999999	198.7344055175781	-0.5944929122925
18	31757.8125000000000	198.7971343994141	-0.6522145867348
19	26132.8125000000000	198.8982391357422	-0.7176941037178
20	21679.6875000000000	199.0067138671875	-0.8128486275673
21	17929.6875000000000	199.1123504638672	-0.9172588586807
22	14519.8173828125000	199.2630767822266	-1.0696327686310
23	12004.5732421875000	199.4427947998047	-1.2378693819046
24	9946.6464843750000	199.6210327148437	-1.4290462732315
25	8320.3125000000000	199.8415832519531	-1.6482849121094
26	6745.4267578125000	200.1371002197266	-1.9506019353867
27	5602.1342773437500	200.4605407714844	-2.2779300212860
28	4687.5000000000000	200.8393859863281	-2.6400611400604
29	3867.1875000000000	201.3240814208984	-3.0975501537323
30	3164.0625000000000	201.9695281982422	-3.6588666439056
31	2629.5732421875000	202.6736602783203	-4.2632017135620
32	2172.2561035156250	203.5931854248047	-4.9861536026001
33	1770.8333740234375	204.7861175537109	-5.8922634124756
34	1450.8928222656250	206.2589569091797	-6.9122877120972
35	1199.1279296875000	208.0078887939453	-8.0435981750488
36	1004.4642944335937	209.9922943115234	-9.2392549514771
37	827.2058715820312	212.6559448242187	-10.7224245071411
38	683.5937500000000	215.8657379150391	-12.3750915527344
39	558.0357055664062	220.0830993652344	-14.3622426986694
40	468.7500000000000	224.5113983154297	-16.2773036956787
41	384.2213134765625	230.6194763183594	-18.7108726501465
42	319.6022644042969	237.5469665527344	-21.2190608978271
43	260.4166564941406	247.0386810302734	-24.3069152832031
44	216.3461608886719	257.6787109375000	-27.3849086761475
45	178.0063323974609	271.5615234375000	-30.9229869842529
46	146.4843750000000	289.0068054199219	-34.7085647583008
47	121.2284469604492	310.1852111816406	-38.5914611816406
48	99.7340393066406	337.6802062988281	-42.7405700683594
49	82.2368392944336	371.8752746582031	-46.9070549011230
50	67.9347839355469	413.9446716308594	-50.9785232543945
51	55.8035697937012	468.0679931640625	-55.0187721252441
52	46.8750000000000	526.9464111328125	-58.4073600769043
53	38.1097564697266	612.8510131835937	-62.1326904296875
54	31.8877544403076	703.3068847656250	-65.0526733398437
55	26.0416660308838	828.4114379882812	-68.0266418457031
56	21.3068180084229	980.2617187500000	-70.6236572265625
57	17.7556819915771	1147.0384521484375	-72.6957855224609
58	14.5574531555176	1366.2937011718750	-74.6628189086914
59	12.1124029159546	1610.7731933593750	-76.2450027465820
60	9.9101476669312	1932.2404785156250	-77.7376327514648
