IMPEDANCE MEASUREMENT 
10/10/2022-1:07 PM
Chamber temperature (K): 301.62
Chamber pressure (MPa): 0.956906
Description: 	2764uScm_durabilityTest_rampDown
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	201.6062164306641	-2.2337834835052
1	825585.9374999999990	203.0600280761719	-1.3539444208145
2	681445.3124999999990	202.6156768798828	-1.1084280014038
3	562382.8124999999990	202.3344879150391	-0.9142363071442
4	464179.6874999999990	202.0556030273437	-0.7447212338448
5	383320.3124999999990	201.7663269042969	-0.6183049678802
6	316289.0624999999990	201.5906982421875	-0.5287650227547
7	261210.9375000000000	204.1442260742187	0.4856404364109
8	215507.8125000000000	203.4724884033203	0.4264686405659
9	178007.8125000000000	202.9860992431641	0.3574123382568
10	146835.9375000000000	202.6348724365234	0.2918583750725
11	121289.0625000000000	202.3957061767578	0.2210157364607
12	100195.3125000000000	202.1631774902344	0.1856763064861
13	82617.1874999999999	201.9745788574219	0.0961596369743
14	68320.3124999999999	201.8914947509766	0.0095758503303
15	56367.1874999999999	201.8291778564453	-0.0767119675875
16	46523.4374999999999	201.8023529052734	-0.1673263311386
17	38320.3124999999999	201.7924957275391	-0.2602278590202
18	31757.8125000000000	201.8003540039062	-0.3522948324680
19	26132.8125000000000	201.8295135498047	-0.4619106650352
20	21679.6875000000000	201.8769989013672	-0.5830617547035
21	17929.6875000000000	201.9437103271484	-0.7100208401680
22	14519.8173828125000	202.0440521240234	-0.8871062994003
23	12004.5732421875000	202.1780700683594	-1.0600651502609
24	9946.6464843750000	202.3345031738281	-1.2687395811081
25	8320.3125000000000	202.5130462646484	-1.4928916692734
26	6745.4267578125000	202.7643585205078	-1.8032326698303
27	5602.1342773437500	203.0472412109375	-2.1181945800781
28	4687.5000000000000	203.3883514404297	-2.4760680198669
29	3867.1875000000000	203.8411712646484	-2.9234743118286
30	3164.0625000000000	204.4151000976562	-3.4698882102966
31	2629.5732421875000	205.0755310058594	-4.0589284896851
32	2172.2561035156250	205.9144439697266	-4.7655472755432
33	1770.8333740234375	207.0466308593750	-5.6436352729797
34	1450.8928222656250	208.4148712158203	-6.6436033248901
35	1199.1279296875000	210.0709838867187	-7.7438659667969
36	1004.4642944335937	211.9569702148437	-8.9151096343994
37	827.2058715820312	214.4922180175781	-10.3695468902588
38	683.5937500000000	217.6246185302734	-11.9850101470947
39	558.0357055664062	221.6913909912109	-13.9303665161133
40	468.7500000000000	225.9694519042969	-15.8045301437378
41	384.2213134765625	231.9315948486328	-18.1808223724365
42	319.6022644042969	238.6247863769531	-20.6277732849121
43	260.4166564941406	247.8364715576172	-23.6556587219238
44	216.3461608886719	258.1073913574219	-26.6747703552246
45	178.0063323974609	271.5821533203125	-30.1379661560059
46	146.4843750000000	288.4602966308594	-33.8703117370605
47	121.2284469604492	309.0451049804687	-37.7067565917969
48	99.7340393066406	335.7145690917969	-41.8099708557129
49	82.2368392944336	368.9594116210937	-45.9207992553711
50	67.9347839355469	409.8215942382812	-49.9372558593750
51	55.8035697937012	462.3572387695312	-53.9163551330566
52	46.8750000000000	519.2142944335937	-57.2532081604004
53	38.1097564697266	601.9880981445312	-60.9244079589844
54	31.8877544403076	688.9289550781250	-63.8025550842285
55	26.0416660308838	808.8108520507812	-66.7484130859375
56	21.3068180084229	953.9147338867187	-69.3244094848633
57	17.7556819915771	1112.9392089843750	-71.3888549804687
58	14.5574531555176	1321.5303955078125	-73.3559799194336
59	12.1124029159546	1553.6386718750000	-74.9405288696289
60	9.9101476669312	1859.2884521484375	-76.4354858398437
