IMPEDANCE MEASUREMENT 
10/10/2022-5:35 PM
Chamber temperature (K): 301.79
Chamber pressure (MPa): 401.940755
Description: 	8Sm_durabilityTest
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	6.2911567687988	20.4394760131836
1	825585.9374999999990	6.1388139724731	17.1088104248047
2	681445.3124999999990	6.0304093360901	14.2040338516235
3	562382.8124999999990	5.9544477462769	11.6552648544312
4	464179.6874999999990	5.9015560150146	9.4444341659546
5	383320.3124999999990	5.8667917251587	7.5169911384583
6	316289.0624999999990	5.8425316810608	5.8228416442871
7	261210.9375000000000	5.8257536888123	4.3524236679077
8	215507.8125000000000	5.8192801475525	2.9781029224396
9	178007.8125000000000	5.8170733451843	1.7297332286835
10	146835.9375000000000	5.8201303482056	0.5528482794762
11	121289.0625000000000	5.8296074867249	-0.5832518339157
12	100195.3125000000000	5.8399348258972	-1.7038493156433
13	82617.1874999999999	5.8622541427612	-2.8801357746124
14	68320.3124999999999	5.8909168243408	-4.0957651138306
15	56367.1874999999999	5.9288473129272	-5.4022302627563
16	46523.4374999999999	5.9778065681458	-6.8075675964355
17	38320.3124999999999	6.0403695106506	-8.3440971374512
18	31757.8125000000000	6.1147327423096	-9.9777879714966
19	26132.8125000000000	6.2134027481079	-11.8352594375610
20	21679.6875000000000	6.3266744613647	-13.7932195663452
21	17929.6875000000000	6.4673237800598	-15.9860334396362
22	14519.8173828125000	6.6589546203613	-18.6923942565918
23	12004.5732421875000	6.8725638389587	-21.3928127288818
24	9946.6464843750000	7.1316013336182	-24.3275299072266
25	8320.3125000000000	7.4322972297668	-27.3552246093750
26	6745.4267578125000	7.8742532730103	-31.2303810119629
27	5602.1342773437500	8.3679170608521	-34.9092674255371
28	4687.5000000000000	8.9566478729248	-38.6016044616699
29	3867.1875000000000	9.7516374588013	-42.7035522460937
30	3164.0625000000000	10.7969713211060	-46.9945068359375
31	2629.5732421875000	12.0023717880249	-50.8671150207520
32	2172.2561035156250	13.5399227142334	-54.6819496154785
33	1770.8333740234375	15.5828914642334	-58.4748268127441
34	1450.8928222656250	18.0499858856201	-61.8366394042969
35	1199.1279296875000	20.9097366333008	-64.7037582397461
36	1004.4642944335937	24.1091442108154	-67.0792083740234
37	827.2058715820312	28.3157978057861	-69.3717269897461
38	683.5937500000000	33.2780609130859	-71.3072052001953
39	558.0357055664062	39.6557998657227	-73.0835800170898
40	468.7500000000000	46.1865539550781	-74.4053955078125
41	384.2213134765625	55.0556983947754	-75.6896743774414
42	319.6022644042969	64.8571319580078	-76.7027359008789
43	260.4166564941406	77.9093170166016	-77.6665496826172
44	216.3461608886719	92.0513992309570	-78.4010696411133
45	178.0063323974609	109.7834625244141	-79.0672988891602
46	146.4843750000000	130.9677734375000	-79.6316833496094
47	121.2284469604492	155.5828399658203	-80.1026458740234
48	99.7340393066406	185.9120025634766	-80.5245895385742
49	82.2368392944336	221.1800079345703	-80.9211349487305
50	67.9347839355469	262.6945800781250	-81.2561416625977
51	55.8035697937012	315.7767944335937	-81.4801940917969
52	46.8750000000000	370.1858520507812	-81.7137527465820
53	38.1097564697266	447.9155578613281	-81.9346847534180
54	31.8877544403076	527.2439575195312	-82.1179580688477
55	26.0416660308838	635.3846435546875	-82.2972488403320
56	21.3068180084229	764.2855834960937	-82.4607772827148
57	17.7556819915771	904.1831665039062	-82.5981979370117
58	14.5574531555176	1085.7670898437500	-82.7315979003906
59	12.1124029159546	1287.2987060546875	-82.8485794067383
60	9.9101476669312	1549.7916259765625	-82.9695281982422
