IMPEDANCE MEASUREMENT 
10/10/2022-12:14 PM
Chamber temperature (K): 301.39
Chamber pressure (MPa): 324.348044
Description: 	2764uScm_durabilityTest_rampDown
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	192.6500854492187	-2.0941808223724
1	825585.9374999999990	193.9063568115234	-1.3523259162903
2	681445.3124999999990	193.4816741943359	-1.1019990444183
3	562382.8124999999990	193.2128906250000	-0.8945045471191
4	464179.6874999999990	192.9566040039062	-0.7233570814133
5	383320.3124999999990	192.6849975585937	-0.5913171172142
6	316289.0624999999990	192.5241699218750	-0.5087915658951
7	261210.9375000000000	194.2360687255859	0.2412748932838
8	215507.8125000000000	193.7430114746094	0.2067526727915
9	178007.8125000000000	193.3898468017578	0.1739360243082
10	146835.9375000000000	193.1053161621094	0.1278126239777
11	121289.0625000000000	192.9116516113281	0.0822402909398
12	100195.3125000000000	192.7756500244141	0.0688064619899
13	82617.1874999999999	192.6748962402344	-0.0034897478763
14	68320.3124999999999	192.6262359619141	-0.0769701749086
15	56367.1874999999999	192.5945892333984	-0.1474919170141
16	46523.4374999999999	192.6089172363281	-0.2186119407415
17	38320.3124999999999	192.6289672851562	-0.2955770194530
18	31757.8125000000000	192.6620635986328	-0.3732019364834
19	26132.8125000000000	192.7270812988281	-0.4609127640724
20	21679.6875000000000	192.7916412353516	-0.5600060820580
21	17929.6875000000000	192.8752593994141	-0.6758379340172
22	14519.8173828125000	192.9710693359375	-0.8261908888817
23	12004.5732421875000	193.0751342773437	-0.9770843982697
24	9946.6464843750000	193.2077636718750	-1.1652704477310
25	8320.3125000000000	193.3557128906250	-1.3634049892426
26	6745.4267578125000	193.5636749267578	-1.6451842784882
27	5602.1342773437500	193.8003997802734	-1.9372218847275
28	4687.5000000000000	194.0807647705078	-2.2694082260132
29	3867.1875000000000	194.4356842041016	-2.6871428489685
30	3164.0625000000000	194.8974609375000	-3.1968038082123
31	2629.5732421875000	195.4500427246094	-3.7528219223022
32	2172.2561035156250	196.1460571289062	-4.4251556396484
33	1770.8333740234375	197.0810089111328	-5.2559471130371
34	1450.8928222656250	198.2353973388672	-6.2129049301147
35	1199.1279296875000	199.6415100097656	-7.2694439888000
36	1004.4642944335937	201.2504882812500	-8.3976163864136
37	827.2058715820312	203.4434356689453	-9.8006076812744
38	683.5937500000000	206.1234130859375	-11.3729515075684
39	558.0357055664062	209.6598815917969	-13.2678546905518
40	468.7500000000000	213.3898315429687	-15.0957002639771
41	384.2213134765625	218.5545806884766	-17.4246883392334
42	319.6022644042969	224.4025573730469	-19.8421173095703
43	260.4166564941406	232.4224395751953	-22.8321857452393
44	216.3461608886719	241.4214324951172	-25.8502235412598
45	178.0063323974609	253.1865997314453	-29.3434867858887
46	146.4843750000000	268.0449523925781	-33.1496543884277
47	121.2284469604492	286.2344970703125	-37.1013946533203
48	99.7340393066406	310.1161804199219	-41.3802528381348
49	82.2368392944336	340.1596374511719	-45.7039489746094
50	67.9347839355469	377.5364379882812	-49.9602775573730
51	55.8035697937012	426.0350036621094	-54.2038917541504
52	46.8750000000000	479.0484008789062	-57.7632789611816
53	38.1097564697266	556.8099365234375	-61.6736526489258
54	31.8877544403076	639.0559692382812	-64.7203292846680
55	26.0416660308838	753.1013793945312	-67.8166580200195
56	21.3068180084229	891.7143554687500	-70.4964828491211
57	17.7556819915771	1044.1793212890625	-72.6190261840820
58	14.5574531555176	1244.6328125000000	-74.6242218017578
59	12.1124029159546	1468.2066650390625	-76.2202148437500
60	9.9101476669312	1763.1718750000000	-77.7164611816406
