IMPEDANCE MEASUREMENT 
10/10/2022-5:27 PM
Chamber temperature (K): 301.81
Chamber pressure (MPa): 202.650104
Description: 	8Sm_durabilityTest
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	6.1638970375061	21.4841499328613
1	825585.9374999999990	6.0006394386292	18.0088253021240
2	681445.3124999999990	5.8834829330444	14.9686288833618
3	562382.8124999999990	5.8007426261902	12.2927770614624
4	464179.6874999999990	5.7437338829041	9.9664049148560
5	383320.3124999999990	5.7046718597412	7.9357972145081
6	316289.0624999999990	5.6780753135681	6.1483769416809
7	261210.9375000000000	5.6602540016174	4.5824742317200
8	215507.8125000000000	5.6517949104309	3.1245944499969
9	178007.8125000000000	5.6495218276978	1.7960209846497
10	146835.9375000000000	5.6519989967346	0.5454035997391
11	121289.0625000000000	5.6625256538391	-0.6714418530464
12	100195.3125000000000	5.6734943389893	-1.8595006465912
13	82617.1874999999999	5.6968073844910	-3.1155426502228
14	68320.3124999999999	5.7279491424561	-4.4061627388000
15	56367.1874999999999	5.7686977386475	-5.7835321426392
16	46523.4374999999999	5.8203482627869	-7.2692966461182
17	38320.3124999999999	5.8868708610535	-8.8932132720947
18	31757.8125000000000	5.9671444892883	-10.6111392974854
19	26132.8125000000000	6.0711746215820	-12.5553636550903
20	21679.6875000000000	6.1910791397095	-14.6024522781372
21	17929.6875000000000	6.3393573760986	-16.8918914794922
22	14519.8173828125000	6.5425200462341	-19.7007465362549
23	12004.5732421875000	6.7683591842651	-22.4971103668213
24	9946.6464843750000	7.0432066917419	-25.5243244171143
25	8320.3125000000000	7.3628220558167	-28.6430339813232
26	6745.4267578125000	7.8336977958679	-32.5996894836426
27	5602.1342773437500	8.3590154647827	-36.3156394958496
28	4687.5000000000000	8.9837770462036	-40.0139503479004
29	3867.1875000000000	9.8222570419312	-44.0836219787598
30	3164.0625000000000	10.9236459732056	-48.2995719909668
31	2629.5732421875000	12.1857967376709	-52.0654945373535
32	2172.2561035156250	13.7889518737793	-55.7544136047363
33	1770.8333740234375	15.9101219177246	-59.4005317687988
34	1450.8928222656250	18.4650249481201	-62.6207809448242
35	1199.1279296875000	21.4183025360107	-65.3512344360352
36	1004.4642944335937	24.7160415649414	-67.6098709106445
37	827.2058715820312	29.0409164428711	-69.7921676635742
38	683.5937500000000	34.1513633728027	-71.6541671752930
39	558.0357055664062	40.6830596923828	-73.3482055664062
40	468.7500000000000	47.3908958435059	-74.5936126708984
41	384.2213134765625	56.4805107116699	-75.8212890625000
42	319.6022644042969	66.5277481079102	-76.7856903076172
43	260.4166564941406	79.8972244262695	-77.7077789306641
44	216.3461608886719	94.3733596801758	-78.4112243652344
45	178.0063323974609	112.5201950073242	-79.0509719848633
46	146.4843750000000	134.2027282714844	-79.6001052856445
47	121.2284469604492	159.3178253173828	-80.0576629638672
48	99.7340393066406	190.3627777099609	-80.4652099609375
49	82.2368392944336	226.4203338623047	-80.8497695922852
50	67.9347839355469	268.7717285156250	-81.1857376098633
51	55.8035697937012	323.0782470703125	-81.4089736938477
52	46.8750000000000	378.6593627929687	-81.6331558227539
53	38.1097564697266	458.0601196289062	-81.8555908203125
54	31.8877544403076	539.0048217773437	-82.0417251586914
55	26.0416660308838	649.4064331054687	-82.2230911254883
56	21.3068180084229	781.1247558593750	-82.3871841430664
57	17.7556819915771	923.8636474609375	-82.5242691040039
58	14.5574531555176	1109.2741699218750	-82.6643371582031
59	12.1124029159546	1314.6320800781250	-82.7857208251953
60	9.9101476669312	1582.9915771484375	-82.9068374633789
