IMPEDANCE MEASUREMENT 
10/11/2022-6:19 PM
Chamber temperature (K): 300.61
Chamber pressure (MPa): 676.825123
Description: 	8Sm_afterRupture
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	6.9822912216187	18.4151000976562
1	825585.9374999999990	6.8439302444458	15.5066585540771
2	681445.3124999999990	6.7439870834351	12.9008893966675
3	562382.8124999999990	6.6730852127075	10.5580635070801
4	464179.6874999999990	6.6235103607178	8.5375299453735
5	383320.3124999999990	6.5891523361206	6.7851109504700
6	316289.0624999999990	6.5670404434204	5.2389917373657
7	261210.9375000000000	6.5512280464172	3.8944594860077
8	215507.8125000000000	6.5453205108643	2.6522679328918
9	178007.8125000000000	6.5439214706421	1.5254019498825
10	146835.9375000000000	6.5475850105286	0.4450848996639
11	121289.0625000000000	6.5551404953003	-0.5979675650597
12	100195.3125000000000	6.5666413307190	-1.6194446086884
13	82617.1874999999999	6.5877113342285	-2.7139365673065
14	68320.3124999999999	6.6161785125732	-3.8464219570160
15	56367.1874999999999	6.6538844108582	-5.0649151802063
16	46523.4374999999999	6.7020134925842	-6.3724060058594
17	38320.3124999999999	6.7648525238037	-7.8359637260437
18	31757.8125000000000	6.8412084579468	-9.3817100524902
19	26132.8125000000000	6.9389228820801	-11.1530103683472
20	21679.6875000000000	7.0557312965393	-13.0316743850708
21	17929.6875000000000	7.1998915672302	-15.1348123550415
22	14519.8173828125000	7.3974943161011	-17.7355384826660
23	12004.5732421875000	7.6191368103027	-20.3369770050049
24	9946.6464843750000	7.8851394653320	-23.1640663146973
25	8320.3125000000000	8.1949481964111	-26.1058750152588
26	6745.4267578125000	8.6503372192383	-29.8805732727051
27	5602.1342773437500	9.1590023040771	-33.4845695495605
28	4687.5000000000000	9.7665452957153	-37.1232490539551
29	3867.1875000000000	10.5847301483154	-41.1989479064941
30	3164.0625000000000	11.6651611328125	-45.5012779235840
31	2629.5732421875000	12.9135799407959	-49.4145736694336
32	2172.2561035156250	14.5102825164795	-53.3063392639160
33	1770.8333740234375	16.6394214630127	-57.1968269348145
34	1450.8928222656250	19.1947231292725	-60.6583404541016
35	1199.1279296875000	22.1873912811279	-63.6454734802246
36	1004.4642944335937	25.5339031219482	-66.1106185913086
37	827.2058715820312	29.9285507202148	-68.5058364868164
38	683.5937500000000	35.1229286193848	-70.5451736450195
39	558.0357055664062	41.7903938293457	-72.3986434936523
40	468.7500000000000	48.6254310607910	-73.7941055297852
41	384.2213134765625	57.9016952514648	-75.1558380126953
42	319.6022644042969	68.1592864990234	-76.2260589599609
43	260.4166564941406	81.8223266601562	-77.2463150024414
44	216.3461608886719	96.6098861694336	-78.0231246948242
45	178.0063323974609	115.1599426269531	-78.7323532104492
46	146.4843750000000	137.3176574707031	-79.3276214599609
47	121.2284469604492	162.9839630126953	-79.8272628784180
48	99.7340393066406	194.5920715332031	-80.2725677490234
49	82.2368392944336	231.5076599121094	-80.6862716674805
50	67.9347839355469	274.8546752929687	-81.0410614013672
51	55.8035697937012	330.2627563476562	-81.2806472778320
52	46.8750000000000	387.0051574707031	-81.5175552368164
53	38.1097564697266	468.0666809082031	-81.7484359741211
54	31.8877544403076	550.7334594726562	-81.9394073486328
55	26.0416660308838	663.4862670898437	-82.1241073608398
56	21.3068180084229	797.9075927734375	-82.2864151000977
57	17.7556819915771	943.5489501953125	-82.4181518554687
58	14.5574531555176	1132.7176513671875	-82.5506134033203
59	12.1124029159546	1342.1384277343750	-82.6524810791016
60	9.9101476669312	1615.1446533203125	-82.7528762817383
