IMPEDANCE MEASUREMENT 
10/11/2022-6:05 PM
Chamber temperature (K): 300.32
Chamber pressure (MPa): 409.641616
Description: 	8Sm_afterRupture
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	6.1768698692322	20.9249801635742
1	825585.9374999999990	6.0211687088013	17.5192890167236
2	681445.3124999999990	5.9097170829773	14.5446567535400
3	562382.8124999999990	5.8336634635925	11.9264411926270
4	464179.6874999999990	5.7792568206787	9.6507167816162
5	383320.3124999999990	5.7418265342712	7.6666460037231
6	316289.0624999999990	5.7171750068665	5.9189724922180
7	261210.9375000000000	5.7003459930420	4.3867692947388
8	215507.8125000000000	5.6933093070984	2.9629962444305
9	178007.8125000000000	5.6924376487732	1.6823525428772
10	146835.9375000000000	5.6958374977112	0.4375829100609
11	121289.0625000000000	5.7062664031982	-0.7405305504799
12	100195.3125000000000	5.7180190086365	-1.9238116741180
13	82617.1874999999999	5.7413024902344	-3.1673395633698
14	68320.3124999999999	5.7724685668945	-4.4430294036865
15	56367.1874999999999	5.8127393722534	-5.8224730491638
16	46523.4374999999999	5.8649592399597	-7.3075652122498
17	38320.3124999999999	5.9307618141174	-8.9370908737183
18	31757.8125000000000	6.0118412971497	-10.6621694564819
19	26132.8125000000000	6.1146726608276	-12.6268253326416
20	21679.6875000000000	6.2350826263428	-14.6974573135376
21	17929.6875000000000	6.3854470252991	-17.0061321258545
22	14519.8173828125000	6.5910720825195	-19.8455390930176
23	12004.5732421875000	6.8206839561462	-22.6821727752686
24	9946.6464843750000	7.0991296768188	-25.7503395080566
25	8320.3125000000000	7.4250583648682	-28.9096908569336
26	6745.4267578125000	7.9056367874146	-32.9300918579102
27	5602.1342773437500	8.4447679519653	-36.6753082275391
28	4687.5000000000000	9.0861759185791	-40.4151840209961
29	3867.1875000000000	9.9505872726440	-44.5009078979492
30	3164.0625000000000	11.0832653045654	-48.7254486083984
31	2629.5732421875000	12.3818454742432	-52.4862785339355
32	2172.2561035156250	14.0320835113525	-56.1412162780762
33	1770.8333740234375	16.2063636779785	-59.7464675903320
34	1450.8928222656250	18.8191566467285	-62.8941574096680
35	1199.1279296875000	21.8526611328125	-65.5876235961914
36	1004.4642944335937	25.2261085510254	-67.8053512573242
37	827.2058715820312	29.6472759246826	-69.9315872192383
38	683.5937500000000	34.8651237487793	-71.7269515991211
39	558.0357055664062	41.5273551940918	-73.3805465698242
40	468.7500000000000	48.3567199707031	-74.6219177246094
41	384.2213134765625	57.6171226501465	-75.8288650512695
42	319.6022644042969	67.8486862182617	-76.7835464477539
43	260.4166564941406	81.4710998535156	-77.6930236816406
44	216.3461608886719	96.2173461914062	-78.3982849121094
45	178.0063323974609	114.6844329833984	-79.0316162109375
46	146.4843750000000	136.7825317382812	-79.5725173950195
47	121.2284469604492	162.3487701416016	-80.0250549316406
48	99.7340393066406	193.8622741699219	-80.4346771240234
49	82.2368392944336	230.6438140869141	-80.8179473876953
50	67.9347839355469	273.7487487792969	-81.1504135131836
51	55.8035697937012	329.0123291015625	-81.3647537231445
52	46.8750000000000	385.5680541992187	-81.5878067016602
53	38.1097564697266	466.3421325683594	-81.8009872436523
54	31.8877544403076	548.7400512695312	-81.9822463989258
55	26.0416660308838	661.0292358398437	-82.1586685180664
56	21.3068180084229	794.9033203125000	-82.3126983642578
57	17.7556819915771	939.9903564453125	-82.4404144287109
58	14.5574531555176	1128.1684570312500	-82.5631103515625
59	12.1124029159546	1336.5814208984375	-82.6693572998047
60	9.9101476669312	1608.1799316406250	-82.7756271362305
