Timestamp                  	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 raw R (Ohm)	RTD1 raw R (Ohm)
7:03:05.003 PM 10/14/2022 	 3.989515 	 297.647000 	 44.546000 	 -78.511568 	 4.023491 	 297.647000 	 44.546000 	 -78.511568 	 102.460400 	 109.111964
7:03:10.003 PM 10/14/2022 	 3.995467 	 297.647000 	 44.546000 	 -79.771525 	 4.019519 	 297.647000 	 44.546000 	 -79.771525 	 102.457720 	 109.112381
7:03:15.003 PM 10/14/2022 	 4.002987 	 297.647000 	 44.546000 	 -81.031889 	 4.020398 	 297.647000 	 44.546000 	 -81.031889 	 102.454265 	 109.112500
7:03:20.003 PM 10/14/2022 	 4.008505 	 297.647000 	 44.546000 	 -78.774319 	 4.021707 	 297.647000 	 44.546000 	 -78.774319 	 102.451466 	 109.112500
7:03:25.003 PM 10/14/2022 	 3.995764 	 297.647000 	 44.546000 	 -80.297063 	 4.018820 	 297.647000 	 44.546000 	 -80.297063 	 102.448607 	 109.112797
7:03:30.003 PM 10/14/2022 	 3.997184 	 297.647000 	 44.546000 	 -79.798883 	 4.030760 	 297.647000 	 44.546000 	 -79.798883 	 102.445153 	 109.112738
7:03:35.003 PM 10/14/2022 	 3.996747 	 297.647000 	 44.546000 	 -79.521557 	 4.014805 	 297.647000 	 44.546000 	 -79.521557 	 102.442294 	 109.112917
7:03:40.004 PM 10/14/2022 	 3.993629 	 297.647000 	 44.546000 	 -80.680083 	 4.014455 	 297.647000 	 44.546000 	 -80.680083 	 102.439197 	 109.112500
7:03:45.003 PM 10/14/2022 	 3.997536 	 297.647000 	 44.546000 	 -79.941629 	 4.014883 	 297.647000 	 44.546000 	 -79.941629 	 102.436159 	 109.113155
7:03:50.004 PM 10/14/2022 	 4.003124 	 297.647000 	 44.546000 	 -79.713501 	 4.020706 	 297.647000 	 44.546000 	 -79.713501 	 102.433181 	 109.113334
7:03:55.003 PM 10/14/2022 	 4.009844 	 297.647000 	 44.546000 	 -79.410033 	 4.025092 	 297.647000 	 44.546000 	 -79.410033 	 102.430024 	 109.113274
7:04:00.004 PM 10/14/2022 	 3.991587 	 297.647000 	 44.546000 	 -79.567668 	 4.014231 	 297.647000 	 44.546000 	 -79.567668 	 102.427106 	 109.113334
7:04:05.003 PM 10/14/2022 	 3.991264 	 297.647000 	 44.546000 	 -80.024805 	 4.020759 	 297.647000 	 44.546000 	 -80.024805 	 102.424009 	 109.113572
7:04:10.003 PM 10/14/2022 	 3.988960 	 297.647000 	 44.546000 	 -79.672133 	 4.017994 	 297.647000 	 44.546000 	 -79.672133 	 102.421329 	 109.113691
7:04:15.003 PM 10/14/2022 	 3.994682 	 297.647000 	 44.546000 	 -79.329506 	 4.021393 	 297.647000 	 44.546000 	 -79.329506 	 102.417874 	 109.113631
7:04:20.003 PM 10/14/2022 	 3.996573 	 297.647000 	 44.546000 	 -81.036632 	 4.016629 	 297.647000 	 44.546000 	 -81.036632 	 102.415134 	 109.114346
7:04:25.003 PM 10/14/2022 	 3.989798 	 297.647000 	 44.546000 	 -79.241367 	 4.023418 	 297.647000 	 44.546000 	 -79.241367 	 102.412216 	 109.114227
7:04:30.003 PM 10/14/2022 	 3.987648 	 297.647000 	 44.546000 	 -80.501036 	 4.011906 	 297.647000 	 44.546000 	 -80.501036 	 102.409059 	 109.113870
7:04:35.003 PM 10/14/2022 	 3.993251 	 297.647000 	 44.546000 	 -80.258009 	 4.016783 	 297.647000 	 44.546000 	 -80.258009 	 102.406081 	 109.115121
