Timestamp                 	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
5:41:37.900 PM 10/14/2022 	 589.354605 	 590.359548 	 281.009246 	 296.403495 	 279.729628 	 280.447326 	 296.027207 	 280.453651
5:41:42.900 PM 10/14/2022 	 589.093489 	 590.519400 	 281.010314 	 296.402575 	 279.750984 	 280.414157 	 296.020070 	 280.450161
5:41:47.901 PM 10/14/2022 	 588.409427 	 591.581887 	 281.009093 	 296.402728 	 279.759445 	 280.440121 	 296.027297 	 280.463960
5:41:52.901 PM 10/14/2022 	 589.305675 	 590.438602 	 281.009093 	 296.401502 	 279.769863 	 280.434468 	 296.035472 	 280.446144
5:41:57.900 PM 10/14/2022 	 588.168373 	 590.563811 	 281.009246 	 296.400582 	 279.775025 	 280.429892 	 296.025874 	 280.492651
5:42:02.900 PM 10/14/2022 	 588.341177 	 591.489207 	 281.009093 	 296.401195 	 279.766432 	 280.403309 	 296.024164 	 280.479207
5:42:07.900 PM 10/14/2022 	 588.673477 	 590.453412 	 281.009093 	 296.399815 	 279.758185 	 280.461729 	 296.051008 	 280.487027
5:42:12.900 PM 10/14/2022 	 588.576549 	 590.780633 	 281.008788 	 296.398436 	 279.745524 	 280.380971 	 296.001630 	 280.454440
5:42:17.900 PM 10/14/2022 	 588.942911 	 590.685484 	 281.008636 	 296.399049 	 279.756140 	 280.438281 	 296.033513 	 280.488390
5:42:22.900 PM 10/14/2022 	 589.260343 	 590.657330 	 281.008483 	 296.397822 	 279.765865 	 280.432422 	 296.053248 	 280.486911
5:42:27.900 PM 10/14/2022 	 588.867755 	 590.997107 	 281.008178 	 296.396902 	 279.783181 	 280.424413 	 296.017755 	 280.451172
5:42:32.901 PM 10/14/2022 	 588.890513 	 591.012625 	 281.008788 	 296.396136 	 279.800935 	 280.423167 	 296.061232 	 280.506358
5:42:37.900 PM 10/14/2022 	 588.333568 	 590.195197 	 281.009093 	 296.395982 	 279.738809 	 280.414650 	 295.997499 	 280.463303
5:42:42.901 PM 10/14/2022 	 588.661160 	 591.121918 	 281.008178 	 296.395982 	 279.750531 	 280.429275 	 296.016811 	 280.462845
5:42:47.901 PM 10/14/2022 	 588.399514 	 591.317407 	 281.008331 	 296.395829 	 279.794730 	 280.452974 	 296.057124 	 280.494812
5:42:52.900 PM 10/14/2022 	 588.748877 	 590.874340 	 281.009551 	 296.394449 	 279.778724 	 280.434072 	 296.046377 	 280.480777
5:42:57.900 PM 10/14/2022 	 589.674366 	 590.195649 	 281.008941 	 296.393069 	 279.760781 	 280.441941 	 296.048340 	 280.467240
5:43:02.900 PM 10/14/2022 	 589.254978 	 589.685662 	 281.009856 	 296.391229 	 279.766664 	 280.430788 	 296.041320 	 280.470682
