Timestamp                 	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 raw R (Ohm)	RTD1 raw R (Ohm)
5:41:37.900 PM 10/14/2022 	 10.833287 	 297.647000 	 44.546000 	 -72.155290 	 10.841506 	 297.647000 	 44.546000 	 -72.155290 	 103.101742 	 109.089567
5:41:42.900 PM 10/14/2022 	 10.830233 	 297.647000 	 44.546000 	 -72.473206 	 10.843334 	 297.647000 	 44.546000 	 -72.473206 	 103.102159 	 109.089210
5:41:47.901 PM 10/14/2022 	 10.822323 	 297.647000 	 44.546000 	 -72.151301 	 10.855675 	 297.647000 	 44.546000 	 -72.151301 	 103.101683 	 109.089269
5:41:52.901 PM 10/14/2022 	 10.832749 	 297.647000 	 44.546000 	 -71.787143 	 10.842452 	 297.647000 	 44.546000 	 -71.787143 	 103.101683 	 109.088793
5:41:57.900 PM 10/14/2022 	 10.819522 	 297.647000 	 44.546000 	 -72.214658 	 10.843869 	 297.647000 	 44.546000 	 -72.214658 	 103.101742 	 109.088435
5:42:02.900 PM 10/14/2022 	 10.821520 	 297.647000 	 44.546000 	 -72.290842 	 10.854590 	 297.647000 	 44.546000 	 -72.290842 	 103.101683 	 109.088673
5:42:07.900 PM 10/14/2022 	 10.825471 	 297.647000 	 44.546000 	 -71.095044 	 10.842679 	 297.647000 	 44.546000 	 -71.095044 	 103.101683 	 109.088137
5:42:12.900 PM 10/14/2022 	 10.824170 	 297.647000 	 44.546000 	 -73.294639 	 10.846296 	 297.647000 	 44.546000 	 -73.294639 	 103.101563 	 109.087601
5:42:17.900 PM 10/14/2022 	 10.828534 	 297.647000 	 44.546000 	 -71.874373 	 10.845307 	 297.647000 	 44.546000 	 -71.874373 	 103.101504 	 109.087840
5:42:22.900 PM 10/14/2022 	 10.832287 	 297.647000 	 44.546000 	 -70.995280 	 10.845051 	 297.647000 	 44.546000 	 -70.995280 	 103.101444 	 109.087363
5:42:27.900 PM 10/14/2022 	 10.827606 	 297.647000 	 44.546000 	 -72.576334 	 10.848863 	 297.647000 	 44.546000 	 -72.576334 	 103.101325 	 109.087006
5:42:32.901 PM 10/14/2022 	 10.828025 	 297.647000 	 44.546000 	 -70.639619 	 10.849197 	 297.647000 	 44.546000 	 -70.639619 	 103.101563 	 109.086708
5:42:37.900 PM 10/14/2022 	 10.821337 	 297.647000 	 44.546000 	 -73.478655 	 10.839495 	 297.647000 	 44.546000 	 -73.478655 	 103.101683 	 109.086648
5:42:42.901 PM 10/14/2022 	 10.825206 	 297.647000 	 44.546000 	 -72.618380 	 10.850306 	 297.647000 	 44.546000 	 -72.618380 	 103.101325 	 109.086648
5:42:47.901 PM 10/14/2022 	 10.822314 	 297.647000 	 44.546000 	 -70.822613 	 10.852716 	 297.647000 	 44.546000 	 -70.822613 	 103.101385 	 109.086589
5:42:52.900 PM 10/14/2022 	 10.826329 	 297.647000 	 44.546000 	 -71.301343 	 10.847542 	 297.647000 	 44.546000 	 -71.301343 	 103.101861 	 109.086053
5:42:57.900 PM 10/14/2022 	 10.837072 	 297.647000 	 44.546000 	 -71.213905 	 10.839682 	 297.647000 	 44.546000 	 -71.213905 	 103.101623 	 109.085517
5:43:02.900 PM 10/14/2022 	 10.832182 	 297.647000 	 44.546000 	 -71.526603 	 10.833745 	 297.647000 	 44.546000 	 -71.526603 	 103.101980 	 109.084802
5:43:07.900 PM 10/14/2022 	 10.811877 	 297.647000 	 44.546000 	 -73.172620 	 10.840622 	 297.647000 	 44.546000 	 -73.172620 	 103.101087 	 109.085457
5:43:12.900 PM 10/14/2022 	 10.833177 	 297.647000 	 44.546000 	 -71.029119 	 10.845184 	 297.647000 	 44.546000 	 -71.029119 	 103.101087 	 109.084921
5:43:17.900 PM 10/14/2022 	 10.831664 	 297.647000 	 44.546000 	 -72.761329 	 10.849599 	 297.647000 	 44.546000 	 -72.761329 	 103.101325 	 109.084444
5:43:22.650 PM 10/14/2022 	 10.820947 	 297.647000 	 44.546000 	 -72.109030 	 10.858224 	 297.647000 	 44.546000 	 -72.109030 	 103.101325 	 109.084444
