IMPEDANCE MEASUREMENT 
10/14/2022-7:12 PM
Chamber temperature (K): 278.48
Chamber pressure (MPa): 1.30
Description: 	8Sm_coldTest
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	9.7650308609009	12.9662599563599
1	825585.9374999999990	9.6584796905518	10.7244167327881
2	681445.3124999999990	9.5814657211304	8.8079280853271
3	562382.8124999999990	9.5300111770630	7.1638402938843
4	464179.6874999999990	9.4945602416992	5.7450027465820
5	383320.3124999999990	9.4701538085937	4.5196142196655
6	316289.0624999999990	9.4545307159424	3.4486978054047
7	261210.9375000000000	9.4424295425415	2.5178818702698
8	215507.8125000000000	9.4393796920776	1.6366941928864
9	178007.8125000000000	9.4386882781982	0.8335629701614
10	146835.9375000000000	9.4421854019165	0.0597449503839
11	121289.0625000000000	9.4517164230347	-0.6864350438118
12	100195.3125000000000	9.4598131179810	-1.4405539035797
13	82617.1874999999999	9.4814796447754	-2.2597651481628
14	68320.3124999999999	9.5087070465088	-3.1237533092499
15	56367.1874999999999	9.5454502105713	-4.0725889205933
16	46523.4374999999999	9.5932455062866	-5.1037802696228
17	38320.3124999999999	9.6578636169434	-6.2696123123169
18	31757.8125000000000	9.7372779846191	-7.5220751762390
19	26132.8125000000000	9.8391180038452	-8.9636745452881
20	21679.6875000000000	9.9609451293945	-10.5134925842285
21	17929.6875000000000	10.1147327423096	-12.2592687606812
22	14519.8173828125000	10.3271942138672	-14.4302368164062
23	12004.5732421875000	10.5631380081177	-16.6243743896484
24	9946.6464843750000	10.8502025604248	-19.0115642547607
25	8320.3125000000000	11.1781835556030	-21.5205059051514
26	6745.4267578125000	11.6578483581543	-24.7618083953857
27	5602.1342773437500	12.1862201690674	-27.9047966003418
28	4687.5000000000000	12.8094615936279	-31.1524410247803
29	3867.1875000000000	13.6470336914062	-34.8791961669922
30	3164.0625000000000	14.7468500137329	-38.9499282836914
31	2629.5732421875000	16.0282573699951	-42.7880783081055
32	2172.2561035156250	17.6545181274414	-46.7263755798340
33	1770.8333740234375	19.8378238677979	-50.8574905395508
34	1450.8928222656250	22.4939823150635	-54.6758041381836
35	1199.1279296875000	25.6140785217285	-58.0737571716309
36	1004.4642944335937	29.1190032958984	-60.9747390747070
37	827.2058715820312	33.7440414428711	-63.8484077453613
38	683.5937500000000	39.2343788146973	-66.3487472534180
39	558.0357055664062	46.2909049987793	-68.6829757690430
40	468.7500000000000	53.5428390502930	-70.4488601684570
41	384.2213134765625	63.4043502807617	-72.2042007446289
42	319.6022644042969	74.3207092285156	-73.6110153198242
43	260.4166564941406	88.8760528564453	-74.9478988647461
44	216.3461608886719	104.6447753906250	-75.9819030761719
45	178.0063323974609	124.4407730102539	-76.9088897705078
46	146.4843750000000	148.0981292724609	-77.6919021606445
47	121.2284469604492	175.5968170166016	-78.3322830200195
48	99.7340393066406	209.2184753417969	-78.8838119506836
49	82.2368392944336	248.6196899414062	-79.3695755004883
50	67.9347839355469	294.9564819335937	-79.7548828125000
51	55.8035697937012	353.8271179199219	-80.0009460449219
52	46.8750000000000	414.1739196777344	-80.2070007324219
53	38.1097564697266	500.2201232910156	-80.3641662597656
54	31.8877544403076	587.7428588867187	-80.4574127197266
55	26.0416660308838	706.6036376953125	-80.4965286254883
56	21.3068180084229	847.5960083007812	-80.4747238159180
57	17.7556819915771	999.5771484375000	-80.4165649414062
58	14.5574531555176	1195.3886718750000	-80.3101959228516
59	12.1124029159546	1410.2980957031250	-80.1761627197266
60	9.9101476669312	1687.4792480468750	-80.0043869018555
