IMPEDANCE MEASUREMENT 
10/14/2022-6:11 PM
Chamber temperature (K): 280.81
Chamber pressure (MPa): 5.71
Description: 	8Sm_rampDown
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	10.2124729156494	12.4788303375244
1	825585.9374999999990	10.1036376953125	10.3135967254639
2	681445.3124999999990	10.0254220962524	8.4739313125610
3	562382.8124999999990	9.9743938446045	6.8950600624084
4	464179.6874999999990	9.9365444183350	5.5382938385010
5	383320.3124999999990	9.9104747772217	4.3711962699890
6	316289.0624999999990	9.8936967849731	3.3462495803833
7	261210.9375000000000	9.8790817260742	2.4529905319214
8	215507.8125000000000	9.8741397857666	1.6136815547943
9	178007.8125000000000	9.8690814971924	0.8606264591217
10	146835.9375000000000	9.8713808059692	0.1339301764965
11	121289.0625000000000	9.8786010742187	-0.5766331553459
12	100195.3125000000000	9.8822174072266	-1.2922476530075
13	82617.1874999999999	9.9003782272339	-2.0624039173126
14	68320.3124999999999	9.9226398468018	-2.8725728988647
15	56367.1874999999999	9.9562759399414	-3.7630519866943
16	46523.4374999999999	10.0006275177002	-4.7392382621765
17	38320.3124999999999	10.0585451126099	-5.8311676979065
18	31757.8125000000000	10.1297388076782	-7.0064387321472
19	26132.8125000000000	10.2254838943481	-8.3724641799927
20	21679.6875000000000	10.3394947052002	-9.8332471847534
21	17929.6875000000000	10.4840707778931	-11.4862051010132
22	14519.8173828125000	10.6827230453491	-13.5482549667358
23	12004.5732421875000	10.9069795608521	-15.6322650909424
24	9946.6464843750000	11.1768684387207	-17.9128532409668
25	8320.3125000000000	11.4887504577637	-20.2997722625732
26	6745.4267578125000	11.9417028427124	-23.4022045135498
27	5602.1342773437500	12.4389076232910	-26.4229297637939
28	4687.5000000000000	13.0270786285400	-29.5587539672852
29	3867.1875000000000	13.8128156661987	-33.1807937622070
30	3164.0625000000000	14.8476257324219	-37.1762809753418
31	2629.5732421875000	16.0522632598877	-40.9782218933105
32	2172.2561035156250	17.5846519470215	-44.9295234680176
33	1770.8333740234375	19.6475849151611	-49.1085472106934
34	1450.8928222656250	22.1637287139893	-53.0178070068359
35	1199.1279296875000	25.1303405761719	-56.5306396484375
36	1004.4642944335937	28.4641704559326	-59.5473327636719
37	827.2058715820312	32.8820610046387	-62.5623397827148
38	683.5937500000000	38.1277847290039	-65.1996002197266
39	558.0357055664062	44.8934402465820	-67.6732101440430
40	468.7500000000000	51.8347511291504	-69.5402526855469
41	384.2213134765625	61.2919883728027	-71.3988418579102
42	319.6022644042969	71.7588500976562	-72.8878936767578
43	260.4166564941406	85.7249450683594	-74.3048706054687
44	216.3461608886719	100.8561782836914	-75.3995132446289
45	178.0063323974609	119.8274154663086	-76.3806915283203
46	146.4843750000000	142.4960174560547	-77.2096710205078
47	121.2284469604492	168.8397369384766	-77.8798065185547
48	99.7340393066406	201.0474548339844	-78.4573364257812
49	82.2368392944336	238.7746124267578	-78.9666976928711
50	67.9347839355469	283.1468505859375	-79.3630828857422
51	55.8035697937012	339.3615417480469	-79.6241607666016
52	46.8750000000000	397.0056152343750	-79.8339614868164
53	38.1097564697266	479.1562805175781	-79.9912490844727
54	31.8877544403076	562.6123046875000	-80.0904388427734
55	26.0416660308838	675.8742065429687	-80.1219711303711
56	21.3068180084229	810.0850219726562	-80.0962295532227
57	17.7556819915771	954.4857177734375	-80.0262527465820
58	14.5574531555176	1140.3438720703125	-79.9138183593750
59	12.1124029159546	1343.8586425781250	-79.7771682739258
60	9.9101476669312	1606.1948242187500	-79.6086120605469
