IMPEDANCE MEASUREMENT 
10/14/2022-2:57 PM
Chamber temperature (K): 281.01
Chamber pressure (MPa): 591.31
Description: 	NewVItest
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	9.1990833282471	13.7761011123657
1	825585.9374999999990	9.0846681594849	11.4250946044922
2	681445.3124999999990	9.0048198699951	9.4019374847412
3	562382.8124999999990	8.9498205184937	7.6655163764954
4	464179.6874999999990	8.9135036468506	6.1710333824158
5	383320.3124999999990	8.8853206634521	4.8701519966125
6	316289.0624999999990	8.8706874847412	3.7373282909393
7	261210.9375000000000	8.8557214736938	2.7695341110229
8	215507.8125000000000	8.8526811599731	1.8464703559875
9	178007.8125000000000	8.8504934310913	1.0107773542404
10	146835.9375000000000	8.8552694320679	0.2155914455652
11	121289.0625000000000	8.8632383346558	-0.5616781711578
12	100195.3125000000000	8.8693571090698	-1.3244045972824
13	82617.1874999999999	8.8904762268066	-2.1532511711121
14	68320.3124999999999	8.9163770675659	-3.0165083408356
15	56367.1874999999999	8.9499883651733	-3.9594366550446
16	46523.4374999999999	8.9946880340576	-4.9880390167236
17	38320.3124999999999	9.0526275634766	-6.1332764625549
18	31757.8125000000000	9.1247930526733	-7.3731231689453
19	26132.8125000000000	9.2178440093994	-8.7976884841919
20	21679.6875000000000	9.3299131393433	-10.3226795196533
21	17929.6875000000000	9.4688854217529	-12.0560216903687
22	14519.8173828125000	9.6614379882812	-14.2044458389282
23	12004.5732421875000	9.8754158020020	-16.3740119934082
24	9946.6464843750000	10.1346282958984	-18.7491378784180
25	8320.3125000000000	10.4312677383423	-21.2358436584473
26	6745.4267578125000	10.8637037277222	-24.4748687744141
27	5602.1342773437500	11.3405389785767	-27.6341018676758
28	4687.5000000000000	11.9039106369019	-30.9127864837646
29	3867.1875000000000	12.6622629165649	-34.6996574401855
30	3164.0625000000000	13.6645002365112	-38.8678169250488
31	2629.5732421875000	14.8289918899536	-42.8254432678223
32	2172.2561035156250	16.3425025939941	-46.9350624084473
33	1770.8333740234375	18.3606719970703	-51.2173843383789
34	1450.8928222656250	20.8389205932617	-55.2089347839355
35	1199.1279296875000	23.7706985473633	-58.7580451965332
36	1004.4642944335937	27.0793399810791	-61.7828788757324
37	827.2058715820312	31.4667282104492	-64.7655410766602
38	683.5937500000000	36.6868743896484	-67.3679962158203
39	558.0357055664062	43.4341850280762	-69.7706451416016
40	468.7500000000000	50.3768196105957	-71.5738677978516
41	384.2213134765625	59.8374290466309	-73.3556823730469
42	319.6022644042969	70.3366699218750	-74.7721328735352
43	260.4166564941406	84.3549880981445	-76.1209411621094
44	216.3461608886719	99.5731811523437	-77.1552047729492
45	178.0063323974609	118.6825027465820	-78.0902404785156
46	146.4843750000000	141.5828094482422	-78.8833923339844
47	121.2284469604492	168.1253356933594	-79.5427627563477
48	99.7340393066406	200.8556671142578	-80.1215133666992
49	82.2368392944336	239.1769409179687	-80.6441879272461
50	67.9347839355469	284.3012390136719	-81.0796356201172
51	55.8035697937012	341.7567443847656	-81.4020538330078
52	46.8750000000000	400.8639526367187	-81.6890945434570
53	38.1097564697266	485.3365783691406	-81.9702072143555
54	31.8877544403076	571.5480346679687	-82.1934280395508
55	26.0416660308838	689.2058715820312	-82.4073104858398
56	21.3068180084229	829.6084594726562	-82.5896530151367
57	17.7556819915771	981.9163818359375	-82.7365493774414
58	14.5574531555176	1179.7525634765625	-82.8737869262695
59	12.1124029159546	1398.9815673828125	-82.9865570068359
60	9.9101476669312	1684.9873046875000	-83.0906143188477
