Timestamp                  	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
6:21:30.797 PM 10/16/2022 	 -0.329182 	 2.524566 	 270.924992 	 296.214763 	 268.809412 	 270.905783 	 295.062181 	 270.036388
6:21:31.296 PM 10/16/2022 	 1.127150 	 2.315061 	 270.924992 	 296.213383 	 268.803815 	 270.900698 	 295.056878 	 269.985120
6:21:31.796 PM 10/16/2022 	 0.846791 	 2.313806 	 270.924992 	 296.213383 	 268.803815 	 270.900698 	 295.056878 	 269.985120
6:21:32.296 PM 10/16/2022 	 0.223020 	 2.318459 	 270.925601 	 296.212616 	 268.810310 	 270.871960 	 295.044179 	 270.012954
6:21:32.795 PM 10/16/2022 	 0.104051 	 1.690727 	 270.926209 	 296.213843 	 268.784573 	 270.909287 	 295.042887 	 270.021028
6:21:33.296 PM 10/16/2022 	 -0.042296 	 2.040547 	 270.924536 	 296.213229 	 268.797349 	 270.904170 	 295.059706 	 270.011933
6:21:33.796 PM 10/16/2022 	 1.168019 	 1.896051 	 270.926057 	 296.214456 	 268.791667 	 270.897017 	 295.055264 	 270.029598
6:21:34.296 PM 10/16/2022 	 0.849795 	 1.798141 	 270.926057 	 296.214456 	 268.791667 	 270.897017 	 295.055264 	 270.029598
6:21:34.796 PM 10/16/2022 	 -0.065949 	 2.798882 	 270.925297 	 296.211543 	 268.826259 	 270.910182 	 295.033840 	 270.017455
6:21:35.298 PM 10/16/2022 	 0.557555 	 3.120324 	 270.925449 	 296.213996 	 268.796912 	 270.886871 	 295.037611 	 270.010007
6:21:35.796 PM 10/16/2022 	 0.078265 	 1.797721 	 270.926361 	 296.214149 	 268.798845 	 270.903678 	 295.054996 	 270.012930
6:21:36.296 PM 10/16/2022 	 0.450763 	 -0.308735 	 270.925297 	 296.213689 	 268.782984 	 270.908198 	 295.061177 	 270.005539
6:21:36.796 PM 10/16/2022 	 0.738205 	 2.432290 	 270.925905 	 296.214149 	 268.813128 	 270.918415 	 295.036480 	 270.024705
6:21:37.296 PM 10/16/2022 	 0.835502 	 2.868616 	 270.925905 	 296.214149 	 268.813128 	 270.918415 	 295.036480 	 270.024705
6:21:37.796 PM 10/16/2022 	 0.239903 	 2.925583 	 270.924688 	 296.213689 	 268.812845 	 270.893831 	 295.047995 	 270.021444
6:21:38.296 PM 10/16/2022 	 0.507342 	 2.634486 	 270.925905 	 296.213689 	 268.800822 	 270.883827 	 295.051685 	 270.015401
6:21:38.796 PM 10/16/2022 	 0.141029 	 2.405337 	 270.925601 	 296.214916 	 268.805028 	 270.899428 	 295.058027 	 270.025061
6:21:39.296 PM 10/16/2022 	 0.209546 	 3.147246 	 270.924992 	 296.214149 	 268.818632 	 270.913488 	 295.046409 	 270.022751
6:21:39.796 PM 10/16/2022 	 0.876588 	 1.933667 	 270.924992 	 296.214149 	 268.818632 	 270.913488 	 295.046409 	 270.022751
6:21:40.296 PM 10/16/2022 	 0.428760 	 2.018825 	 270.924080 	 296.213076 	 268.787363 	 270.929427 	 295.072396 	 270.012393
