Timestamp                  	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 raw R (Ohm)	RTD1 raw R (Ohm)	DAQ thermistor T (K)
6:21:30.797 PM 10/16/2022 	 3.989355 	 297.647000 	 44.546000 	 -115.143349 	 4.024169 	 297.647000 	 44.546000 	 -115.143349 	 99.158512 	 109.016242 	 301.712994
6:21:31.296 PM 10/16/2022 	 4.006231 	 297.647000 	 44.546000 	 -115.379590 	 4.021722 	 297.647000 	 44.546000 	 -115.379590 	 99.158512 	 109.015706 	 301.712412
6:21:31.796 PM 10/16/2022 	 4.002978 	 297.647000 	 44.546000 	 -115.379590 	 4.021707 	 297.647000 	 44.546000 	 -115.379590 	 99.158512 	 109.015706 	 301.712412
6:21:32.296 PM 10/16/2022 	 3.995697 	 297.647000 	 44.546000 	 -115.945270 	 4.021716 	 297.647000 	 44.546000 	 -115.945270 	 99.158751 	 109.015408 	 301.712438
6:21:32.795 PM 10/16/2022 	 3.994312 	 297.647000 	 44.546000 	 -116.002797 	 4.014435 	 297.647000 	 44.546000 	 -116.002797 	 99.158989 	 109.015885 	 301.712094
6:21:33.296 PM 10/16/2022 	 3.992675 	 297.647000 	 44.546000 	 -115.253620 	 4.018550 	 297.647000 	 44.546000 	 -115.253620 	 99.158334 	 109.015646 	 301.712412
6:21:33.796 PM 10/16/2022 	 4.006699 	 297.647000 	 44.546000 	 -115.451457 	 4.016859 	 297.647000 	 44.546000 	 -115.451457 	 99.158929 	 109.016123 	 301.711749
6:21:34.296 PM 10/16/2022 	 4.003007 	 297.647000 	 44.546000 	 -115.451457 	 4.015724 	 297.647000 	 44.546000 	 -115.451457 	 99.158929 	 109.016123 	 301.711749
6:21:34.796 PM 10/16/2022 	 3.992308 	 297.647000 	 44.546000 	 -116.405821 	 4.027248 	 297.647000 	 44.546000 	 -116.405821 	 99.158631 	 109.014991 	 301.711537
6:21:35.298 PM 10/16/2022 	 3.999554 	 297.647000 	 44.546000 	 -116.237853 	 4.030987 	 297.647000 	 44.546000 	 -116.237853 	 99.158691 	 109.015944 	 301.711537
6:21:35.796 PM 10/16/2022 	 3.994056 	 297.647000 	 44.546000 	 -115.463407 	 4.015718 	 297.647000 	 44.546000 	 -115.463407 	 99.159048 	 109.016004 	 301.711484
6:21:36.296 PM 10/16/2022 	 3.998400 	 297.647000 	 44.546000 	 -115.188082 	 3.991323 	 297.647000 	 44.546000 	 -115.188082 	 99.158631 	 109.015825 	 301.711537
6:21:36.796 PM 10/16/2022 	 4.001646 	 297.647000 	 44.546000 	 -116.288210 	 4.023008 	 297.647000 	 44.546000 	 -116.288210 	 99.158870 	 109.016004 	 301.711352
6:21:37.296 PM 10/16/2022 	 4.002775 	 297.647000 	 44.546000 	 -116.288210 	 4.028066 	 297.647000 	 44.546000 	 -116.288210 	 99.158870 	 109.016004 	 301.711352
6:21:37.796 PM 10/16/2022 	 3.995906 	 297.647000 	 44.546000 	 -115.775267 	 4.028767 	 297.647000 	 44.546000 	 -115.775267 	 99.158393 	 109.015825 	 301.711087
6:21:38.296 PM 10/16/2022 	 3.999022 	 297.647000 	 44.546000 	 -115.610889 	 4.025406 	 297.647000 	 44.546000 	 -115.610889 	 99.158870 	 109.015825 	 301.711008
6:21:38.796 PM 10/16/2022 	 3.994795 	 297.647000 	 44.546000 	 -115.328392 	 4.022772 	 297.647000 	 44.546000 	 -115.328392 	 99.158751 	 109.016301 	 301.711220
6:21:39.296 PM 10/16/2022 	 3.995549 	 297.647000 	 44.546000 	 -115.845939 	 4.031331 	 297.647000 	 44.546000 	 -115.845939 	 99.158512 	 109.016004 	 301.710451
6:21:39.796 PM 10/16/2022 	 4.003287 	 297.647000 	 44.546000 	 -115.845939 	 4.017264 	 297.647000 	 44.546000 	 -115.845939 	 99.158512 	 109.016004 	 301.710451
6:21:40.296 PM 10/16/2022 	 3.998184 	 297.647000 	 44.546000 	 -114.688311 	 4.018343 	 297.647000 	 44.546000 	 -114.688311 	 99.158155 	 109.015587 	 301.710981
6:21:40.796 PM 10/16/2022 	 3.998376 	 297.647000 	 44.546000 	 -115.507623 	 4.015323 	 297.647000 	 44.546000 	 -115.507623 	 99.158989 	 109.016123 	 301.710504
6:21:41.296 PM 10/16/2022 	 4.003455 	 297.647000 	 44.546000 	 -115.159073 	 4.016748 	 297.647000 	 44.546000 	 -115.159073 	 99.158214 	 109.016421 	 301.710319
6:21:41.796 PM 10/16/2022 	 3.994641 	 297.647000 	 44.546000 	 -115.159073 	 4.026689 	 297.647000 	 44.546000 	 -115.159073 	 99.158214 	 109.016421 	 301.710319
6:21:42.296 PM 10/16/2022 	 3.998170 	 297.647000 	 44.546000 	 -115.264047 	 4.017476 	 297.647000 	 44.546000 	 -115.264047 	 99.158810 	 109.016242 	 301.710319
6:21:42.796 PM 10/16/2022 	 3.996753 	 297.647000 	 44.546000 	 -115.182972 	 4.011726 	 297.647000 	 44.546000 	 -115.182972 	 99.158810 	 109.016242 	 301.709789
