Timestamp                  	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
1:49:02.447 PM 10/16/2022 	 -336.957264 	 -337.303886 	 270.934269 	 295.540567 	 268.778660 	 27.686416 	 270.836929 	 294.293877
1:49:47.037 PM 10/16/2022 	 -336.970644 	 -337.280369 	 270.934574 	 295.537961 	 268.792106 	 27.692025 	 270.859264 	 294.304277
1:54:11.901 PM 10/16/2022 	 -336.984439 	 -337.333068 	 270.938224 	 295.545472 	 268.798020 	 27.746986 	 270.931125 	 294.301865
2:13:13.434 PM 10/16/2022 	 -344.263428 	 -344.648313 	 270.935486 	 295.670551 	 268.786105 	 270.853777 	 294.325490 	 270.017095
2:13:15.934 PM 10/16/2022 	 -344.239315 	 -344.560653 	 270.934878 	 295.670091 	 268.767404 	 270.857946 	 294.338427 	 270.016800
2:13:18.433 PM 10/16/2022 	 -344.121674 	 -344.597529 	 270.935334 	 295.669171 	 268.769598 	 270.875509 	 294.333428 	 270.070627
2:13:20.934 PM 10/16/2022 	 -344.161380 	 -344.432420 	 270.934574 	 295.668558 	 268.776905 	 270.861963 	 294.339417 	 270.043165
2:13:23.434 PM 10/16/2022 	 -344.236030 	 -344.552087 	 270.935638 	 295.667332 	 268.795375 	 270.887323 	 294.352224 	 270.023369
2:13:25.933 PM 10/16/2022 	 -344.128009 	 -344.602613 	 270.934878 	 295.667025 	 268.762012 	 270.863978 	 294.341807 	 269.999005
2:13:28.434 PM 10/16/2022 	 -344.168035 	 -344.668051 	 270.935182 	 295.666565 	 268.776011 	 270.873471 	 294.308830 	 270.004537
2:13:30.934 PM 10/16/2022 	 -344.143933 	 -344.589429 	 270.934269 	 295.665492 	 268.817404 	 270.900361 	 294.352832 	 270.030463
2:13:33.433 PM 10/16/2022 	 -344.193125 	 -344.621367 	 270.934878 	 295.665952 	 268.752233 	 270.856211 	 294.314589 	 270.044855
2:13:35.933 PM 10/16/2022 	 -344.183057 	 -344.639154 	 270.935486 	 295.665186 	 268.763145 	 270.848739 	 294.316919 	 270.023472
2:13:38.434 PM 10/16/2022 	 -344.310495 	 -344.420524 	 270.935638 	 295.664726 	 268.801969 	 270.867115 	 294.348097 	 270.039385
2:13:40.934 PM 10/16/2022 	 -344.116582 	 -344.506825 	 270.934574 	 295.663960 	 268.779728 	 270.858826 	 294.327464 	 270.043997
2:13:43.434 PM 10/16/2022 	 -344.210323 	 -344.443264 	 270.934878 	 295.663500 	 268.766579 	 270.871507 	 294.321594 	 270.020445
2:13:45.934 PM 10/16/2022 	 -344.199576 	 -344.539444 	 270.935638 	 295.663346 	 268.795769 	 270.863909 	 294.344573 	 270.035679
2:13:48.434 PM 10/16/2022 	 -344.110573 	 -344.420716 	 270.935334 	 295.662887 	 268.795531 	 270.882518 	 294.349540 	 270.028986
2:13:50.933 PM 10/16/2022 	 -344.252629 	 -344.490643 	 270.933813 	 295.662887 	 268.787743 	 270.852434 	 294.309107 	 270.044549
2:13:53.434 PM 10/16/2022 	 -344.327969 	 -344.379022 	 270.935334 	 295.662120 	 268.804088 	 270.889562 	 294.345387 	 270.030576
2:13:55.934 PM 10/16/2022 	 -344.046092 	 -344.519611 	 270.935334 	 295.662580 	 268.771297 	 270.852404 	 294.308606 	 270.024162
2:13:58.434 PM 10/16/2022 	 -344.182495 	 -344.573557 	 270.934269 	 295.660281 	 268.815891 	 270.887940 	 294.348563 	 270.039379
2:14:00.933 PM 10/16/2022 	 -344.272488 	 -344.474361 	 270.935790 	 295.660127 	 268.791444 	 270.858109 	 294.345190 	 270.045264
2:14:03.434 PM 10/16/2022 	 -344.195416 	 -344.482558 	 270.935182 	 295.660127 	 268.794458 	 270.866569 	 294.348993 	 270.014509
