Timestamp                  	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 raw R (Ohm)	RTD1 raw R (Ohm)	DAQ thermistor T (K)
1:49:47.037 PM 10/16/2022 	 -0.002059 	 297.647000 	 44.546000 	 -1193.286484 	 -0.000853 	 297.647000 	 44.546000 	 -1193.286484 	 99.162265 	 108.753260 	 270.008189
1:54:11.901 PM 10/16/2022 	 -0.001963 	 297.647000 	 44.546000 	 -1190.085382 	 -0.001208 	 297.647000 	 44.546000 	 -1190.085382 	 99.163694 	 108.756179 	 270.006148
2:13:13.434 PM 10/16/2022 	 -0.003051 	 297.647000 	 44.546000 	 -147.959975 	 -0.002715 	 297.647000 	 44.546000 	 -147.959975 	 99.162622 	 108.804785 	 0.000000
2:13:15.934 PM 10/16/2022 	 -0.002726 	 297.647000 	 44.546000 	 -147.383707 	 -0.001653 	 297.647000 	 44.546000 	 -147.383707 	 99.162384 	 108.804606 	 0.000000
2:13:18.433 PM 10/16/2022 	 -0.001379 	 297.647000 	 44.546000 	 -147.606383 	 -0.002098 	 297.647000 	 44.546000 	 -147.606383 	 99.162562 	 108.804249 	 0.000000
2:13:20.934 PM 10/16/2022 	 -0.001818 	 297.647000 	 44.546000 	 -147.339574 	 -0.000163 	 297.647000 	 44.546000 	 -147.339574 	 99.162265 	 108.804010 	 0.000000
2:13:23.434 PM 10/16/2022 	 -0.002638 	 297.647000 	 44.546000 	 -146.769090 	 -0.001505 	 297.647000 	 44.546000 	 -146.769090 	 99.162681 	 108.803534 	 0.000000
2:13:25.933 PM 10/16/2022 	 -0.001422 	 297.647000 	 44.546000 	 -147.233114 	 -0.002127 	 297.647000 	 44.546000 	 -147.233114 	 99.162384 	 108.803415 	 0.000000
2:13:28.434 PM 10/16/2022 	 -0.002004 	 297.647000 	 44.546000 	 -148.702111 	 -0.003003 	 297.647000 	 44.546000 	 -148.702111 	 99.162503 	 108.803236 	 0.000000
2:13:30.934 PM 10/16/2022 	 -0.001568 	 297.647000 	 44.546000 	 -146.742028 	 -0.001935 	 297.647000 	 44.546000 	 -146.742028 	 99.162145 	 108.802819 	 0.000000
2:13:33.433 PM 10/16/2022 	 -0.002275 	 297.647000 	 44.546000 	 -148.445558 	 -0.002442 	 297.647000 	 44.546000 	 -148.445558 	 99.162384 	 108.802998 	 0.000000
2:13:35.933 PM 10/16/2022 	 -0.002150 	 297.647000 	 44.546000 	 -148.341781 	 -0.002640 	 297.647000 	 44.546000 	 -148.341781 	 99.162622 	 108.802700 	 0.000000
2:13:38.434 PM 10/16/2022 	 -0.003517 	 297.647000 	 44.546000 	 -146.952937 	 0.000006 	 297.647000 	 44.546000 	 -146.952937 	 99.162681 	 108.802521 	 0.000000
2:13:40.934 PM 10/16/2022 	 -0.001341 	 297.647000 	 44.546000 	 -147.872070 	 -0.001068 	 297.647000 	 44.546000 	 -147.872070 	 99.162265 	 108.802223 	 0.000000
2:13:43.434 PM 10/16/2022 	 -0.002449 	 297.647000 	 44.546000 	 -148.133522 	 -0.000352 	 297.647000 	 44.546000 	 -148.133522 	 99.162384 	 108.802045 	 0.000000
2:13:45.934 PM 10/16/2022 	 -0.002243 	 297.647000 	 44.546000 	 -147.109898 	 -0.001385 	 297.647000 	 44.546000 	 -147.109898 	 99.162681 	 108.801985 	 0.000000
2:13:48.434 PM 10/16/2022 	 -0.001193 	 297.647000 	 44.546000 	 -146.888672 	 0.000009 	 297.647000 	 44.546000 	 -146.888672 	 99.162562 	 108.801806 	 0.000000
2:13:50.933 PM 10/16/2022 	 -0.002984 	 297.647000 	 44.546000 	 -148.689798 	 -0.000946 	 297.647000 	 44.546000 	 -148.689798 	 99.161967 	 108.801806 	 0.000000
2:13:53.434 PM 10/16/2022 	 -0.003729 	 297.647000 	 44.546000 	 -147.073653 	 0.000477 	 297.647000 	 44.546000 	 -147.073653 	 99.162562 	 108.801508 	 0.000000
2:13:55.934 PM 10/16/2022 	 -0.000590 	 297.647000 	 44.546000 	 -148.712120 	 -0.001283 	 297.647000 	 44.546000 	 -148.712120 	 99.162562 	 108.801687 	 0.000000
2:13:58.434 PM 10/16/2022 	 -0.002030 	 297.647000 	 44.546000 	 -146.932157 	 -0.001767 	 297.647000 	 44.546000 	 -146.932157 	 99.162145 	 108.800794 	 0.000000
2:14:00.933 PM 10/16/2022 	 -0.003086 	 297.647000 	 44.546000 	 -147.082431 	 -0.000629 	 297.647000 	 44.546000 	 -147.082431 	 99.162741 	 108.800734 	 0.000000
2:14:03.434 PM 10/16/2022 	 -0.002179 	 297.647000 	 44.546000 	 -146.913000 	 -0.000710 	 297.647000 	 44.546000 	 -146.913000 	 99.162503 	 108.800734 	 0.000000
2:14:05.933 PM 10/16/2022 	 0.000055 	 297.647000 	 44.546000 	 -147.256921 	 0.000690 	 297.647000 	 44.546000 	 -147.256921 	 99.161967 	 108.800496 	 0.000000
2:14:08.434 PM 10/16/2022 	 -0.003240 	 297.647000 	 44.546000 	 -147.628267 	 -0.001962 	 297.647000 	 44.546000 	 -147.628267 	 99.162265 	 108.800138 	 0.000000
2:14:10.933 PM 10/16/2022 	 -0.001783 	 297.647000 	 44.546000 	 -148.166254 	 -0.001807 	 297.647000 	 44.546000 	 -148.166254 	 99.162622 	 108.799900 	 0.000000
2:14:13.433 PM 10/16/2022 	 -0.001629 	 297.647000 	 44.546000 	 -148.188372 	 -0.000664 	 297.647000 	 44.546000 	 -148.188372 	 99.162086 	 108.799483 	 0.000000
2:14:15.934 PM 10/16/2022 	 -0.003200 	 297.647000 	 44.546000 	 -146.750347 	 -0.001682 	 297.647000 	 44.546000 	 -146.750347 	 99.161848 	 108.799602 	 0.000000
