Timestamp                  	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
4:19:26.785 PM 10/16/2022 	 -336.950999 	 -337.296343 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:27.285 PM 10/16/2022 	 -336.970810 	 -337.314670 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:27.785 PM 10/16/2022 	 -336.993881 	 -337.301866 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:28.285 PM 10/16/2022 	 -336.931189 	 -337.284042 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:28.785 PM 10/16/2022 	 -336.965544 	 -337.342285 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:29.285 PM 10/16/2022 	 -336.956266 	 -337.291573 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:29.786 PM 10/16/2022 	 -336.987612 	 -337.325214 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:30.285 PM 10/16/2022 	 -336.976327 	 -337.295339 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:30.785 PM 10/16/2022 	 -336.966798 	 -337.270987 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:31.285 PM 10/16/2022 	 -336.979336 	 -337.334252 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:31.785 PM 10/16/2022 	 -336.964040 	 -337.319189 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:32.285 PM 10/16/2022 	 -336.999147 	 -337.299105 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:32.785 PM 10/16/2022 	 -337.004163 	 -337.321197 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:33.285 PM 10/16/2022 	 -336.989869 	 -337.306636 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:33.785 PM 10/16/2022 	 -336.976578 	 -337.333750 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
4:19:34.285 PM 10/16/2022 	 -336.968804 	 -337.362118 	 270.921342 	 295.784291 	 268.776426 	 28.064624 	 270.884301 	 294.595679
