Timestamp                  	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 raw R (Ohm)	RTD1 raw R (Ohm)	DAQ thermistor T (K)
4:19:26.785 PM 10/16/2022 	 -0.001742 	 297.647000 	 44.546000 	 -1192.171199 	 -0.000949 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:27.285 PM 10/16/2022 	 -0.001972 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001161 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:27.785 PM 10/16/2022 	 -0.002240 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001013 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:28.285 PM 10/16/2022 	 -0.001513 	 297.647000 	 44.546000 	 -1192.171199 	 -0.000806 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:28.785 PM 10/16/2022 	 -0.001911 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001481 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:29.285 PM 10/16/2022 	 -0.001803 	 297.647000 	 44.546000 	 -1192.171199 	 -0.000894 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:29.786 PM 10/16/2022 	 -0.002167 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001283 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:30.285 PM 10/16/2022 	 -0.002036 	 297.647000 	 44.546000 	 -1192.171199 	 -0.000937 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:30.785 PM 10/16/2022 	 -0.001926 	 297.647000 	 44.546000 	 -1192.171199 	 -0.000655 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:31.285 PM 10/16/2022 	 -0.002071 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001388 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:31.785 PM 10/16/2022 	 -0.001894 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001214 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:32.285 PM 10/16/2022 	 -0.002301 	 297.647000 	 44.546000 	 -1192.171199 	 -0.000981 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:32.785 PM 10/16/2022 	 -0.002359 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001237 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:33.285 PM 10/16/2022 	 -0.002193 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001068 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:33.785 PM 10/16/2022 	 -0.002039 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001382 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:34.285 PM 10/16/2022 	 -0.001949 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001711 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:34.785 PM 10/16/2022 	 -0.001984 	 297.647000 	 44.546000 	 -1192.171199 	 -0.000864 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:35.285 PM 10/16/2022 	 -0.002394 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001467 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:35.785 PM 10/16/2022 	 -0.002304 	 297.647000 	 44.546000 	 -1192.171199 	 -0.000815 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:36.285 PM 10/16/2022 	 -0.001803 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001190 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:36.785 PM 10/16/2022 	 -0.002458 	 297.647000 	 44.546000 	 -1192.171199 	 -0.000853 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:37.285 PM 10/16/2022 	 -0.001990 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001196 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:37.785 PM 10/16/2022 	 -0.001914 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001158 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
4:19:38.285 PM 10/16/2022 	 -0.002123 	 297.647000 	 44.546000 	 -1192.171199 	 -0.001205 	 297.647000 	 44.546000 	 -1192.171199 	 99.157083 	 108.848982 	 269.993531
