IMPEDANCE MEASUREMENT 
10/16/2022-2:35 PM
Chamber temperature (K): 270.92
Chamber pressure (MPa): -337.11
Description: 	8Sm_coldTest
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	12.1332721710205	10.2532701492310
1	841523.4374999999990	12.0476875305176	8.6039314270020
2	708164.0624999999990	11.9869050979614	7.1901230812073
3	595664.0624999999990	11.9437551498413	5.9461441040039
4	501210.9374999999990	11.9177761077881	4.8740582466125
5	421757.8124999999990	11.8938589096069	3.9475049972534
6	354960.9374999999990	11.8813819885254	3.1152133941650
7	298710.9374999999990	11.8727426528931	2.3774833679199
8	251367.1875000000000	11.8655891418457	1.7071599960327
9	211523.4375000000000	11.8625698089600	1.0921792984009
10	178007.8125000000000	11.8641414642334	0.5144845247269
11	149648.4375000000000	11.8698606491089	-0.0611896142364
12	125976.5625000000000	11.8754701614380	-0.6126558780670
13	106054.6875000000000	11.8657541275024	-1.1340407133102
14	89179.6874999999999	11.8991146087646	-1.7819573879242
15	75117.1874999999999	11.9203481674194	-2.4264130592346
16	63164.0624999999999	11.9478225708008	-3.1234416961670
17	53320.3124999999999	11.9842052459717	-3.8733665943146
18	44882.8124999999999	12.0326519012451	-4.7006821632385
19	37617.1874999999999	12.0930252075195	-5.6427960395813
20	31757.8125000000000	12.1670284271240	-6.6479034423828
21	26835.9375000000000	12.2573547363281	-7.7564816474915
22	22617.1875000000000	12.3689823150635	-8.9979591369629
23	18867.1875000000000	12.5139770507812	-10.4673385620117
24	15663.1093750000000	12.6970434188843	-12.1517000198364
25	13476.5625000000000	12.8768415451050	-13.6560983657837
26	11089.9394531250000	13.1539039611816	-15.7971611022949
27	9492.1875000000000	13.4230756759644	-17.6840724945068
28	7888.7197265625000	13.8052549362183	-20.1439018249512
29	6745.4267578125000	14.1948270797729	-22.4257068634033
30	5602.1342773437500	14.7547750473022	-25.3702602386475
31	4687.5000000000000	15.4197731018066	-28.4403495788574
32	4001.5244140625000	16.1307106018066	-31.3490715026855
33	3315.5488281250000	17.1594314575195	-34.9883155822754
34	2790.1784667968750	18.3347244262695	-38.4966163635254
35	2343.7500000000000	19.7915306091309	-42.1229515075684
36	1979.1666259765625	21.5184974670410	-45.6438980102539
37	1674.1071777343750	23.5871410369873	-49.0758132934570
38	1417.1511230468750	26.0679302215576	-52.3785438537598
39	1199.1279296875000	29.0470905303955	-55.5220489501953
40	1004.4642944335937	32.8313102722168	-58.6295661926270
