IMPEDANCE MEASUREMENT 
10/16/2022-5:40 PM
Chamber temperature (K): 270.93
Chamber pressure (MPa): 41.43
Description: 	8Sm_newVI
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	12.1361856460571	10.3365869522095
1	841523.4374999999990	12.0485334396362	8.6796751022339
2	708164.0624999999990	11.9855308532715	7.2560000419617
3	595664.0624999999990	11.9415283203125	6.0164875984192
4	501210.9374999999990	11.9117221832275	4.9355492591858
5	421757.8124999999990	11.8898496627808	3.9886813163757
6	354960.9374999999990	11.8748531341553	3.1611123085022
7	298710.9374999999990	11.8664436340332	2.4124648571014
8	251367.1875000000000	11.8579711914062	1.7483097314835
9	211523.4375000000000	11.8548297882080	1.1176091432571
10	178007.8125000000000	11.8551206588745	0.5355949401855
11	149648.4375000000000	11.8586759567261	-0.0351643301547
12	125976.5625000000000	11.8685407638550	-0.5895159840584
13	106054.6875000000000	11.8584270477295	-1.1142865419388
14	89179.6874999999999	11.8886728286743	-1.7663533687592
15	75117.1874999999999	11.9109725952148	-2.4181737899780
16	63164.0624999999999	11.9384632110596	-3.1203987598419
17	53320.3124999999999	11.9759759902954	-3.8612565994263
18	44882.8124999999999	12.0225610733032	-4.6981143951416
19	37617.1874999999999	12.0843887329102	-5.6373281478882
20	31757.8125000000000	12.1578655242920	-6.6391487121582
21	26835.9375000000000	12.2480115890503	-7.7396330833435
22	22617.1875000000000	12.3592672348022	-8.9899368286133
23	18867.1875000000000	12.5030603408813	-10.4600114822388
24	15663.1093750000000	12.6876630783081	-12.1382369995117
25	13476.5625000000000	12.8657178878784	-13.6420516967773
26	11089.9394531250000	13.1430101394653	-15.7879877090454
27	9492.1875000000000	13.4112272262573	-17.6793270111084
28	7888.7197265625000	13.7944030761719	-20.1381969451904
29	6745.4267578125000	14.1844959259033	-22.4141883850098
30	5602.1342773437500	14.7401075363159	-25.3634738922119
31	4687.5000000000000	15.4049892425537	-28.4286117553711
32	4001.5244140625000	16.1134471893311	-31.3416156768799
33	3315.5488281250000	17.1414947509766	-34.9806404113770
34	2790.1784667968750	18.3146286010742	-38.4929275512695
35	2343.7500000000000	19.7691497802734	-42.1209220886230
36	1979.1666259765625	21.4938888549805	-45.6487579345703
37	1674.1071777343750	23.5625095367432	-49.0800018310547
38	1417.1511230468750	26.0394458770752	-52.3837547302246
39	1199.1279296875000	29.0175266265869	-55.5264968872070
40	1004.4642944335937	32.7972640991211	-58.6430664062500
