IMPEDANCE MEASUREMENT 
10/17/2022-5:13 PM
Chamber temperature (K): 271.45
Chamber pressure (MPa): 2.59
Description: 	8Sm_warmup
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	11.9730319976807	10.6006259918213
1	841523.4374999999990	11.8839139938354	8.9169273376465
2	708164.0624999999990	11.8205232620239	7.4658308029175
3	595664.0624999999990	11.7761831283569	6.1935520172119
4	501210.9374999999990	11.7437105178833	5.0975608825684
5	421757.8124999999990	11.7199783325195	4.1319594383240
6	354960.9374999999990	11.7045221328735	3.2895464897156
7	298710.9374999999990	11.6948661804199	2.5370950698853
8	251367.1875000000000	11.6873817443848	1.8524658679962
9	211523.4375000000000	11.6828889846802	1.2272465229034
10	178007.8125000000000	11.6823339462280	0.6359871029854
11	149648.4375000000000	11.6848602294922	0.0666961520910
12	125976.5625000000000	11.6919498443604	-0.4953701794147
13	106054.6875000000000	11.6878166198730	-1.0562605857849
14	89179.6874999999999	11.7123517990112	-1.6584419012070
15	75117.1874999999999	11.7328701019287	-2.2904605865479
16	63164.0624999999999	11.7595777511597	-2.9867432117462
17	53320.3124999999999	11.7946643829346	-3.7143654823303
18	44882.8124999999999	11.8402681350708	-4.5226521492004
19	37617.1874999999999	11.8970546722412	-5.4484786987305
20	31757.8125000000000	11.9686002731323	-6.4204144477844
21	26835.9375000000000	12.0530548095703	-7.5017409324646
22	22617.1875000000000	12.1583566665649	-8.7145261764526
23	18867.1875000000000	12.2960042953491	-10.1440315246582
24	15663.1093750000000	12.4697093963623	-11.7795314788818
25	13476.5625000000000	12.6380748748779	-13.2430801391602
26	11089.9394531250000	12.9017381668091	-15.3310556411743
27	9492.1875000000000	13.1569023132324	-17.1699180603027
28	7888.7197265625000	13.5179767608643	-19.5743770599365
29	6745.4267578125000	13.8862962722778	-21.7938652038574
30	5602.1342773437500	14.4113998413086	-24.6716136932373
31	4687.5000000000000	15.0372152328491	-27.6699733734131
32	4001.5244140625000	15.7025003433228	-30.5283813476562
33	3315.5488281250000	16.6719379425049	-34.1343841552734
34	2790.1784667968750	17.7645435333252	-37.5782852172852
35	2343.7500000000000	19.1267166137695	-41.1842269897461
36	1979.1666259765625	20.7422046661377	-44.7065200805664
37	1674.1071777343750	22.6792984008789	-48.1670951843262
38	1417.1511230468750	25.0055389404297	-51.5055198669434
39	1199.1279296875000	27.8018493652344	-54.7079010009766
40	1004.4642944335937	31.3662319183350	-57.8899078369141
