IMPEDANCE MEASUREMENT 
10/17/2022-4:11 PM
Chamber temperature (K): 270.70
Chamber pressure (MPa): 118.24
Description: 	8Sm_coldRamp
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	12.8564147949219	9.7898197174072
1	841523.4374999999990	12.7687330245972	8.2318515777588
2	708164.0624999999990	12.7029266357422	6.8903741836548
3	595664.0624999999990	12.6538257598877	5.7201375961304
4	501210.9374999999990	12.6176261901855	4.7001061439514
5	421757.8124999999990	12.5900802612305	3.8221809864044
6	354960.9374999999990	12.5689706802368	3.0225546360016
7	298710.9374999999990	12.5522880554199	2.3330664634705
8	251367.1875000000000	12.5377244949341	1.7023850679398
9	211523.4375000000000	12.5321254730225	1.1288287639618
10	178007.8125000000000	12.5248794555664	0.5779634714127
11	149648.4375000000000	12.5223369598389	0.0528387166560
12	125976.5625000000000	12.5193300247192	-0.4625678956509
13	106054.6875000000000	12.5082969665527	-0.9787356853485
14	89179.6874999999999	12.5263071060181	-1.5360183715820
15	75117.1874999999999	12.5383586883545	-2.1242291927338
16	63164.0624999999999	12.5585670471191	-2.7686631679535
17	53320.3124999999999	12.5845232009888	-3.4501774311066
18	44882.8124999999999	12.6222438812256	-4.2047262191772
19	37617.1874999999999	12.6716032028198	-5.0625000000000
20	31757.8125000000000	12.7316341400146	-5.9771537780762
21	26835.9375000000000	12.8081731796265	-6.9827933311462
22	22617.1875000000000	12.9024276733398	-8.1119117736816
23	18867.1875000000000	13.0289697647095	-9.4633026123047
24	15663.1093750000000	13.1907672882080	-11.0085811614990
25	13476.5625000000000	13.3479032516479	-12.3926496505737
26	11089.9394531250000	13.5960474014282	-14.3702363967896
27	9492.1875000000000	13.8348073959351	-16.1215629577637
28	7888.7197265625000	14.1734199523926	-18.4066200256348
29	6745.4267578125000	14.5216178894043	-20.5312767028809
30	5602.1342773437500	15.0258798599243	-23.2898578643799
31	4687.5000000000000	15.6096429824829	-26.1906642913818
32	4001.5244140625000	16.2371578216553	-28.9736042022705
33	3315.5488281250000	17.1452789306641	-32.4818344116211
34	2790.1784667968750	18.1875305175781	-35.9275093078613
35	2343.7500000000000	19.4822711944580	-39.5328903198242
36	1979.1666259765625	21.0251388549805	-43.1100196838379
37	1674.1071777343750	22.8823375701904	-46.6466827392578
38	1417.1511230468750	25.1233463287354	-50.1075935363770
39	1199.1279296875000	27.8320236206055	-53.4465446472168
40	1004.4642944335937	31.2961616516113	-56.7903175354004
