IMPEDANCE MEASUREMENT 
10/17/2022-5:22 PM
Chamber temperature (K): 271.72
Chamber pressure (MPa): 2.17
Description: 	8Sm_warmup
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	11.8978862762451	10.6702337265015
1	841523.4374999999990	11.8081455230713	8.9711151123047
2	708164.0624999999990	11.7436904907227	7.5127687454224
3	595664.0624999999990	11.6982955932617	6.2367000579834
4	501210.9374999999990	11.6675071716309	5.1305680274963
5	421757.8124999999990	11.6424684524536	4.1567664146423
6	354960.9374999999990	11.6266584396362	3.3172311782837
7	298710.9374999999990	11.6178951263428	2.5488336086273
8	251367.1875000000000	11.6085338592529	1.8628994226456
9	211523.4375000000000	11.6053552627563	1.2338328361511
10	178007.8125000000000	11.6052942276001	0.6475824713707
11	149648.4375000000000	11.6081190109253	0.0581128597260
12	125976.5625000000000	11.6146202087402	-0.4974451065063
13	106054.6875000000000	11.6095876693726	-1.0603735446930
14	89179.6874999999999	11.6347341537476	-1.6636785268784
15	75117.1874999999999	11.6546182632446	-2.3091943264008
16	63164.0624999999999	11.6829481124878	-2.9966559410095
17	53320.3124999999999	11.7168111801147	-3.7403659820557
18	44882.8124999999999	11.7633247375488	-4.5506410598755
19	37617.1874999999999	11.8206787109375	-5.4788699150085
20	31757.8125000000000	11.8907670974731	-6.4661602973938
21	26835.9375000000000	11.9767723083496	-7.5487422943115
22	22617.1875000000000	12.0822420120239	-8.7641534805298
23	18867.1875000000000	12.2191982269287	-10.2037267684937
24	15663.1093750000000	12.3925867080688	-11.8488960266113
25	13476.5625000000000	12.5623331069946	-13.3207950592041
26	11089.9394531250000	12.8261699676514	-15.4252338409424
27	9492.1875000000000	13.0809803009033	-17.2705917358398
28	7888.7197265625000	13.4429111480713	-19.6870288848877
29	6745.4267578125000	13.8134460449219	-21.9128360748291
30	5602.1342773437500	14.3384103775024	-24.8031826019287
31	4687.5000000000000	14.9657821655273	-27.8121738433838
32	4001.5244140625000	15.6337394714355	-30.6775436401367
33	3315.5488281250000	16.6044082641602	-34.2949409484863
34	2790.1784667968750	17.6996955871582	-37.7490539550781
35	2343.7500000000000	19.0656318664551	-41.3581886291504
36	1979.1666259765625	20.6861343383789	-44.8858795166016
37	1674.1071777343750	22.6280651092529	-48.3368530273437
38	1417.1511230468750	24.9604701995850	-51.6751976013184
39	1199.1279296875000	27.7640113830566	-54.8644943237305
40	1004.4642944335937	31.3339500427246	-58.0286064147949
