IMPEDANCE MEASUREMENT 
10/20/2022-3:00 PM
Chamber temperature (K): 295.39
Chamber pressure (MPa): 0.47
Description: 	0Sm_emptyTest
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	12.2916851043701	50.2478065490723
1	841523.4374999999990	11.0089931488037	45.7196617126465
2	708164.0624999999990	10.0276222229004	41.0935783386230
3	595664.0624999999990	9.2875652313232	36.3791236877441
4	501210.9374999999990	8.7204971313477	31.8675708770752
5	421757.8124999999990	8.3032703399658	27.5980873107910
6	354960.9374999999990	7.9908933639526	23.6651763916016
7	298710.9374999999990	7.7612571716309	20.0252475738525
8	251367.1875000000000	7.5947976112366	16.7517147064209
9	211523.4375000000000	7.4725470542908	13.8181438446045
10	178007.8125000000000	7.3888077735901	11.1907958984375
11	149648.4375000000000	7.3278970718384	8.8163213729858
12	125976.5625000000000	7.2894144058228	6.6620297431946
13	106054.6875000000000	7.2593760490417	4.6954603195190
14	89179.6874999999999	7.2550940513611	2.8372149467468
15	75117.1874999999999	7.2601776123047	1.0980184078217
16	63164.0624999999999	7.2738714218140	-0.5819771885872
17	53320.3124999999999	7.3014030456543	-2.2107851505280
18	44882.8124999999999	7.3392682075500	-3.8448748588562
19	37617.1874999999999	7.3934726715088	-5.5568327903748
20	31757.8125000000000	7.4575290679932	-7.2819805145264
21	26835.9375000000000	7.5365495681763	-9.0520849227905
22	22617.1875000000000	7.6361665725708	-10.9586734771729
23	18867.1875000000000	7.7629961967468	-13.1318349838257
24	15663.1093750000000	7.9259057044983	-15.5433340072632
25	13476.5625000000000	8.0808019638062	-17.6405868530273
26	11089.9394531250000	8.3239040374756	-20.6319561004639
27	9492.1875000000000	8.5617208480835	-23.2458038330078
28	7888.7197265625000	8.9109935760498	-26.6207599639893
29	6745.4267578125000	9.2760181427002	-29.6847705841064
30	5602.1342773437500	9.8153228759766	-33.5982780456543
31	4687.5000000000000	10.4711465835571	-37.5453643798828
32	4001.5244140625000	11.1930093765259	-41.1542129516602
33	3315.5488281250000	12.2610054016113	-45.4877815246582
34	2790.1784667968750	13.4824371337891	-49.4103851318359
35	2343.7500000000000	15.0024414062500	-53.2269325256348
36	1979.1666259765625	16.8041191101074	-56.7406387329102
37	1674.1071777343750	18.9356575012207	-59.9342803955078
38	1417.1511230468750	21.4899673461914	-62.8638763427734
39	1199.1279296875000	24.5294589996338	-65.5249404907227
40	1004.4642944335937	28.3663978576660	-68.0272064208984
