IMPEDANCE MEASUREMENT 
3/16/2023-9:34 AM
Chamber temperature (K): 296.29
Chamber pressure (MPa): -0.31
Description: 	Rcal_1ohm
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	4.6132345199585	53.0140991210937
1	841523.4374999999990	3.9527304172516	53.3658523559570
2	708164.0624999999990	3.2473001480103	50.4022293090820
3	595664.0624999999990	2.8280465602875	48.4099540710449
4	501210.9374999999990	2.5404770374298	46.5993461608887
5	421757.8124999999990	2.2436320781708	43.2664070129395
6	354960.9374999999990	2.0486998558044	40.0066909790039
7	298710.9374999999990	1.8839358091354	36.4575347900391
8	251367.1875000000000	1.7514249086380	33.2014808654785
9	211523.4375000000000	1.6579923629761	29.5651493072510
10	178007.8125000000000	1.5773054361343	26.0645771026611
11	149648.4375000000000	1.5188701152802	22.7807579040527
12	125976.5625000000000	1.4727064371109	19.9053897857666
13	106054.6875000000000	1.4390038251877	17.5140590667725
14	89179.6874999999999	1.4074908494949	14.1920490264893
15	75117.1874999999999	1.3837401866913	13.1775074005127
16	63164.0624999999999	1.3738024234772	10.9008913040161
17	53320.3124999999999	1.3636652231216	9.3981752395630
18	44882.8124999999999	1.3515647649765	8.1722517013550
19	37617.1874999999999	1.3417780399323	6.7102465629578
20	31757.8125000000000	1.3466503620148	6.2854485511780
21	26835.9375000000000	1.3412849903107	5.2810578346252
22	22617.1875000000000	1.3311488628387	4.3314418792725
23	18867.1875000000000	1.3356142044067	3.8522701263428
24	15663.1093750000000	1.3290973901749	3.2634563446045
25	13476.5625000000000	1.3261321783066	2.9873495101929
26	11089.9394531250000	1.3218020200729	2.4489459991455
27	9492.1875000000000	1.3118182420731	2.1857395172119
28	7888.7197265625000	1.3202277421951	1.7549675703049
29	6745.4267578125000	1.3179974555969	1.5488330125809
30	5602.1342773437500	1.3240227699280	1.4423319101334
31	4687.5000000000000	1.3165122270584	1.0790174007416
32	4001.5244140625000	1.3159631490707	0.9244533181190
33	3315.5488281250000	1.3159946203232	0.7406973838806
34	2790.1784667968750	1.3166342973709	0.6517093777657
35	2343.7500000000000	1.3164219856262	0.5320150256157
36	1979.1666259765625	1.3156536817551	0.3510629236698
37	1674.1071777343750	1.3156958818436	0.3288608491421
38	1417.1511230468750	1.3164607286453	0.2463967502117
39	1199.1279296875000	1.3157119750977	0.1915541887283
40	1004.4642944335937	1.3158348798752	0.1135788038373
