IMPEDANCE MEASUREMENT 
3/16/2023-10:16 AM
Chamber temperature (K): 296.35
Chamber pressure (MPa): -0.54
Description: 	Rcal_1ohm_chamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	4.4925360679626	58.2704658508301
1	841523.4374999999990	3.7068812847137	55.0649986267090
2	708164.0624999999990	3.1464755535126	51.6435661315918
3	595664.0624999999990	2.7319171428680	48.0321960449219
4	501210.9374999999990	2.4230308532715	44.2579879760742
5	421757.8124999999990	2.1880574226379	40.4542808532715
6	354960.9374999999990	2.0088198184967	36.6444549560547
7	298710.9374999999990	1.8694981336594	32.9563865661621
8	251367.1875000000000	1.7617818117142	29.4188098907471
9	211523.4375000000000	1.6782515048981	26.0960102081299
10	178007.8125000000000	1.6047830581665	23.2589397430420
11	149648.4375000000000	1.5570784807205	20.3610305786133
12	125976.5625000000000	1.5139105319977	17.4451999664307
13	106054.6875000000000	1.4910176992416	15.4842119216919
14	89179.6874999999999	1.4614189863205	13.1828479766846
15	75117.1874999999999	1.4430947303772	11.4379472732544
16	63164.0624999999999	1.4285420179367	9.9027366638184
17	53320.3124999999999	1.4172685146332	8.5816745758057
18	44882.8124999999999	1.4082959890366	7.3988604545593
19	37617.1874999999999	1.4005037546158	6.3633332252502
20	31757.8125000000000	1.3939641714096	5.5216879844666
21	26835.9375000000000	1.3939515352249	4.9268398284912
22	22617.1875000000000	1.3893316984177	4.2711477279663
23	18867.1875000000000	1.3851804733276	3.6609499454498
24	15663.1093750000000	1.3817286491394	3.1391837596893
25	13476.5625000000000	1.3793247938156	2.7675206661224
26	11089.9394531250000	1.3767689466476	2.3541636466980
27	9492.1875000000000	1.3749945163727	2.0607781410217
28	7888.7197265625000	1.3732054233551	1.7686975002289
29	6745.4267578125000	1.3717178106308	1.5591286420822
30	5602.1342773437500	1.3703964948654	1.3300594091415
31	4687.5000000000000	1.3692754507065	1.1491436958313
32	4001.5244140625000	1.3683204650879	1.0096271038055
33	3315.5488281250000	1.3675062656403	0.8623757958412
34	2790.1784667968750	1.3668977022171	0.7507511973381
35	2343.7500000000000	1.3663120269775	0.6516157388687
36	1979.1666259765625	1.3657457828522	0.5695578455925
37	1674.1071777343750	1.3653143644333	0.4934675991535
38	1417.1511230468750	1.3650217056274	0.4339375495911
39	1199.1279296875000	1.3645938634872	0.3772934973240
40	1004.4642944335937	1.3643914461136	0.3272646665573
