IMPEDANCE MEASUREMENT 
3/16/2023-10:16 AM
Chamber temperature (K): 296.35
Chamber pressure (MPa): -0.25
Description: 	Rcal_1ohm_chamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	4.4939036369324	58.3065528869629
1	841523.4374999999990	3.7105517387390	55.0709457397461
2	708164.0624999999990	3.1473097801208	51.6378974914551
3	595664.0624999999990	2.7338867187500	48.0273170471191
4	501210.9374999999990	2.4240074157715	44.2598762512207
5	421757.8124999999990	2.1894245147705	40.4340057373047
6	354960.9374999999990	2.0086684226990	36.6452026367187
7	298710.9374999999990	1.8708485364914	32.9465980529785
8	251367.1875000000000	1.7624969482422	29.3883781433105
9	211523.4375000000000	1.6795918941498	26.0782260894775
10	178007.8125000000000	1.6066862344742	23.2523460388184
11	149648.4375000000000	1.5586668252945	20.3396606445312
12	125976.5625000000000	1.5174678564072	17.4468688964844
13	106054.6875000000000	1.4926489591599	15.4717884063721
14	89179.6874999999999	1.4627078771591	13.1921606063843
15	75117.1874999999999	1.4442079067230	11.4327716827393
16	63164.0624999999999	1.4300357103348	9.8715600967407
17	53320.3124999999999	1.4187797307968	8.5609617233276
18	44882.8124999999999	1.4096939563751	7.3823118209839
19	37617.1874999999999	1.4012435674667	6.3624629974365
20	31757.8125000000000	1.3955397605896	5.5024256706238
21	26835.9375000000000	1.3951214551926	4.9188175201416
22	22617.1875000000000	1.3905909061432	4.2694678306580
23	18867.1875000000000	1.3867053985596	3.6608121395111
24	15663.1093750000000	1.3829450607300	3.1384778022766
25	13476.5625000000000	1.3807551860809	2.7690804004669
26	11089.9394531250000	1.3778737783432	2.3471064567566
27	9492.1875000000000	1.3763380050659	2.0666708946228
28	7888.7197265625000	1.3744406700134	1.7695207595825
29	6745.4267578125000	1.3731052875519	1.5504206418991
30	5602.1342773437500	1.3717274665833	1.3301749229431
31	4687.5000000000000	1.3705154657364	1.1454319953918
32	4001.5244140625000	1.3696128129959	1.0095734596252
33	3315.5488281250000	1.3687554597855	0.8634624481201
34	2790.1784667968750	1.3679969310760	0.7496795058250
35	2343.7500000000000	1.3673708438873	0.6526298522949
36	1979.1666259765625	1.3669573068619	0.5643010735512
37	1674.1071777343750	1.3664054870605	0.4959699511528
38	1417.1511230468750	1.3660683631897	0.4322337806225
39	1199.1279296875000	1.3657449483871	0.3757987618446
40	1004.4642944335937	1.3654668331146	0.3243906497955
