IMPEDANCE MEASUREMENT 
3/16/2023-5:02 PM
Chamber temperature (K): 296.41
Chamber pressure (MPa): -0.71
Description: 	Rcal_1ohm_looseFoil
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	3.0058093070984	48.9804420471191
1	825585.9374999999990	2.5953285694122	44.9393692016602
2	681445.3124999999990	2.2971694469452	40.8436279296875
3	562382.8124999999990	2.0760149955750	36.7528724670410
4	464179.6874999999990	1.9119588136673	32.8155746459961
5	383320.3124999999990	1.7880274057388	29.0501708984375
6	316289.0624999999990	1.6938635110855	25.5444755554199
7	261210.9375000000000	1.6156039237976	22.6490631103516
8	215507.8125000000000	1.5663408041000	19.4322452545166
9	178007.8125000000000	1.5176733732224	16.4091720581055
10	146835.9375000000000	1.4843726158142	14.2433614730835
11	121289.0625000000000	1.4590063095093	12.3011379241943
12	100195.3125000000000	1.4373199939728	10.5792179107666
13	82617.1874999999999	1.4211577177048	9.0753192901611
14	68320.3124999999999	1.4087744951248	7.7718305587769
15	56367.1874999999999	1.3978657722473	6.6430459022522
16	46523.4374999999999	1.3897472620010	5.6728510856628
17	38320.3124999999999	1.3831120729446	4.8367538452148
18	31757.8125000000000	1.3825849294662	4.3157267570496
19	26132.8125000000000	1.3774515390396	3.6918089389801
20	21679.6875000000000	1.3733777999878	3.1840679645538
21	17929.6875000000000	1.3699358701706	2.7276651859283
22	14519.8173828125000	1.3665379285812	2.3134181499481
23	12004.5732421875000	1.3640656471252	1.9877593517303
24	9946.6464843750000	1.3618564605713	1.7091422080994
25	8320.3125000000000	1.3601034879684	1.4869347810745
26	6745.4267578125000	1.3585145473480	1.2570300102234
27	5602.1342773437500	1.3570451736450	1.0787584781647
28	4687.5000000000000	1.3560789823532	0.9364638924599
29	3867.1875000000000	1.3550999164581	0.8052417635918
30	3164.0625000000000	1.3541150093079	0.6903778314590
31	2629.5732421875000	1.3534520864487	0.5950623154640
32	2172.2561035156250	1.3528878688812	0.5081712603569
33	1770.8333740234375	1.3523533344269	0.4359226822853
34	1450.8928222656250	1.3518642187119	0.3729266226292
35	1199.1279296875000	1.3514834642410	0.3198072910309
36	1004.4642944335937	1.3511534929276	0.2819575965405
37	827.2058715820312	1.3509591817856	0.2355439364910
38	683.5937500000000	1.3506610393524	0.2035108953714
39	558.0357055664062	1.3505259752274	0.1742276400328
40	468.7500000000000	1.3503826856613	0.1483081579208
41	384.2213134765625	1.3502153158188	0.1259329915047
42	319.6022644042969	1.3500959873199	0.1111874505877
43	260.4166564941406	1.3499110937119	0.0945775955915
44	216.3461608886719	1.3498840332031	0.0758806541562
45	178.0063323974609	1.3497624397278	0.0653364509344
46	146.4843750000000	1.3498815298080	0.0534993484616
47	121.2284469604492	1.3498314619064	0.0423730537295
48	99.7340393066406	1.3498243093491	0.0397996902466
49	82.2368392944336	1.3498095273972	0.0307666212320
50	67.9347839355469	1.3498399257660	0.0333599969745
51	55.8035697937012	1.3497920036316	0.0215229839087
52	46.8750000000000	1.3498332500458	0.0199811346829
53	38.1097564697266	1.3498365879059	0.0180132705718
54	31.8877544403076	1.3498972654343	0.0124365855008
55	26.0416660308838	1.3499232530594	0.0103846872225
56	21.3068180084229	1.3499358892441	0.0091404430568
57	17.7556819915771	1.3500233888626	0.0059546069242
58	14.5574531555176	1.3500863313675	0.0069252271205
59	12.1124029159546	1.3501232862473	0.0060853646137
60	9.9101476669312	1.3501667976379	0.0041773184203
