IMPEDANCE MEASUREMENT 
3/16/2023-5:02 PM
Chamber temperature (K): 296.41
Chamber pressure (MPa): -0.73
Description: 	Rcal_1ohm_looseFoil
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	3.0052566528320	48.9843406677246
1	825585.9374999999990	2.5943491458893	44.9468421936035
2	681445.3124999999990	2.2960095405579	40.8435249328613
3	562382.8124999999990	2.0760681629181	36.7612342834473
4	464179.6874999999990	1.9118819236755	32.8124771118164
5	383320.3124999999990	1.7881239652634	29.0558433532715
6	316289.0624999999990	1.6938749551773	25.5455226898193
7	261210.9375000000000	1.6151286363602	22.6457023620605
8	215507.8125000000000	1.5658556222916	19.4271755218506
9	178007.8125000000000	1.5175402164459	16.4265708923340
10	146835.9375000000000	1.4845762252808	14.2301225662231
11	121289.0625000000000	1.4581027030945	12.3046035766602
12	100195.3125000000000	1.4369505643845	10.5867853164673
13	82617.1874999999999	1.4206111431122	9.0699701309204
14	68320.3124999999999	1.4081903696060	7.7700862884521
15	56367.1874999999999	1.3974913358688	6.6421880722046
16	46523.4374999999999	1.3891092538834	5.6620931625366
17	38320.3124999999999	1.3876719474792	5.0216531753540
18	31757.8125000000000	1.3818944692612	4.3182878494263
19	26132.8125000000000	1.3769233226776	3.6952571868896
20	21679.6875000000000	1.3728455305099	3.1801397800446
21	17929.6875000000000	1.3692672252655	2.7309958934784
22	14519.8173828125000	1.3659366369247	2.3096113204956
23	12004.5732421875000	1.3634022474289	1.9863466024399
24	9946.6464843750000	1.3613809347153	1.7118430137634
25	8320.3125000000000	1.3596771955490	1.4858134984970
26	6745.4267578125000	1.3578400611877	1.2474186420441
27	5602.1342773437500	1.3564122915268	1.0813797712326
28	4687.5000000000000	1.3554586172104	0.9383955597878
29	3867.1875000000000	1.3544229269028	0.8077378273010
30	3164.0625000000000	1.3535469770432	0.6855263113976
31	2629.5732421875000	1.3528684377670	0.5957221388817
32	2172.2561035156250	1.3522491455078	0.5128541588783
33	1770.8333740234375	1.3516020774841	0.4332222342491
34	1450.8928222656250	1.3511965274811	0.3717162609100
35	1199.1279296875000	1.3508912324905	0.3184322416782
36	1004.4642944335937	1.3504810333252	0.2802675366402
37	827.2058715820312	1.3502656221390	0.2366930097342
38	683.5937500000000	1.3500863313675	0.2064122557640
39	558.0357055664062	1.3498433828354	0.1749572753906
40	468.7500000000000	1.3497159481049	0.1527829766273
41	384.2213134765625	1.3495352268219	0.1245618611574
42	319.6022644042969	1.3493850231171	0.1120927035809
43	260.4166564941406	1.3491725921631	0.0944092348218
44	216.3461608886719	1.3492562770844	0.0793133750558
45	178.0063323974609	1.3491346836090	0.0656008422375
46	146.4843750000000	1.3491609096527	0.0600471906364
47	121.2284469604492	1.3491559028625	0.0513281226158
48	99.7340393066406	1.3491544723511	0.0390679016709
49	82.2368392944336	1.3491154909134	0.0336603634059
50	67.9347839355469	1.3490742444992	0.0265250001103
51	55.8035697937012	1.3490961790085	0.0230664350092
52	46.8750000000000	1.3491870164871	0.0183528419584
53	38.1097564697266	1.3492188453674	0.0165196191519
54	31.8877544403076	1.3492401838303	0.0158389229327
55	26.0416660308838	1.3492729663849	0.0135252615437
56	21.3068180084229	1.3493336439133	0.0087769711390
57	17.7556819915771	1.3493936061859	0.0077966726385
58	14.5574531555176	1.3494727611542	0.0044277710840
59	12.1124029159546	1.3495113849640	0.0043550459668
60	9.9101476669312	1.3495575189590	0.0041056922637
